problem_index,case_id,case_label,status,subject,predicate,object
1,20,half_text + noisy_half_diagram[pixel_noise],OK,A,is_a,point
1,20,half_text + noisy_half_diagram[pixel_noise],OK,A,lies_on,triangle ABC
1,20,half_text + noisy_half_diagram[pixel_noise],OK,B,is_a,point
1,20,half_text + noisy_half_diagram[pixel_noise],OK,B,lies_on,triangle ABC
1,20,half_text + noisy_half_diagram[pixel_noise],OK,C,is_a,point
1,20,half_text + noisy_half_diagram[pixel_noise],OK,C,lies_on,triangle ABC
1,20,half_text + noisy_half_diagram[pixel_noise],OK,D,is_a,point
1,20,half_text + noisy_half_diagram[pixel_noise],OK,D,lies_on,AB
1,20,half_text + noisy_half_diagram[pixel_noise],OK,E,is_a,point
1,20,half_text + noisy_half_diagram[pixel_noise],OK,E,lies_on,AC
1,20,half_text + noisy_half_diagram[pixel_noise],OK,DE,is_a,segment
1,20,half_text + noisy_half_diagram[pixel_noise],OK,BC,is_a,segment
1,20,half_text + noisy_half_diagram[pixel_noise],OK,DE,parallel_to,BC
1,20,half_text + noisy_half_diagram[pixel_noise],OK,∠A,is_a,angle
1,20,half_text + noisy_half_diagram[pixel_noise],OK,∠A,has_measure,80_deg
1,20,half_text + noisy_half_diagram[pixel_noise],OK,∠ABC,is_a,angle
1,20,half_text + noisy_half_diagram[pixel_noise],OK,∠ABC,has_measure,60_deg
1,20,half_text + noisy_half_diagram[pixel_noise],OK,triangle ABC,is_a,triangle
1,20,half_text + noisy_half_diagram[pixel_noise],OK,∠CED,is_a,angle
,,,,,,
2,20,half_text + noisy_half_diagram[pixel_noise],OK,A,is_a,point
2,20,half_text + noisy_half_diagram[pixel_noise],OK,B,is_a,point
2,20,half_text + noisy_half_diagram[pixel_noise],OK,C,is_a,point
2,20,half_text + noisy_half_diagram[pixel_noise],OK,D,is_a,point
2,20,half_text + noisy_half_diagram[pixel_noise],OK,E,is_a,point
2,20,half_text + noisy_half_diagram[pixel_noise],OK,F,is_a,point
2,20,half_text + noisy_half_diagram[pixel_noise],OK,G,is_a,point
2,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,is_a,segment
2,20,half_text + noisy_half_diagram[pixel_noise],OK,CD,is_a,segment
2,20,half_text + noisy_half_diagram[pixel_noise],OK,EF,is_a,segment
2,20,half_text + noisy_half_diagram[pixel_noise],OK,EG,is_a,segment
2,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,parallel_to,CD
2,20,half_text + noisy_half_diagram[pixel_noise],OK,EF,intersects,AB
2,20,half_text + noisy_half_diagram[pixel_noise],OK,EF,intersects,CD
2,20,half_text + noisy_half_diagram[pixel_noise],OK,EG,intersects,CD
2,20,half_text + noisy_half_diagram[pixel_noise],OK,EG,bisector_of,∠BEF
2,20,half_text + noisy_half_diagram[pixel_noise],OK,∠EFG,has_measure,50_deg
2,20,half_text + noisy_half_diagram[pixel_noise],OK,∠EGF,is_a,angle
2,20,half_text + noisy_half_diagram[pixel_noise],OK,∠EFG,is_a,angle
,,,,,,
3,20,half_text + noisy_half_diagram[pixel_noise],OK,D,is_a,point
3,20,half_text + noisy_half_diagram[pixel_noise],OK,C,is_a,point
3,20,half_text + noisy_half_diagram[pixel_noise],OK,B,is_a,point
3,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,is_a,line
3,20,half_text + noisy_half_diagram[pixel_noise],OK,BC,is_a,line
3,20,half_text + noisy_half_diagram[pixel_noise],OK,BD,is_a,line
3,20,half_text + noisy_half_diagram[pixel_noise],OK,CD,is_a,line
3,20,half_text + noisy_half_diagram[pixel_noise],OK,∠ABC,is_a,angle
3,20,half_text + noisy_half_diagram[pixel_noise],OK,70_deg,has_measure,∠BCD
3,20,half_text + noisy_half_diagram[pixel_noise],OK,BC,intersects,BA
3,20,half_text + noisy_half_diagram[pixel_noise],OK,BD,bisects,∠ABC
3,20,half_text + noisy_half_diagram[pixel_noise],OK,CD,parallel_to,AB
,,,,,,
4,20,half_text + noisy_half_diagram[pixel_noise],OK,A,is_a,point
4,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,is_a,segment
4,20,half_text + noisy_half_diagram[pixel_noise],OK,O,is_a,point
4,20,half_text + noisy_half_diagram[pixel_noise],OK,∠A,has_measure,36_deg
4,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,tangent_to,circle O
4,20,half_text + noisy_half_diagram[pixel_noise],OK,AO,intersects,circle O
4,20,half_text + noisy_half_diagram[pixel_noise],OK,AO,intersects,C
4,20,half_text + noisy_half_diagram[pixel_noise],OK,BC,connects,"B, C"
4,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,is_tangent_to,O
4,20,half_text + noisy_half_diagram[pixel_noise],OK,OB,is_a,"radius_of, circle O"
4,20,half_text + noisy_half_diagram[pixel_noise],OK,OC,is_a,"radius_of, circle O"
4,20,half_text + noisy_half_diagram[pixel_noise],OK,∠OCB,is_a,angle
4,20,half_text + noisy_half_diagram[pixel_noise],OK,circle O,center_of,O
,,,,,,
7,20,half_text + noisy_half_diagram[pixel_noise],OK,A,is_a,point
7,20,half_text + noisy_half_diagram[pixel_noise],OK,B,is_a,point
7,20,half_text + noisy_half_diagram[pixel_noise],OK,C,is_a,point
7,20,half_text + noisy_half_diagram[pixel_noise],OK,D,is_a,point
7,20,half_text + noisy_half_diagram[pixel_noise],OK,E,is_a,point
7,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,is_a,segment
7,20,half_text + noisy_half_diagram[pixel_noise],OK,AC,is_a,segment
7,20,half_text + noisy_half_diagram[pixel_noise],OK,ADE,is_a,triangle
7,20,half_text + noisy_half_diagram[pixel_noise],OK,ABC,is_a,triangle
7,20,half_text + noisy_half_diagram[pixel_noise],OK,∠B,has_measure,70_deg
7,20,half_text + noisy_half_diagram[pixel_noise],OK,∠C,has_measure,30_deg
7,20,half_text + noisy_half_diagram[pixel_noise],OK,∠ADE,has_measure,35_deg
7,20,half_text + noisy_half_diagram[pixel_noise],OK,∠ADC,has_measure,30_deg
7,20,half_text + noisy_half_diagram[pixel_noise],OK,ABC,congruent_to,ADE
,,,,,,
8,20,half_text + noisy_half_diagram[pixel_noise],OK,A,is_a,point
8,20,half_text + noisy_half_diagram[pixel_noise],OK,B,is_a,point
8,20,half_text + noisy_half_diagram[pixel_noise],OK,C,is_a,point
8,20,half_text + noisy_half_diagram[pixel_noise],OK,D,is_a,point
8,20,half_text + noisy_half_diagram[pixel_noise],OK,E,is_a,point
8,20,half_text + noisy_half_diagram[pixel_noise],OK,F,is_a,point
8,20,half_text + noisy_half_diagram[pixel_noise],OK,A,lies_on,line
8,20,half_text + noisy_half_diagram[pixel_noise],OK,B,lies_on,line
8,20,half_text + noisy_half_diagram[pixel_noise],OK,C,lies_on,line
8,20,half_text + noisy_half_diagram[pixel_noise],OK,D,lies_on,line
8,20,half_text + noisy_half_diagram[pixel_noise],OK,E,lies_on,line
8,20,half_text + noisy_half_diagram[pixel_noise],OK,F,lies_on,line
8,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,is_a,segment
8,20,half_text + noisy_half_diagram[pixel_noise],OK,BC,is_a,segment
8,20,half_text + noisy_half_diagram[pixel_noise],OK,AC,is_a,segment
8,20,half_text + noisy_half_diagram[pixel_noise],OK,DE,is_a,segment
8,20,half_text + noisy_half_diagram[pixel_noise],OK,EF,is_a,segment
8,20,half_text + noisy_half_diagram[pixel_noise],OK,DF,is_a,segment
8,20,half_text + noisy_half_diagram[pixel_noise],OK,∠BAC,is_a,angle
8,20,half_text + noisy_half_diagram[pixel_noise],OK,∠ABC,is_a,angle
8,20,half_text + noisy_half_diagram[pixel_noise],OK,∠ACB,is_a,angle
8,20,half_text + noisy_half_diagram[pixel_noise],OK,∠EDF,is_a,angle
8,20,half_text + noisy_half_diagram[pixel_noise],OK,∠DEF,is_a,angle
8,20,half_text + noisy_half_diagram[pixel_noise],OK,∠DFE,is_a,angle
8,20,half_text + noisy_half_diagram[pixel_noise],OK,Triangle ABC,is_a,triangle
8,20,half_text + noisy_half_diagram[pixel_noise],OK,Triangle DEF,is_a,triangle
8,20,half_text + noisy_half_diagram[pixel_noise],OK,Triangle ABC,congruent_to,Triangle DEF
8,20,half_text + noisy_half_diagram[pixel_noise],OK,A,corresponding_to,D
8,20,half_text + noisy_half_diagram[pixel_noise],OK,B,corresponding_to,E
8,20,half_text + noisy_half_diagram[pixel_noise],OK,C,corresponding_to,F
8,20,half_text + noisy_half_diagram[pixel_noise],OK,BF,has_measure,7.0_units
8,20,half_text + noisy_half_diagram[pixel_noise],OK,EF,has_measure,5.0_units
,,,,,,
9,20,half_text + noisy_half_diagram[pixel_noise],OK,A,is_a,point
9,20,half_text + noisy_half_diagram[pixel_noise],OK,B,is_a,point
9,20,half_text + noisy_half_diagram[pixel_noise],OK,C,is_a,point
9,20,half_text + noisy_half_diagram[pixel_noise],OK,D,is_a,point
9,20,half_text + noisy_half_diagram[pixel_noise],OK,E,is_a,point
9,20,half_text + noisy_half_diagram[pixel_noise],OK,AC,is_a,segment
9,20,half_text + noisy_half_diagram[pixel_noise],OK,BC,is_a,segment
9,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,is_a,segment
9,20,half_text + noisy_half_diagram[pixel_noise],OK,AD,is_a,segment
9,20,half_text + noisy_half_diagram[pixel_noise],OK,DE,is_a,segment
9,20,half_text + noisy_half_diagram[pixel_noise],OK,∠C,is_a,angle
9,20,half_text + noisy_half_diagram[pixel_noise],OK,∠CAB,is_a,angle
9,20,half_text + noisy_half_diagram[pixel_noise],OK,ABC,is_a,triangle
9,20,half_text + noisy_half_diagram[pixel_noise],OK,ACB,is_a,triangle
9,20,half_text + noisy_half_diagram[pixel_noise],OK,ADB,is_a,triangle
9,20,half_text + noisy_half_diagram[pixel_noise],OK,AC = BC,is_a,equality
9,20,half_text + noisy_half_diagram[pixel_noise],OK,∠C = 90°,has_measure,angle
9,20,half_text + noisy_half_diagram[pixel_noise],OK,AD bisects angle CAB,is_a,relation
9,20,half_text + noisy_half_diagram[pixel_noise],OK,AD intersects BC at D,is_a,relation
9,20,half_text + noisy_half_diagram[pixel_noise],OK,DE is perpendicular to AB at E,is_a,relation
9,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,has_measure,6.0_units
,,,,,,
10,20,half_text + noisy_half_diagram[pixel_noise],OK,A,is_a,point
10,20,half_text + noisy_half_diagram[pixel_noise],OK,B,is_a,point
10,20,half_text + noisy_half_diagram[pixel_noise],OK,C,is_a,point
10,20,half_text + noisy_half_diagram[pixel_noise],OK,D,is_a,point
10,20,half_text + noisy_half_diagram[pixel_noise],OK,E,is_a,point
10,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,is_a,segment
10,20,half_text + noisy_half_diagram[pixel_noise],OK,AC,is_a,segment
10,20,half_text + noisy_half_diagram[pixel_noise],OK,ABC,is_a,triangle
10,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,has_measure,AC
10,20,half_text + noisy_half_diagram[pixel_noise],OK,AB,equal_to,AC
10,20,half_text + noisy_half_diagram[pixel_noise],OK,∠BAC,has_measure,36_deg
10,20,half_text + noisy_half_diagram[pixel_noise],OK,DE,is_a,"perpendicular_bisector_of, AB"
10,20,half_text + noisy_half_diagram[pixel_noise],OK,D,lies_on,AC
10,20,half_text + noisy_half_diagram[pixel_noise],OK,E,lies_on,AB
10,20,half_text + noisy_half_diagram[pixel_noise],OK,DE,intersects,AB
10,20,half_text + noisy_half_diagram[pixel_noise],OK,DE,intersects,AC
10,20,half_text + noisy_half_diagram[pixel_noise],OK,B,connects_to,D
10,20,half_text + noisy_half_diagram[pixel_noise],OK,C,connects_to,D
10,20,half_text + noisy_half_diagram[pixel_noise],OK,B,connects_to,C
10,20,half_text + noisy_half_diagram[pixel_noise],OK,∠BDC,has_measure,?
,,,,,,
11,20,half_text + noisy_half_diagram[pixel_noise],OK,A,is_a,point
11,20,half_text + noisy_half_diagram[pixel_noise],OK,B,is_a,point
11,20,half_text + noisy_half_diagram[pixel_noise],OK,C,is_a,point
