Per-problem table:
Problem_Index   | APS questions | Answered | Correct | Accuracy          
---------------------------------------------------------------------------
1               | 5             | 4        | 3       | 3/5 = 60.00%
2               | 6             | 2        | 1       | 1/6 = 16.67%
3               | 4             | 3        | 1       | 1/4 = 25.00%
4               | 6             | 3        | 2       | 2/6 = 33.33%
7               | 4             | 0        | 0       | 0/4 = 0.00%
8               | 3             | 2        | 2       | 2/3 = 66.67%
9               | 7             | 4        | 3       | 3/7 = 42.86%
10              | 5             | 2        | 1       | 1/5 = 20.00%
11              | 4             | 0        | 0       | 0/4 = 0.00%
14              | 5             | 0        | 0       | 0/5 = 0.00%
16              | 4             | 3        | 2       | 2/4 = 50.00%
17              | 4             | 2        | 0       | 0/4 = 0.00%
20              | 3             | 2        | 1       | 1/3 = 33.33%
22              | 5             | 2        | 2       | 2/5 = 40.00%
25              | 3             | 2        | 2       | 2/3 = 66.67%
26              | 5             | 1        | 1       | 1/5 = 20.00%
29              | 4             | 3        | 1       | 1/4 = 25.00%
30              | 2             | 0        | 0       | 0/2 = 0.00%
32              | 6             | 1        | 1       | 1/6 = 16.67%
34              | 5             | 2        | 1       | 1/5 = 20.00%
36              | 4             | 2        | 1       | 1/4 = 25.00%
37              | 4             | 2        | 1       | 1/4 = 25.00%
38              | 3             | 2        | 1       | 1/3 = 33.33%
40              | 3             | 2        | 1       | 1/3 = 33.33%
43              | 4             | 2        | 0       | 0/4 = 0.00%
44              | 4             | 1        | 0       | 0/4 = 0.00%
45              | 2             | 0        | 0       | 0/2 = 0.00%
46              | 3             | 0        | 0       | 0/3 = 0.00%
48              | 5             | 3        | 2       | 2/5 = 40.00%
49              | 5             | 2        | 2       | 2/5 = 40.00%
50              | 4             | 2        | 1       | 1/4 = 25.00%
53              | 5             | 4        | 2       | 2/5 = 40.00%
55              | 5             | 4        | 2       | 2/5 = 40.00%
56              | 5             | 3        | 2       | 2/5 = 40.00%
57              | 3             | 2        | 1       | 1/3 = 33.33%
58              | 4             | 4        | 3       | 3/4 = 75.00%
59              | 3             | 1        | 1       | 1/3 = 33.33%
60              | 3             | 1        | 0       | 0/3 = 0.00%
64              | 4             | 2        | 2       | 2/4 = 50.00%
72              | 5             | 2        | 1       | 1/5 = 20.00%
73              | 3             | 2        | 2       | 2/3 = 66.67%
78              | 3             | 1        | 0       | 0/3 = 0.00%
79              | 5             | 4        | 3       | 3/5 = 60.00%
81              | 4             | 3        | 2       | 2/4 = 50.00%
84              | 5             | 2        | 1       | 1/5 = 20.00%
86              | 4             | 4        | 1       | 1/4 = 25.00%
88              | 5             | 2        | 1       | 1/5 = 20.00%
95              | 5             | 2        | 2       | 2/5 = 40.00%
99              | 8             | 4        | 3       | 3/8 = 37.50%
108             | 4             | 3        | 1       | 1/4 = 25.00%
109             | 3             | 1        | 0       | 0/3 = 0.00%
112             | 3             | 3        | 2       | 2/3 = 66.67%
114             | 6             | 4        | 3       | 3/6 = 50.00%
115             | 2             | 2        | 2       | 2/2 = 100.00%
117             | 3             | 3        | 3       | 3/3 = 100.00%
119             | 4             | 3        | 1       | 1/4 = 25.00%
120             | 3             | 0        | 0       | 0/3 = 0.00%
123             | 4             | 2        | 2       | 2/4 = 50.00%
128             | 4             | 2        | 1       | 1/4 = 25.00%
132             | 6             | 3        | 2       | 2/6 = 33.33%
133             | 9             | 3        | 3       | 3/9 = 33.33%
149             | 6             | 2        | 0       | 0/6 = 0.00%
150             | 6             | 3        | 2       | 2/6 = 33.33%
151             | 3             | 0        | 0       | 0/3 = 0.00%
152             | 3             | 1        | 1       | 1/3 = 33.33%
153             | 6             | 2        | 2       | 2/6 = 33.33%
157             | 3             | 3        | 3       | 3/3 = 100.00%
165             | 4             | 3        | 3       | 3/4 = 75.00%
198             | 3             | 2        | 2       | 2/3 = 66.67%
207             | 3             | 2        | 0       | 0/3 = 0.00%
210             | 4             | 2        | 2       | 2/4 = 50.00%
211             | 6             | 0        | 0       | 0/6 = 0.00%
223             | 3             | 0        | 0       | 0/3 = 0.00%
239             | 6             | 3        | 3       | 3/6 = 50.00%
243             | 4             | 3        | 3       | 3/4 = 75.00%
257             | 6             | 3        | 3       | 3/6 = 50.00%
264             | 6             | 6        | 3       | 3/6 = 50.00%
281             | 4             | 3        | 3       | 3/4 = 75.00%
327             | 4             | 0        | 0       | 0/4 = 0.00%
348             | 2             | 0        | 0       | 0/2 = 0.00%
364             | 3             | 1        | 1       | 1/3 = 33.33%
365             | 2             | 1        | 1       | 1/2 = 50.00%
420             | 3             | 2        | 2       | 2/3 = 66.67%
432             | 4             | 2        | 2       | 2/4 = 50.00%
438             | 6             | 0        | 0       | 0/6 = 0.00%
441             | 3             | 0        | 0       | 0/3 = 0.00%
447             | 4             | 0        | 0       | 0/4 = 0.00%
449             | 2             | 0        | 0       | 0/2 = 0.00%
457             | 3             | 1        | 1       | 1/3 = 33.33%
472             | 4             | 0        | 0       | 0/4 = 0.00%
---------------------------------------------------------------------------
TOTAL           | 377           | 177      | 119     | 119/377 = 31.56%
