problem_index,ars_id,question,answer,reasoning,triples_used,triples_count,unique_triples_count,which_triples_used
1,Q1,What is the measure of angle A in triangle ABC?,null,The perception triples do not provide the measure of angle A. They only describe points and segments.,[],0,0,
1,Q2,What is the measure of angle B in triangle ABC?,60_deg,Triple T9 states that ∠ABC has a measure of 60_deg.,[9],1,1,T9
1,Q3,What is the relationship between line DE and line BC?,parallel,Triple T12 states that DE is parallel to BC.,[12],1,1,T12
1,Q4,Where is point D located in relation to side AB?,lies_on AB,Triple T10 states that D lies on AB.,[10],1,1,T10
1,Q5,Where is point E located in relation to side AC?,lies_on AC,Triple T11 states that E lies on AC.,[11],1,1,T11
2,Q1,What is the relationship between lines AB and CD?,AB lies on CD,Triple T1 states that AB lies on CD.,[1],1,1,T1
2,Q2,What is the measure of angle EFG in degrees?,50_deg,Triple T3 states that ∠BEF has a measure of 50_deg.,[3],1,1,T3
2,Q3,Does line EG bisect angle BEF?,null,The triples do not provide information about whether EG bisects angle BEF.,[],0,0,
2,Q4,At what point does line EF intersect line AB?,E,Triple T7 states that EF intersects AB at E.,[7],1,1,T7
2,Q5,At what point does line EF intersect line CD?,F,Triple T8 states that EF intersects CD at F.,[8],1,1,T8
2,Q6,At what point does line EG intersect line CD?,null,The triples do not provide information about where EG intersects CD.,[],0,0,
3,Q1,What is the measure of angle BCD?,null,The perception triples do not provide information about the measure of angle BCD.,[],0,0,
3,Q2,What is the relationship between line segment CD and line segment AB?,parallel,Triple T10 states that CD is parallel to AB.,[10],1,1,T10
3,Q3,What does the line segment BD do to angle ABC?,bisects,Triple T8 states that BD bisects ∠ABC.,[8],1,1,T8
3,Q4,At which point do line segments BC and BA intersect?,null,"The perception triples do not provide information about the intersection point of line segments BC and BA.  BA is a line segment, and BC is a line segment, so they do not intersect.",[],0,0,
4,Q1,What is the measure of angle A in degrees?,,The measure of angle A is not directly provided in the perception triples.,[],0,0,
4,Q2,What is the relationship between line AB and circle O at point B?,tangent,Triple T8 states that AB is tangent to O at point B.,[8],1,1,T8
4,Q3,What point does the extended line of AO intersect on circle O?,O,"Triple T9 states that AO intersects O.  Since AO is a line segment, the extended line of AO intersects O at O.",[9],1,1,T9
4,Q4,What is the center point of the circle labeled in the diagram?,O,"Triple T3 states that O is a point, and it is labeled as the center point.",[3],1,1,T3
4,Q5,Is point B located on the circle?,,The perception triples do not provide information about whether point B is on the circle.,[],0,0,
4,Q6,Is point C located on the circle?,,The perception triples do not provide information about whether point C is on the circle.,[],0,0,
7,Q1,What is the measure of angle B in triangle ABC?,null,The perception triples do not provide information about the measure of angle B in triangle ABC.,[],0,0,
7,Q2,What is the measure of angle C in triangle ABC?,null,The perception triples do not provide information about the measure of angle C in triangle ABC.,[],0,0,
7,Q3,What is the measure of angle DAC in triangle ADE?,null,The perception triples do not provide information about the measure of angle DAC in triangle ADE.,[],0,0,
7,Q4,What is the stated relationship between triangle ABC and triangle ADE?,null,The perception triples do not provide information about the relationship between triangle ABC and triangle ADE.,[],0,0,
8,Q1,What is the length of BC?,5,Triple T8 states that BC has a measure of 5 units.,[8],1,1,T8
8,Q2,What is the length of BF?,7,Triple T9 states that BF has a measure of 7 units.,[9],1,1,T9
8,Q4,"Are points B, E, C, and F located on the same straight line?",null,"The perception triples do not provide information about the relative positions of points B, E, C, and F to determine if they are on the same straight line.  They only describe intersections and segment lengths.",[],0,0,
9,Q1,What is the measure of angle C in triangle ABC?,,The perception triples do not provide information about the measure of angle C.,[],0,0,
9,Q2,What is the relationship between sides AC and BC?,AC and BC are segments,"Triples [T4], [T5], and [T6] define segments AC, BC, and AB.","[4, 5, 6]",3,3,"T4, T5, T6"
9,Q3,What is the length of side AB in triangle ABC?,6_units,Triple [T12] states that AB has a measure of 6 units.,[12],1,1,T12
9,Q4,Does line segment AD bisect angle CAB?,,The perception triples do not provide information about whether AD bisects angle CAB.,[],0,0,
9,Q5,Is line segment DE perpendicular to line segment AB?,Yes,Triple [T11] states that DE is perpendicular to AB.,[11],1,1,T11
9,Q6,On which line segment does point E lie?,BC,"Triple [T9] states that AD intersects BC.  Since DE is perpendicular to AB, and AD intersects BC, E must lie on BC.",[9],1,1,T9
9,Q7,On which line segment does point D lie?,BC,"Triple [T9] states that AD intersects BC. Since DE is perpendicular to AB, and AD intersects BC, D must lie on BC.",[9],1,1,T9
10,Q1,What is the measure of angle A in triangle ABC?,null,The perception triples do not provide information about the measure of angle A in triangle ABC.,[],0,0,
10,Q2,What is the relationship between sides AB and AC in triangle ABC?,AB and AC are segments,Triples T2 and T3 state that AB and AC are segments.,"[2, 3]",2,2,"T2, T3"
10,Q3,What point does the perpendicular bisector of AB intersect AB at?,null,The perception triples do not provide information about the intersection of the perpendicular bisector of AB with AB.,[],0,0,
10,Q4,What is the relationship between the perpendicular bisector line and segment AB?,DE is perpendicular to AB,"Triple T8 states that DE is perpendicular to AC, and since AC intersects AB at point A, DE is perpendicular to AB.",[8],1,1,T8
10,Q5,What point on triangle ABC does the perpendicular bisector pass through besides E?,null,The perception triples do not provide information about a point on triangle ABC other than E that the perpendicular bisector passes through.,[],0,0,
11,Q1,What is the measure of angle C in degrees?,36,Triple T12 states that ∠ACB has a measure of 36_deg.,[12],1,1,T12
11,Q2,What is the measure of angle BAE in degrees?,,The perception triples do not provide information about the measure of angle BAE.,[],0,0,
11,Q3,By how many degrees is triangle ABC rotated anticlockwise?,,The perception triples do not provide information about the rotation of the triangle.,[],0,0,
11,Q4,At which point do line segments AD and BC intersect?,,The perception triples do not provide information about the intersection point of line segments AD and BC.,[],0,0,
14,Q1,What is the measure of angle OAB in degrees?,null,The perception triples do not provide the measure of angle OAB.,[],0,0,
14,Q2,Is O the center of the circle?,true,Triple T4 states that O is the center of the circle.,[4],1,1,T4
