problem_index,case_id,case_label,status,subject,predicate,object
1,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,60_deg
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠A,has_measure,80_deg
1,19,half_text + noisy_half_diagram[irr_objects],OK,DE,intersects,BC
1,19,half_text + noisy_half_diagram[irr_objects],OK,DE,is_parallel_to,BC
,,,,,,
2,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,G,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,EG,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠BEF,is_a,angle
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠AEC,is_a,angle
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠EFG,is_a,angle
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠EGF,is_a,angle
2,19,half_text + noisy_half_diagram[irr_objects],OK,50,has_measure,∠BEF
2,19,half_text + noisy_half_diagram[irr_objects],OK,EG,intersects,EF
2,19,half_text + noisy_half_diagram[irr_objects],OK,EG,intersects,CD
2,19,half_text + noisy_half_diagram[irr_objects],OK,AB,parallel_to,CD
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,intersects,AB
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,intersects,CD
,,,,,,
3,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠CDB,has_measure,180_deg
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,has_measure,?
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,parallel_to,AB
3,19,half_text + noisy_half_diagram[irr_objects],OK,D,intersects,AB
3,19,half_text + noisy_half_diagram[irr_objects],OK,D,intersects,BC
3,19,half_text + noisy_half_diagram[irr_objects],OK,B,intersects,AB
3,19,half_text + noisy_half_diagram[irr_objects],OK,B,intersects,BC
,,,,,,
4,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,circle
4,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
4,19,half_text + noisy_half_diagram[irr_objects],OK,36,has_measure,∠AOB
4,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
4,19,half_text + noisy_half_diagram[irr_objects],OK,AB,tangent_to,O
4,19,half_text + noisy_half_diagram[irr_objects],OK,B,lies_on,AB
4,19,half_text + noisy_half_diagram[irr_objects],OK,AO,intersects,O
4,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,AO
4,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,O
4,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
4,19,half_text + noisy_half_diagram[irr_objects],OK,∠OCB,has_measure,?
,,,,,,
7,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
7,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
7,19,half_text + noisy_half_diagram[irr_objects],OK,AD,is_a,segment
7,19,half_text + noisy_half_diagram[irr_objects],OK,AE,is_a,segment
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠B,has_measure,70_deg
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,has_measure,30_deg
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAC,has_measure,?
7,19,half_text + noisy_half_diagram[irr_objects],OK,DE,intersects,AB
7,19,half_text + noisy_half_diagram[irr_objects],OK,DE,intersects,AC
7,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,DE
7,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,AC
7,19,half_text + noisy_half_diagram[irr_objects],OK,E,lies_on,AE
7,19,half_text + noisy_half_diagram[irr_objects],OK,E,lies_on,AB
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠D,has_measure,35_deg
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠E,has_measure,?
,,,,,,
8,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,DE,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,EF,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,BF,has_measure,7.0
8,19,half_text + noisy_half_diagram[irr_objects],OK,EC,?,?
8,19,half_text + noisy_half_diagram[irr_objects],OK,E,lies_on,BC
8,19,half_text + noisy_half_diagram[irr_objects],OK,F,lies_on,EF
,,,,,,
9,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,DE,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,is_a,angle
9,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,has_measure,90_deg
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,BC
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,=,BC
9,19,half_text + noisy_half_diagram[irr_objects],OK,AB,has_length,6.0
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,bisects,∠CAB
9,19,half_text + noisy_half_diagram[irr_objects],OK,DE,perpendicular_to,AB
9,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
,,,,,,
10,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,36,has_measure,∠BAC
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,AC
10,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,AB
10,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,AC
10,19,half_text + noisy_half_diagram[irr_objects],OK,E,lies_on,AB
10,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAC,has_measure,36
,,,,,,
11,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,AD,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,AED,is_a,triangle
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,60_deg
11,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,AF,intersects,BC
11,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,AE
11,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,DE
11,19,half_text + noisy_half_diagram[irr_objects],OK,AB,connects,BC
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠AFC,?,deg
,,,,,,
14,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
14,19,half_text + noisy_half_diagram[irr_objects],OK,∠ACB,has_measure,35_deg
14,19,half_text + noisy_half_diagram[irr_objects],OK,O,center_of,circle
14,19,half_text + noisy_half_diagram[irr_objects],OK,B,lies_on,circle
14,19,half_text + noisy_half_diagram[irr_objects],OK,A,lies_on,circle
14,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,circle
,,,,,,
16,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
16,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
16,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
16,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOC,has_measure,50_deg
16,19,half_text + noisy_half_diagram[irr_objects],OK,O,center_of,circle
16,19,half_text + noisy_half_diagram[irr_objects],OK,AC,parallel_to,OB
16,19,half_text + noisy_half_diagram[irr_objects],OK,∠OAB,has_measure,?
,,,,,,
17,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,ABCD,is_a,parallelogram
17,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,30_deg
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAC,has_measure,42_deg
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠CBD,has_measure,?
17,19,half_text + noisy_half_diagram[irr_objects],OK,BC,lies_on,AB
17,19,half_text + noisy_half_diagram[irr_objects],OK,CD,lies_on,AD
17,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,BD
17,19,half_text + noisy_half_diagram[irr_objects],OK,O,center_of,B
17,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,circle
17,19,half_text + noisy_half_diagram[irr_objects],OK,radius_of,B,5_units
,,,,,,
20,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,circle
20,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
20,19,half_text + noisy_half_diagram[irr_objects],OK,OB,is_a,segment
20,19,half_text + noisy_half_diagram[irr_objects],OK,DO,is_a,segment
20,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
20,19,half_text + noisy_half_diagram[irr_objects],OK,∠DOB,has_measure,140_deg
20,19,half_text + noisy_half_diagram[irr_objects],OK,AB,lies_on,O
20,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,diameter
20,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,O
20,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,O
,,,,,,
22,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,ABCD,is_a,quadrilateral
22,19,half_text + noisy_half_diagram[irr_objects],OK,AM,lies_on,AB
22,19,half_text + noisy_half_diagram[irr_objects],OK,CN,lies_on,CD
22,19,half_text + noisy_half_diagram[irr_objects],OK,AM,intersects,CN
22,19,half_text + noisy_half_diagram[irr_objects],OK,MN,intersects,AC
22,19,half_text + noisy_half_diagram[irr_objects],OK,O,lies_on,MN
22,19,half_text + noisy_half_diagram[irr_objects],OK,O,lies_on,AC
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAC,has_measure,28°
22,19,half_text + noisy_half_diagram[irr_objects],OK,N,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,N,lies_on,CD
22,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
22,19,half_text + noisy_half_diagram[irr_objects],OK,coffee_cup,is_a,object
22,19,half_text + noisy_half_diagram[irr_objects],OK,N,lies_on,coffee_cup
,,,,,,
25,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
25,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
25,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
25,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
25,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
25,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAF,is_a,angle
25,19,half_text + noisy_half_diagram[irr_objects],OK,∠B,is_a,angle
25,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,is_a,angle
25,19,half_text + noisy_half_diagram[irr_objects],OK,∠B is marked,has_measure,30_deg
25,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAF,has_measure,450_deg
25,19,half_text + noisy_half_diagram[irr_objects],OK,AB,lies_on,EF
25,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,∠C
25,19,half_text + noisy_half_diagram[irr_objects],OK,AC,bisects,∠BAF
25,19,half_text + noisy_half_diagram[irr_objects],OK,EF,parallel_to,BC
,,,,,,
26,19,half_text + noisy_half_diagram[irr_objects],OK,point,is_a,point
26,19,half_text + noisy_half_diagram[irr_objects],OK,bamboo_pole,is_a,segment
26,19,half_text + noisy_half_diagram[irr_objects],OK,flagpole,is_a,point
26,19,half_text + noisy_half_diagram[irr_objects],OK,point,lies_on,bamboo_pole
26,19,half_text + noisy_half_diagram[irr_objects],OK,flagpole,lies_on,bamboo_pole
26,19,half_text + noisy_half_diagram[irr_objects],OK,bamboo_pole,intersects,flagpole
26,19,half_text + noisy_half_diagram[irr_objects],OK,bamboo_pole,has_measure,8.0_m
26,19,half_text + noisy_half_diagram[irr_objects],OK,flagpole,has_measure,22.0_m
26,19,half_text + noisy_half_diagram[irr_objects],OK,point,lies_on,flagpole
,,,,,,
29,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
29,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
29,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
29,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
29,19,half_text + noisy_half_diagram[irr_objects],OK,50_deg,has_measure,∠AOB
29,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
