problem_index,case_id,case_label,status,subject,predicate,object
1,3,noisy_text[punctuation] + full_diagram,OK,A,is_a,point
1,3,noisy_text[punctuation] + full_diagram,OK,B,is_a,point
1,3,noisy_text[punctuation] + full_diagram,OK,C,is_a,point
1,3,noisy_text[punctuation] + full_diagram,OK,∠AOB,is_a,angle
1,3,noisy_text[punctuation] + full_diagram,OK,∠ABC,has_measure,60_deg
1,3,noisy_text[punctuation] + full_diagram,OK,A,intersects,B
1,3,noisy_text[punctuation] + full_diagram,OK,C,intersects,B
1,3,noisy_text[punctuation] + full_diagram,OK,D,lies_on,AB
1,3,noisy_text[punctuation] + full_diagram,OK,E,lies_on,AC
1,3,noisy_text[punctuation] + full_diagram,OK,D,intersects,BC
1,3,noisy_text[punctuation] + full_diagram,OK,E,intersects,BC
,,,,,,
2,3,noisy_text[punctuation] + full_diagram,OK,AB,is_a,segment
2,3,noisy_text[punctuation] + full_diagram,OK,CD,is_a,segment
2,3,noisy_text[punctuation] + full_diagram,OK,EF,is_a,segment
2,3,noisy_text[punctuation] + full_diagram,OK,∠AOB,has_measure,50_deg
2,3,noisy_text[punctuation] + full_diagram,OK,∠EGF,has_measure,?
2,3,noisy_text[punctuation] + full_diagram,OK,CD,intersects,EF
2,3,noisy_text[punctuation] + full_diagram,OK,AB,intersects,EF
2,3,noisy_text[punctuation] + full_diagram,OK,CD,parallel_to,AB
2,3,noisy_text[punctuation] + full_diagram,OK,CD,intersects,G
2,3,noisy_text[punctuation] + full_diagram,OK,EF,intersects,G
,,,,,,
3,3,noisy_text[punctuation] + full_diagram,OK,B,is_a,point
3,3,noisy_text[punctuation] + full_diagram,OK,C,is_a,point
3,3,noisy_text[punctuation] + full_diagram,OK,A,is_a,point
3,3,noisy_text[punctuation] + full_diagram,OK,AB,is_a,segment
3,3,noisy_text[punctuation] + full_diagram,OK,BC,is_a,segment
3,3,noisy_text[punctuation] + full_diagram,OK,∠ABC,has_measure,70_deg
3,3,noisy_text[punctuation] + full_diagram,OK,BD,is_a,segment
3,3,noisy_text[punctuation] + full_diagram,OK,BC,intersects,AB
3,3,noisy_text[punctuation] + full_diagram,OK,BD,intersects,BC
3,3,noisy_text[punctuation] + full_diagram,OK,CD,parallel_to,AB
,,,,,,
4,3,noisy_text[punctuation] + full_diagram,OK,A,is_a,point
4,3,noisy_text[punctuation] + full_diagram,OK,B,is_a,point
4,3,noisy_text[punctuation] + full_diagram,OK,O,is_a,point
4,3,noisy_text[punctuation] + full_diagram,OK,AB,is_a,segment
4,3,noisy_text[punctuation] + full_diagram,OK,∠AOB,is_a,angle
4,3,noisy_text[punctuation] + full_diagram,OK,∠AOB,has_measure,36_deg
4,3,noisy_text[punctuation] + full_diagram,OK,OA,is_a,segment
4,3,noisy_text[punctuation] + full_diagram,OK,OB,is_a,segment
4,3,noisy_text[punctuation] + full_diagram,OK,AB,tangent_to,O
4,3,noisy_text[punctuation] + full_diagram,OK,BC,intersects,O
4,3,noisy_text[punctuation] + full_diagram,OK,C,is_a,point
,,,,,,
7,3,noisy_text[punctuation] + full_diagram,OK,A,is_a,point
7,3,noisy_text[punctuation] + full_diagram,OK,B,is_a,point
7,3,noisy_text[punctuation] + full_diagram,OK,C,is_a,point
7,3,noisy_text[punctuation] + full_diagram,OK,D,is_a,point
7,3,noisy_text[punctuation] + full_diagram,OK,E,is_a,point
7,3,noisy_text[punctuation] + full_diagram,OK,∠AOB,has_measure,70_deg
7,3,noisy_text[punctuation] + full_diagram,OK,∠COD,has_measure,30_deg
7,3,noisy_text[punctuation] + full_diagram,OK,∠DAE,has_measure,35_deg
7,3,noisy_text[punctuation] + full_diagram,OK,AB,is_a,segment
7,3,noisy_text[punctuation] + full_diagram,OK,AC,is_a,segment
7,3,noisy_text[punctuation] + full_diagram,OK,AD,is_a,segment
7,3,noisy_text[punctuation] + full_diagram,OK,AE,is_a,segment
7,3,noisy_text[punctuation] + full_diagram,OK,BC,is_a,segment
7,3,noisy_text[punctuation] + full_diagram,OK,BD,is_a,segment
7,3,noisy_text[punctuation] + full_diagram,OK,BE,is_a,segment
7,3,noisy_text[punctuation] + full_diagram,OK,AB,intersects,BC
7,3,noisy_text[punctuation] + full_diagram,OK,AC,intersects,BC
7,3,noisy_text[punctuation] + full_diagram,OK,AD,intersects,BD
7,3,noisy_text[punctuation] + full_diagram,OK,AE,intersects,BE
7,3,noisy_text[punctuation] + full_diagram,OK,∠BAC,has_measure,30_deg
,,,,,,
8,3,noisy_text[punctuation] + full_diagram,OK,B,lies_on,AB
8,3,noisy_text[punctuation] + full_diagram,OK,C,lies_on,BC
8,3,noisy_text[punctuation] + full_diagram,OK,F,lies_on,EF
8,3,noisy_text[punctuation] + full_diagram,OK,BC,has_measure,5_units
8,3,noisy_text[punctuation] + full_diagram,OK,BF,has_measure,7_units
8,3,noisy_text[punctuation] + full_diagram,OK,AB,intersects,BC
,,,,,,
9,3,noisy_text[punctuation] + full_diagram,OK,A,is_a,point
9,3,noisy_text[punctuation] + full_diagram,OK,B,is_a,point
9,3,noisy_text[punctuation] + full_diagram,OK,C,is_a,point
9,3,noisy_text[punctuation] + full_diagram,OK,D,is_a,point
9,3,noisy_text[punctuation] + full_diagram,OK,E,is_a,point
9,3,noisy_text[punctuation] + full_diagram,OK,AB,is_a,segment
9,3,noisy_text[punctuation] + full_diagram,OK,AC,is_a,segment
9,3,noisy_text[punctuation] + full_diagram,OK,BC,is_a,segment
