run_folder,case_label,problem_index,ground_truth,predicted,correct,status
first run,full_text + full_diagram,1,140°,60 degrees,0,OK
first run,full_text + full_diagram,2,65°,50 degrees,0,OK
first run,full_text + full_diagram,3,55°,70 degrees,0,OK
first run,full_text + full_diagram,4,27°,36_deg,0,OK
first run,full_text + full_diagram,7,45°,30 degrees,0,OK
first run,full_text + full_diagram,8,3cm,7.0,0,OK
first run,full_text + full_diagram,9,6cm,6 units,1,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,10,72°,36_deg,0,OK
first run,full_text + full_diagram,11,84°,36_deg,0,OK
first run,full_text + full_diagram,14,55°,35 degrees,0,OK
first run,full_text + full_diagram,16,25°,50 degrees,0,OK
first run,full_text + full_diagram,17,65°,unknown,0,OK
first run,full_text + full_diagram,20,20°,140,0,OK
first run,full_text + full_diagram,22,62°,28 degrees,0,OK
first run,full_text + full_diagram,25,65°,50,0,OK
first run,full_text + full_diagram,26,12,3.2 meters,0,OK
first run,full_text + full_diagram,29,115°,50 degrees,0,OK
first run,full_text + full_diagram,30,60°,30 degrees,0,OK
first run,full_text + full_diagram,32,76°,52 degrees,0,OK
first run,full_text + full_diagram,34,80°,100 degrees,0,OK
first run,full_text + full_diagram,36,20°,50 degrees,0,OK
first run,full_text + full_diagram,37,25°,50 degrees,0,OK
first run,full_text + full_diagram,38,40°,Cannot be determined,0,OK
first run,full_text + full_diagram,40,50°,50 degrees,1,OK
first run,full_text + full_diagram,43,40°,30 degrees,0,OK
first run,full_text + full_diagram,44,9m,30.0,0,OK
first run,full_text + full_diagram,45,70°,35_deg,0,OK
first run,full_text + full_diagram,46,110°,70_deg,0,OK
first run,full_text + full_diagram,48,130°,50,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,49,100°,35_deg,0,OK
first run,full_text + full_diagram,50,140°,50 degrees,0,OK
first run,full_text + full_diagram,53,55°,BFD,0,OK
first run,full_text + full_diagram,55,55°,3,0,OK
first run,full_text + full_diagram,56,40°,90,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,57,20°,20 degrees,1,OK
first run,full_text + full_diagram,58,55°,55,1,OK
first run,full_text + full_diagram,59,50°,80 degrees,0,OK
first run,full_text + full_diagram,60,45°,135_deg,0,OK
first run,full_text + full_diagram,64,40cm,200,0,OK
first run,full_text + full_diagram,72,8cm,16,0,OK
first run,full_text + full_diagram,73,140°,70 degrees,0,OK
first run,full_text + full_diagram,78,125°,70 degrees,0,OK
first run,full_text + full_diagram,79,16cm,32,0,OK
first run,full_text + full_diagram,81,25°,50,0,OK
first run,full_text + full_diagram,84,√{3},0,0,OK
first run,full_text + full_diagram,86,2√{3},2,0,OK
first run,full_text + full_diagram,88,128°,64,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,95,30°,90_deg,0,OK
first run,full_text + full_diagram,99,64°,26,0,OK
first run,full_text + full_diagram,108,8m,8.0,1,OK
first run,full_text + full_diagram,109,40°,30,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,112,2.4,1.25,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,114,\frac{1}{2}cm^{2},π/4,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,115,4πcm,120,0,OK
first run,full_text + full_diagram,117,2√{2}cm,3 units,0,OK
first run,full_text + full_diagram,119,240cm^{2},0,0,OK
first run,full_text + full_diagram,120,9πcm^{2},4,0,OK
first run,full_text + full_diagram,123,15π,Cannot be determined,0,OK
first run,full_text + full_diagram,128,4cm,6,0,OK
first run,full_text + full_diagram,132,10.2m,13.6,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,133,120m,80.0_m,0,OK
first run,full_text + full_diagram,149,\frac{20}{3},16,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,150,\frac{40}{7}m,-1/3,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,151,5.1,20 units,0,OK
first run,full_text + full_diagram,152,4m,0.5,0,OK
first run,full_text + full_diagram,153,1.5m,1.8,0,OK
first run,full_text + full_diagram,157,\frac{3}{5},0.75,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,165,\frac{√{3}}{2},sin(B) cannot be determined from the given information.,0,OK
first run,full_text + full_diagram,198,60,60,1,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,207,157.1,58.9,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,210,15,16,0,OK
first run,full_text + full_diagram,211,38,38,1,OK
first run,full_text + full_diagram,223,\sqrt{7},√7,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,239,8,16,0,OK
first run,full_text + full_diagram,243,1591,Unknown,0,OK
first run,full_text + full_diagram,257,15,5,0,OK
first run,full_text + full_diagram,264,60,10x,0,OK
first run,full_text + full_diagram,281,0.38,0.91,0,OK
first run,full_text + full_diagram,327,11.8,10.7,0,OK
first run,full_text + full_diagram,348,285,198,0,OK
first run,full_text + full_diagram,364,74.85,65.90,0,OK
first run,full_text + full_diagram,365,23.9,1.0,0,OK
first run,full_text + full_diagram,420,8,6,0,OK
first run,full_text + full_diagram,432,8.246,0,0,OK
first run,full_text + full_diagram,438,\frac{(x+3)^2}{25}-\frac{(y+3)^2}{25}=1,The equation of the hyperbola is ((x - (-3))² - (y + 3)²)/25 - ((x - (-3))² - (y + 3)²)/25 = 1,0,OK
first run,full_text + full_diagram,441,$\frac{4}{5}$,Cannot be determined,0,OK
first run,full_text + full_diagram,447,$\frac{20}{29}$,1/sqrt(3),0,OK
first run,full_text + full_diagram,449,$\frac{1}{x}$,The value of sec theta at point P is 1.,0,OK
first run,full_text + full_diagram,457,$(x-1)^{2}+(y-3)^{2}=36$,(AB)^2 = 6^2,0,OK
first run,full_text + full_diagram,472,"(0,0)",O,0,OK
first run,full_text + noisy_diagram[bg_change],1,140°,40,0,OK
first run,full_text + noisy_diagram[bg_change],2,65°,50 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],3,55°,70 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],4,27°,36_deg,0,OK
first run,full_text + noisy_diagram[bg_change],7,45°,35_deg,0,OK
first run,full_text + noisy_diagram[bg_change],8,3cm,7.0,0,OK
first run,full_text + noisy_diagram[bg_change],9,6cm,12,0,OK_AFTER_JSON_REPAIR
first run,full_text + noisy_diagram[bg_change],10,72°,36_deg,0,OK
first run,full_text + noisy_diagram[bg_change],11,84°,36_deg,0,OK
first run,full_text + noisy_diagram[bg_change],14,55°,35 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],16,25°,50 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],17,65°,23 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],20,20°,140,0,OK
first run,full_text + noisy_diagram[bg_change],22,62°,unknown,0,OK
first run,full_text + noisy_diagram[bg_change],25,65°,50 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],26,12,22,0,OK
first run,full_text + noisy_diagram[bg_change],29,115°,50_deg,0,OK
first run,full_text + noisy_diagram[bg_change],30,60°,30_deg,0,OK
first run,full_text + noisy_diagram[bg_change],32,76°,52 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],34,80°,100 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],36,20°,BAC,0,OK
first run,full_text + noisy_diagram[bg_change],37,25°,50 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],38,40°,70_deg,0,OK
first run,full_text + noisy_diagram[bg_change],40,50°,50 degrees,1,OK
first run,full_text + noisy_diagram[bg_change],43,40°,100 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],44,9m,1.5,0,OK
first run,full_text + noisy_diagram[bg_change],45,70°,30_deg,0,OK
first run,full_text + noisy_diagram[bg_change],46,110°,70,0,OK
first run,full_text + noisy_diagram[bg_change],48,130°,100 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],49,100°,35_deg,0,OK
first run,full_text + noisy_diagram[bg_change],50,140°,50 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],53,55°,C,0,OK
first run,full_text + noisy_diagram[bg_change],55,55°,70,0,OK
first run,full_text + noisy_diagram[bg_change],56,40°,20 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],57,20°,20 degrees,1,OK
first run,full_text + noisy_diagram[bg_change],58,55°,35,0,OK_AFTER_JSON_REPAIR
first run,full_text + noisy_diagram[bg_change],59,50°,80_deg,0,OK
first run,full_text + noisy_diagram[bg_change],60,45°,135_deg,0,OK
first run,full_text + noisy_diagram[bg_change],64,40cm,160 units,0,OK
first run,full_text + noisy_diagram[bg_change],72,8cm,16,0,OK
first run,full_text + noisy_diagram[bg_change],73,140°,70_deg,0,OK
first run,full_text + noisy_diagram[bg_change],78,125°,70 degrees,0,OK
first run,full_text + noisy_diagram[bg_change],79,16cm,Cannot be determined,0,OK
first run,full_text + noisy_diagram[bg_change],81,25°,50,0,OK
