problem_index,case_id,case_label,status,subject,predicate,object
1,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,point
1,9,full_text + noisy_diagram[irr_objects],OK,B,is_a,point
1,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
1,9,full_text + noisy_diagram[irr_objects],OK,D,is_a,point
1,9,full_text + noisy_diagram[irr_objects],OK,E,is_a,point
1,9,full_text + noisy_diagram[irr_objects],OK,AB,is_a,segment
1,9,full_text + noisy_diagram[irr_objects],OK,AC,is_a,segment
1,9,full_text + noisy_diagram[irr_objects],OK,BC,is_a,segment
1,9,full_text + noisy_diagram[irr_objects],OK,DE,is_a,segment
1,9,full_text + noisy_diagram[irr_objects],OK,∠A,is_a,angle
1,9,full_text + noisy_diagram[irr_objects],OK,∠B,is_a,angle
1,9,full_text + noisy_diagram[irr_objects],OK,∠CED,is_a,angle
1,9,full_text + noisy_diagram[irr_objects],OK,∠A,has_measure,80_deg
1,9,full_text + noisy_diagram[irr_objects],OK,∠B,has_measure,60_deg
1,9,full_text + noisy_diagram[irr_objects],OK,D,lies_on,AB
1,9,full_text + noisy_diagram[irr_objects],OK,E,lies_on,AC
1,9,full_text + noisy_diagram[irr_objects],OK,DE,parallel_to,BC
,,,,,,
2,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,point
2,9,full_text + noisy_diagram[irr_objects],OK,AB,is_a,segment
2,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
2,9,full_text + noisy_diagram[irr_objects],OK,CD,is_a,segment
2,9,full_text + noisy_diagram[irr_objects],OK,E,is_a,point
2,9,full_text + noisy_diagram[irr_objects],OK,F,is_a,point
2,9,full_text + noisy_diagram[irr_objects],OK,G,is_a,point
2,9,full_text + noisy_diagram[irr_objects],OK,EG,is_a,segment
2,9,full_text + noisy_diagram[irr_objects],OK,EF,is_a,segment
2,9,full_text + noisy_diagram[irr_objects],OK,∠EFG,is_a,angle
2,9,full_text + noisy_diagram[irr_objects],OK,50_deg,has_measure,∠EFG
2,9,full_text + noisy_diagram[irr_objects],OK,AB,parallel_to,CD
2,9,full_text + noisy_diagram[irr_objects],OK,EF,intersects,AB
2,9,full_text + noisy_diagram[irr_objects],OK,EF,intersects,CD
2,9,full_text + noisy_diagram[irr_objects],OK,EG,intersects,CD
2,9,full_text + noisy_diagram[irr_objects],OK,EG,bisects,∠BEF
,,,,,,
3,9,full_text + noisy_diagram[irr_objects],OK,B,is_a,point
3,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
3,9,full_text + noisy_diagram[irr_objects],OK,D,is_a,point
3,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,point
3,9,full_text + noisy_diagram[irr_objects],OK,BC,is_a,segment
3,9,full_text + noisy_diagram[irr_objects],OK,BD,is_a,segment
3,9,full_text + noisy_diagram[irr_objects],OK,CD,is_a,segment
3,9,full_text + noisy_diagram[irr_objects],OK,AB,is_a,segment
3,9,full_text + noisy_diagram[irr_objects],OK,BC,intersects,BA
3,9,full_text + noisy_diagram[irr_objects],OK,BD,bisects,angle ABC
3,9,full_text + noisy_diagram[irr_objects],OK,CD,parallel_to,AB
3,9,full_text + noisy_diagram[irr_objects],OK,∠BCD,has_measure,70_deg
3,9,full_text + noisy_diagram[irr_objects],OK,CD,has_measure,?
3,9,full_text + noisy_diagram[irr_objects],OK,∠CDB,has_measure,?
3,9,full_text + noisy_diagram[irr_objects],OK,BD,intersects,CD
3,9,full_text + noisy_diagram[irr_objects],OK,B,lies_on,BC
3,9,full_text + noisy_diagram[irr_objects],OK,B,lies_on,BA
3,9,full_text + noisy_diagram[irr_objects],OK,D,lies_on,CD
3,9,full_text + noisy_diagram[irr_objects],OK,C,lies_on,BC
3,9,full_text + noisy_diagram[irr_objects],OK,BD,connects,B
3,9,full_text + noisy_diagram[irr_objects],OK,BD,connects,D
3,9,full_text + noisy_diagram[irr_objects],OK,CD,connects,C
3,9,full_text + noisy_diagram[irr_objects],OK,CD,connects,D
3,9,full_text + noisy_diagram[irr_objects],OK,BC,connects,B
3,9,full_text + noisy_diagram[irr_objects],OK,BC,connects,C
3,9,full_text + noisy_diagram[irr_objects],OK,AB,connects,A
3,9,full_text + noisy_diagram[irr_objects],OK,AB,connects,B
,,,,,,
4,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,point
4,9,full_text + noisy_diagram[irr_objects],OK,O,is_a,point
4,9,full_text + noisy_diagram[irr_objects],OK,B,is_a,point
4,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
4,9,full_text + noisy_diagram[irr_objects],OK,AB,is_a,segment
4,9,full_text + noisy_diagram[irr_objects],OK,AO,is_a,segment
4,9,full_text + noisy_diagram[irr_objects],OK,OC,is_a,segment
4,9,full_text + noisy_diagram[irr_objects],OK,OB,is_a,segment
4,9,full_text + noisy_diagram[irr_objects],OK,AC,is_a,segment
4,9,full_text + noisy_diagram[irr_objects],OK,BC,is_a,segment
4,9,full_text + noisy_diagram[irr_objects],OK,∠A,is_a,angle
4,9,full_text + noisy_diagram[irr_objects],OK,∠C,is_a,angle
4,9,full_text + noisy_diagram[irr_objects],OK,∠OCB,is_a,angle
4,9,full_text + noisy_diagram[irr_objects],OK,AB,tangent_to,circle O
4,9,full_text + noisy_diagram[irr_objects],OK,B,lies_on,circle O
4,9,full_text + noisy_diagram[irr_objects],OK,C,lies_on,circle O
4,9,full_text + noisy_diagram[irr_objects],OK,AO,intersects,circle O
4,9,full_text + noisy_diagram[irr_objects],OK,AO,intersects,circle O at point C
4,9,full_text + noisy_diagram[irr_objects],OK,AB,tangent_to,circle O at point B
4,9,full_text + noisy_diagram[irr_objects],OK,∠A,has_measure,36_deg
4,9,full_text + noisy_diagram[irr_objects],OK,O,center_of,circle O
4,9,full_text + noisy_diagram[irr_objects],OK,OB,radius_of,circle O
4,9,full_text + noisy_diagram[irr_objects],OK,OC,radius_of,circle O
,,,,,,
7,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,point
7,9,full_text + noisy_diagram[irr_objects],OK,B,is_a,point
7,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
7,9,full_text + noisy_diagram[irr_objects],OK,D,is_a,point
7,9,full_text + noisy_diagram[irr_objects],OK,E,is_a,point
7,9,full_text + noisy_diagram[irr_objects],OK,AB,is_a,segment
7,9,full_text + noisy_diagram[irr_objects],OK,AC,is_a,segment
7,9,full_text + noisy_diagram[irr_objects],OK,AD,is_a,segment
7,9,full_text + noisy_diagram[irr_objects],OK,AE,is_a,segment
7,9,full_text + noisy_diagram[irr_objects],OK,ABC,is_a,triangle
7,9,full_text + noisy_diagram[irr_objects],OK,ADE,is_a,triangle
7,9,full_text + noisy_diagram[irr_objects],OK,angle B,has_measure,70_deg
7,9,full_text + noisy_diagram[irr_objects],OK,angle C,has_measure,30_deg
7,9,full_text + noisy_diagram[irr_objects],OK,angle DAC,has_measure,35_deg
7,9,full_text + noisy_diagram[irr_objects],OK,triangle ABC,is_congruent_to,triangle ADE
7,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,"common_vertex_of, triangles ABC and ADE"
,,,,,,
8,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,point
8,9,full_text + noisy_diagram[irr_objects],OK,B,is_a,point
8,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
