problem_index,case_id,case_label,status,subject,predicate,object
1,3,noisy_text[punctuation] + full_diagram,OK,A,is_a,point
1,3,noisy_text[punctuation] + full_diagram,OK,B,is_a,point
1,3,noisy_text[punctuation] + full_diagram,OK,C,is_a,point
1,3,noisy_text[punctuation] + full_diagram,OK,A,has_measure,80_deg
1,3,noisy_text[punctuation] + full_diagram,OK,B,has_measure,60_deg
1,3,noisy_text[punctuation] + full_diagram,OK,D,lies_on,AB
1,3,noisy_text[punctuation] + full_diagram,OK,E,lies_on,AC
1,3,noisy_text[punctuation] + full_diagram,OK,DE,is_a,segment
1,3,noisy_text[punctuation] + full_diagram,OK,BC,is_a,segment
1,3,noisy_text[punctuation] + full_diagram,OK,DE,parallel_to,BC
,,,,,,
2,3,noisy_text[punctuation] + full_diagram,OK,A,is_a,point
2,3,noisy_text[punctuation] + full_diagram,OK,B,is_a,point
2,3,noisy_text[punctuation] + full_diagram,OK,C,is_a,point
2,3,noisy_text[punctuation] + full_diagram,OK,D,is_a,point
2,3,noisy_text[punctuation] + full_diagram,OK,E,is_a,point
2,3,noisy_text[punctuation] + full_diagram,OK,F,is_a,point
2,3,noisy_text[punctuation] + full_diagram,OK,G,is_a,point
2,3,noisy_text[punctuation] + full_diagram,OK,AB,is_a,segment
2,3,noisy_text[punctuation] + full_diagram,OK,CD,is_a,segment
2,3,noisy_text[punctuation] + full_diagram,OK,EF,is_a,segment
2,3,noisy_text[punctuation] + full_diagram,OK,EG,is_a,segment
2,3,noisy_text[punctuation] + full_diagram,OK,∠EFG,is_a,angle
2,3,noisy_text[punctuation] + full_diagram,OK,∠EGF,is_a,angle
2,3,noisy_text[punctuation] + full_diagram,OK,AB,parallel_to,CD
2,3,noisy_text[punctuation] + full_diagram,OK,EF,intersects,AB
2,3,noisy_text[punctuation] + full_diagram,OK,EF,intersects,CD
2,3,noisy_text[punctuation] + full_diagram,OK,EG,intersects,CD
2,3,noisy_text[punctuation] + full_diagram,OK,EG,bisects,∠BEF
2,3,noisy_text[punctuation] + full_diagram,OK,∠EFG,has_measure,50_deg
,,,,,,
3,3,noisy_text[punctuation] + full_diagram,OK,A,is_a,point
3,3,noisy_text[punctuation] + full_diagram,OK,B,is_a,point
3,3,noisy_text[punctuation] + full_diagram,OK,C,is_a,point
3,3,noisy_text[punctuation] + full_diagram,OK,D,is_a,point
3,3,noisy_text[punctuation] + full_diagram,OK,A,lies_on,line_AB
3,3,noisy_text[punctuation] + full_diagram,OK,B,lies_on,line_AB
3,3,noisy_text[punctuation] + full_diagram,OK,C,lies_on,line_CB
3,3,noisy_text[punctuation] + full_diagram,OK,D,lies_on,line_CD
3,3,noisy_text[punctuation] + full_diagram,OK,AB,is_a,line
3,3,noisy_text[punctuation] + full_diagram,OK,CD,is_a,line
3,3,noisy_text[punctuation] + full_diagram,OK,BC,is_a,line
3,3,noisy_text[punctuation] + full_diagram,OK,BA,is_a,line
3,3,noisy_text[punctuation] + full_diagram,OK,CD,parallel_to,AB
3,3,noisy_text[punctuation] + full_diagram,OK,BC,intersects,AB
3,3,noisy_text[punctuation] + full_diagram,OK,BC,intersects,line_CD
3,3,noisy_text[punctuation] + full_diagram,OK,BA,intersects,line_CD
3,3,noisy_text[punctuation] + full_diagram,OK,angle_BCD,has_measure,70_deg
3,3,noisy_text[punctuation] + full_diagram,OK,angle_BCD,is_a,angle
3,3,noisy_text[punctuation] + full_diagram,OK,BD,bisects,angle_ABC
3,3,noisy_text[punctuation] + full_diagram,OK,CB,connects,"C, B"
,,,,,,
4,3,noisy_text[punctuation] + full_diagram,OK,A,is_a,point
4,3,noisy_text[punctuation] + full_diagram,OK,B,is_a,point
4,3,noisy_text[punctuation] + full_diagram,OK,C,is_a,point
4,3,noisy_text[punctuation] + full_diagram,OK,O,is_a,point
4,3,noisy_text[punctuation] + full_diagram,OK,AB,is_a,segment
4,3,noisy_text[punctuation] + full_diagram,OK,AO,is_a,segment
4,3,noisy_text[punctuation] + full_diagram,OK,OC,is_a,segment
4,3,noisy_text[punctuation] + full_diagram,OK,BC,is_a,segment
4,3,noisy_text[punctuation] + full_diagram,OK,∠A,is_a,angle
4,3,noisy_text[punctuation] + full_diagram,OK,∠C,is_a,angle
4,3,noisy_text[punctuation] + full_diagram,OK,∠OCB,is_a,angle
4,3,noisy_text[punctuation] + full_diagram,OK,AB,tangent_to,circle O at point B
4,3,noisy_text[punctuation] + full_diagram,OK,AO,intersects,circle O at point C
4,3,noisy_text[punctuation] + full_diagram,OK,AB,lies_on,line AB
4,3,noisy_text[punctuation] + full_diagram,OK,∠A,has_measure,36_deg
,,,,,,
7,3,noisy_text[punctuation] + full_diagram,OK,A,is_a,point
7,3,noisy_text[punctuation] + full_diagram,OK,B,is_a,point
7,3,noisy_text[punctuation] + full_diagram,OK,C,is_a,point
7,3,noisy_text[punctuation] + full_diagram,OK,D,is_a,point
7,3,noisy_text[punctuation] + full_diagram,OK,E,is_a,point
7,3,noisy_text[punctuation] + full_diagram,OK,AB,is_a,segment
7,3,noisy_text[punctuation] + full_diagram,OK,AC,is_a,segment
7,3,noisy_text[punctuation] + full_diagram,OK,AD,is_a,segment
7,3,noisy_text[punctuation] + full_diagram,OK,AE,is_a,segment
7,3,noisy_text[punctuation] + full_diagram,OK,∠ABC,is_a,angle
7,3,noisy_text[punctuation] + full_diagram,OK,∠ACB,is_a,angle
7,3,noisy_text[punctuation] + full_diagram,OK,∠DAC,is_a,angle
