problem_index,case_id,case_label,status,subject,predicate,object
1,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,A,lies_on,ABC
1,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,B,lies_on,ABC
1,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,C,lies_on,ABC
1,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,D,lies_on,AB
1,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,E,lies_on,AC
1,4,noisy_text[sentence] + full_diagram,OK,DE,is_a,segment
1,4,noisy_text[sentence] + full_diagram,OK,DE,parallel_to,BC
1,4,noisy_text[sentence] + full_diagram,OK,∠A,is_a,angle
1,4,noisy_text[sentence] + full_diagram,OK,∠A,has_measure,80_deg
1,4,noisy_text[sentence] + full_diagram,OK,∠B,is_a,angle
1,4,noisy_text[sentence] + full_diagram,OK,∠B,has_measure,60_deg
,,,,,,
2,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,F,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,G,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
2,4,noisy_text[sentence] + full_diagram,OK,CD,is_a,segment
2,4,noisy_text[sentence] + full_diagram,OK,EF,is_a,segment
2,4,noisy_text[sentence] + full_diagram,OK,EG,is_a,segment
2,4,noisy_text[sentence] + full_diagram,OK,AB,parallel_to,CD
2,4,noisy_text[sentence] + full_diagram,OK,EF,intersects,AB
2,4,noisy_text[sentence] + full_diagram,OK,EF,intersects,CD
2,4,noisy_text[sentence] + full_diagram,OK,EG,intersects,CD
2,4,noisy_text[sentence] + full_diagram,OK,∠EFG,has_measure,50_deg
2,4,noisy_text[sentence] + full_diagram,OK,EG,bisects,∠BEF
2,4,noisy_text[sentence] + full_diagram,OK,?,lies_on,?
2,4,noisy_text[sentence] + full_diagram,OK,∠EGF,has_measure,?
2,4,noisy_text[sentence] + full_diagram,OK,∠BEF,is_a,angle
2,4,noisy_text[sentence] + full_diagram,OK,∠EFG,is_a,angle
2,4,noisy_text[sentence] + full_diagram,OK,∠EGF,is_a,angle
,,,,,,
3,4,noisy_text[sentence] + full_diagram,OK,B,lies_on,BC
3,4,noisy_text[sentence] + full_diagram,OK,B,lies_on,BA
3,4,noisy_text[sentence] + full_diagram,OK,BD,intersects,AC
3,4,noisy_text[sentence] + full_diagram,OK,BD,is_a,segment
3,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
3,4,noisy_text[sentence] + full_diagram,OK,BA,is_a,segment
3,4,noisy_text[sentence] + full_diagram,OK,CD,is_a,segment
3,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
3,4,noisy_text[sentence] + full_diagram,OK,∠BCD,has_measure,70_deg
3,4,noisy_text[sentence] + full_diagram,OK,BD,bisects,∠ABC
3,4,noisy_text[sentence] + full_diagram,OK,CD,parallel_to,AB
3,4,noisy_text[sentence] + full_diagram,OK,C,lies_on,BC
3,4,noisy_text[sentence] + full_diagram,OK,B,lies_on,BD
3,4,noisy_text[sentence] + full_diagram,OK,D,lies_on,BD
3,4,noisy_text[sentence] + full_diagram,OK,C,lies_on,CD
3,4,noisy_text[sentence] + full_diagram,OK,∠CDB,is_a,angle
3,4,noisy_text[sentence] + full_diagram,OK,∠ABC,is_a,angle
3,4,noisy_text[sentence] + full_diagram,OK,∠BCD,is_a,angle
3,4,noisy_text[sentence] + full_diagram,OK,query,has_target,∠CDB
3,4,noisy_text[sentence] + full_diagram,OK,D,lies_on,CD
,,,,,,
4,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
4,4,noisy_text[sentence] + full_diagram,OK,O,is_a,point
4,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
4,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
4,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
4,4,noisy_text[sentence] + full_diagram,OK,AO,is_a,segment
4,4,noisy_text[sentence] + full_diagram,OK,OC,is_a,segment
4,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
4,4,noisy_text[sentence] + full_diagram,OK,∠A,is_a,angle
4,4,noisy_text[sentence] + full_diagram,OK,∠C,is_a,angle
4,4,noisy_text[sentence] + full_diagram,OK,∠OCB,is_a,angle
4,4,noisy_text[sentence] + full_diagram,OK,AB,tangent_to,circle O
4,4,noisy_text[sentence] + full_diagram,OK,AO,intersects,circle O
4,4,noisy_text[sentence] + full_diagram,OK,AO,extended_line_of,AO
4,4,noisy_text[sentence] + full_diagram,OK,extended line of AO,intersects,circle O at point C
4,4,noisy_text[sentence] + full_diagram,OK,AB,intersects,circle O at point B
4,4,noisy_text[sentence] + full_diagram,OK,∠A,has_measure,36_deg
,,,,,,
7,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
7,4,noisy_text[sentence] + full_diagram,OK,AC,is_a,segment
7,4,noisy_text[sentence] + full_diagram,OK,AE,is_a,segment
7,4,noisy_text[sentence] + full_diagram,OK,AD,is_a,segment
7,4,noisy_text[sentence] + full_diagram,OK,∠B,has_measure,70_deg
7,4,noisy_text[sentence] + full_diagram,OK,∠C,has_measure,30_deg
7,4,noisy_text[sentence] + full_diagram,OK,∠DAC,has_measure,35_deg
7,4,noisy_text[sentence] + full_diagram,OK,ABC,is_a,triangle
7,4,noisy_text[sentence] + full_diagram,OK,ADE,is_a,triangle
7,4,noisy_text[sentence] + full_diagram,OK,ABC,congruent_to,ADE
7,4,noisy_text[sentence] + full_diagram,OK,A,lies_on,AB
7,4,noisy_text[sentence] + full_diagram,OK,A,lies_on,AC
7,4,noisy_text[sentence] + full_diagram,OK,A,lies_on,AE
7,4,noisy_text[sentence] + full_diagram,OK,A,lies_on,AD
7,4,noisy_text[sentence] + full_diagram,OK,∠BAC,has_measure,?
7,4,noisy_text[sentence] + full_diagram,OK,∠EAC,is_a,angle
,,,,,,
8,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,F,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
8,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
8,4,noisy_text[sentence] + full_diagram,OK,BF,is_a,segment
8,4,noisy_text[sentence] + full_diagram,OK,EC,is_a,segment
8,4,noisy_text[sentence] + full_diagram,OK,∠ABC,is_a,angle
8,4,noisy_text[sentence] + full_diagram,OK,Triangle ABC,is_a,triangle
8,4,noisy_text[sentence] + full_diagram,OK,Triangle DEF,is_a,triangle
8,4,noisy_text[sentence] + full_diagram,OK,Triangle ABC,congruent_to,Triangle DEF
8,4,noisy_text[sentence] + full_diagram,OK,A,corresponds_to,D
8,4,noisy_text[sentence] + full_diagram,OK,B,corresponds_to,E
8,4,noisy_text[sentence] + full_diagram,OK,BC,has_measure,5.0
8,4,noisy_text[sentence] + full_diagram,OK,BF,has_measure,7.0
8,4,noisy_text[sentence] + full_diagram,OK,EC,has_measure,?
8,4,noisy_text[sentence] + full_diagram,OK,B,lies_on,BF
,,,,,,
9,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
9,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
9,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
9,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
9,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
9,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
9,4,noisy_text[sentence] + full_diagram,OK,AC,is_a,segment
9,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
9,4,noisy_text[sentence] + full_diagram,OK,AD,is_a,segment
9,4,noisy_text[sentence] + full_diagram,OK,DE,is_a,segment
9,4,noisy_text[sentence] + full_diagram,OK,∠C,is_a,angle
9,4,noisy_text[sentence] + full_diagram,OK,∠CAB,is_a,angle
9,4,noisy_text[sentence] + full_diagram,OK,ABC,is_a,triangle
9,4,noisy_text[sentence] + full_diagram,OK,AC = BC,is_a,equality
9,4,noisy_text[sentence] + full_diagram,OK,∠C = 90°,is_a,equality
9,4,noisy_text[sentence] + full_diagram,OK,AD,bisects,∠CAB
9,4,noisy_text[sentence] + full_diagram,OK,D,lies_on,BC
9,4,noisy_text[sentence] + full_diagram,OK,E,lies_on,AB
9,4,noisy_text[sentence] + full_diagram,OK,DE,is_perpendicular_to,AB
9,4,noisy_text[sentence] + full_diagram,OK,AB,has_measure,6.0_units
9,4,noisy_text[sentence] + full_diagram,OK,AC,has_measure,?
9,4,noisy_text[sentence] + full_diagram,OK,BC,has_measure,?
9,4,noisy_text[sentence] + full_diagram,OK,AD,has_measure,?
9,4,noisy_text[sentence] + full_diagram,OK,DE,has_measure,?
9,4,noisy_text[sentence] + full_diagram,OK,DB,has_measure,?
9,4,noisy_text[sentence] + full_diagram,OK,BE,has_measure,?
,,,,,,
10,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
10,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
10,4,noisy_text[sentence] + full_diagram,OK,AC,is_a,segment
10,4,noisy_text[sentence] + full_diagram,OK,ABC,is_a,triangle
10,4,noisy_text[sentence] + full_diagram,OK,A,has_measure,36_deg
10,4,noisy_text[sentence] + full_diagram,OK,AB,has_measure,?
10,4,noisy_text[sentence] + full_diagram,OK,AC,has_measure,?
10,4,noisy_text[sentence] + full_diagram,OK,∠A,has_measure,36_deg
10,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
10,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
10,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
10,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
10,4,noisy_text[sentence] + full_diagram,OK,DE,is_a,segment
10,4,noisy_text[sentence] + full_diagram,OK,ED,perpendicular_to,AB
10,4,noisy_text[sentence] + full_diagram,OK,ED,intersects,AB
10,4,noisy_text[sentence] + full_diagram,OK,ED,intersects,AC
10,4,noisy_text[sentence] + full_diagram,OK,AB,intersects,AC
10,4,noisy_text[sentence] + full_diagram,OK,ED,has_measure,?
10,4,noisy_text[sentence] + full_diagram,OK,∠BDC,has_measure,?
10,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,"equal_to, AC"
10,4,noisy_text[sentence] + full_diagram,OK,∠AEB,has_measure,90_deg
,,,,,,
11,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
11,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
11,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
11,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
11,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
11,4,noisy_text[sentence] + full_diagram,OK,F,is_a,point
11,4,noisy_text[sentence] + full_diagram,OK,ABC,is_a,triangle
11,4,noisy_text[sentence] + full_diagram,OK,AED,is_a,triangle
11,4,noisy_text[sentence] + full_diagram,OK,AD,is_a,segment
11,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
11,4,noisy_text[sentence] + full_diagram,OK,AE,is_a,segment
11,4,noisy_text[sentence] + full_diagram,OK,DE,is_a,segment
11,4,noisy_text[sentence] + full_diagram,OK,∠C,is_a,angle
11,4,noisy_text[sentence] + full_diagram,OK,∠AFC,is_a,angle
11,4,noisy_text[sentence] + full_diagram,OK,∠EAD,has_measure,60_deg
11,4,noisy_text[sentence] + full_diagram,OK,∠C,has_measure,36_deg
11,4,noisy_text[sentence] + full_diagram,OK,∠EAB,has_measure,60_deg
,,,,,,
14,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
14,4,noisy_text[sentence] + full_diagram,OK,O,is_a,point
14,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
14,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
14,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
14,4,noisy_text[sentence] + full_diagram,OK,AC,is_a,segment
14,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
14,4,noisy_text[sentence] + full_diagram,OK,∠OAB,is_a,angle
14,4,noisy_text[sentence] + full_diagram,OK,∠ACB,is_a,angle
14,4,noisy_text[sentence] + full_diagram,OK,O,center_of,circle
