kind,model,run,case_label,total,correct,wrong,accuracy_pct,wrong_pct,runs_count,avg_accuracy_pct,min_accuracy_pct,max_accuracy_pct,accuracy_spread_pct,best_run,best_run_accuracy_pct,worst_run,worst_run_accuracy_pct
OVERALL,,,,810,257,553,31.728,68.272,,,,,,,,,
MODEL,google/gemma-3-4b-it,,,270,57,213,21.111,78.889,,,,,,,,,
MODEL,meta-llama/llama-4-scout,,,270,146,124,54.074,45.926,,,,,,,,,
MODEL,mistralai/mistral-small-3.2-24b-instruct,,,270,54,216,20.0,80.0,,,,,,,,,
MODEL_RUN,google/gemma-3-4b-it,run-1,,90,15,75,16.667,83.333,,,,,,,,,
MODEL_RUN,google/gemma-3-4b-it,run-2,,90,21,69,23.333,76.667,,,,,,,,,
MODEL_RUN,google/gemma-3-4b-it,run-3,,90,21,69,23.333,76.667,,,,,,,,,
MODEL_RUN,meta-llama/llama-4-scout,run-1,,90,49,41,54.444,45.556,,,,,,,,,
MODEL_RUN,meta-llama/llama-4-scout,run-2,,90,48,42,53.333,46.667,,,,,,,,,
MODEL_RUN,meta-llama/llama-4-scout,run-3,,90,49,41,54.444,45.556,,,,,,,,,
MODEL_RUN,mistralai/mistral-small-3.2-24b-instruct,run-1,,90,20,70,22.222,77.778,,,,,,,,,
MODEL_RUN,mistralai/mistral-small-3.2-24b-instruct,run-2,,90,17,73,18.889,81.111,,,,,,,,,
MODEL_RUN,mistralai/mistral-small-3.2-24b-instruct,run-3,,90,17,73,18.889,81.111,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + full_diagram,90,15,75,16.667,83.333,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,half_text + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_text[numeric] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_text[punctuation] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_text[sentence] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_text[typo] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + noisy_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + noisy_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + noisy_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + noisy_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + noisy_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_half_text[numeric] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_half_text[punctuation] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_half_text[sentence] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_half_text[typo] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,half_text + noisy_half_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,half_text + noisy_half_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,half_text + noisy_half_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
