Per-problem table:
Problem_Index   | APS questions | Answered | Correct | Accuracy          
---------------------------------------------------------------------------
1               | 5             | 5        | 5       | 5/5 = 100.00%
2               | 6             | 4        | 3       | 3/6 = 50.00%
3               | 4             | 3        | 1       | 1/4 = 25.00%
4               | 6             | 3        | 3       | 3/6 = 50.00%
7               | 4             | 2        | 2       | 2/4 = 50.00%
8               | 3             | 1        | 1       | 1/3 = 33.33%
9               | 7             | 4        | 4       | 4/7 = 57.14%
10              | 5             | 0        | 0       | 0/5 = 0.00%
11              | 4             | 2        | 1       | 1/4 = 25.00%
14              | 5             | 2        | 2       | 2/5 = 40.00%
16              | 4             | 3        | 3       | 3/4 = 75.00%
17              | 4             | 3        | 3       | 3/4 = 75.00%
20              | 3             | 2        | 2       | 2/3 = 66.67%
22              | 5             | 3        | 2       | 2/5 = 40.00%
25              | 3             | 2        | 2       | 2/3 = 66.67%
26              | 5             | 2        | 1       | 1/5 = 20.00%
29              | 4             | 2        | 0       | 0/4 = 0.00%
30              | 2             | 1        | 1       | 1/2 = 50.00%
32              | 6             | 5        | 2       | 2/6 = 33.33%
34              | 5             | 4        | 2       | 2/5 = 40.00%
36              | 4             | 3        | 1       | 1/4 = 25.00%
37              | 4             | 4        | 3       | 3/4 = 75.00%
38              | 3             | 0        | 0       | 0/3 = 0.00%
40              | 3             | 2        | 0       | 0/3 = 0.00%
43              | 4             | 0        | 0       | 0/4 = 0.00%
44              | 4             | 2        | 2       | 2/4 = 50.00%
45              | 2             | 0        | 0       | 0/2 = 0.00%
46              | 3             | 1        | 1       | 1/3 = 33.33%
48              | 5             | 4        | 4       | 4/5 = 80.00%
49              | 5             | 2        | 2       | 2/5 = 40.00%
50              | 4             | 3        | 3       | 3/4 = 75.00%
53              | 5             | 2        | 2       | 2/5 = 40.00%
55              | 5             | 5        | 4       | 4/5 = 80.00%
56              | 5             | 2        | 2       | 2/5 = 40.00%
57              | 3             | 2        | 2       | 2/3 = 66.67%
58              | 4             | 3        | 2       | 2/4 = 50.00%
59              | 3             | 2        | 2       | 2/3 = 66.67%
60              | 3             | 1        | 1       | 1/3 = 33.33%
64              | 4             | 3        | 2       | 2/4 = 50.00%
72              | 5             | 5        | 5       | 5/5 = 100.00%
73              | 3             | 2        | 2       | 2/3 = 66.67%
78              | 3             | 2        | 2       | 2/3 = 66.67%
79              | 5             | 4        | 3       | 3/5 = 60.00%
81              | 4             | 2        | 1       | 1/4 = 25.00%
84              | 5             | 1        | 1       | 1/5 = 20.00%
86              | 4             | 1        | 1       | 1/4 = 25.00%
88              | 5             | 2        | 1       | 1/5 = 20.00%
95              | 5             | 3        | 1       | 1/5 = 20.00%
99              | 8             | 4        | 3       | 3/8 = 37.50%
108             | 4             | 1        | 1       | 1/4 = 25.00%
109             | 3             | 1        | 1       | 1/3 = 33.33%
112             | 3             | 2        | 1       | 1/3 = 33.33%
114             | 6             | 4        | 4       | 4/6 = 66.67%
115             | 2             | 0        | 0       | 0/2 = 0.00%
117             | 3             | 1        | 1       | 1/3 = 33.33%
119             | 4             | 2        | 1       | 1/4 = 25.00%
120             | 3             | 2        | 2       | 2/3 = 66.67%
123             | 4             | 4        | 4       | 4/4 = 100.00%
128             | 4             | 4        | 3       | 3/4 = 75.00%
132             | 6             | 4        | 4       | 4/6 = 66.67%
133             | 9             | 4        | 4       | 4/9 = 44.44%
149             | 6             | 4        | 4       | 4/6 = 66.67%
150             | 6             | 4        | 3       | 3/6 = 50.00%
151             | 3             | 1        | 1       | 1/3 = 33.33%
152             | 3             | 2        | 2       | 2/3 = 66.67%
153             | 6             | 2        | 2       | 2/6 = 33.33%
157             | 3             | 2        | 2       | 2/3 = 66.67%
165             | 4             | 4        | 3       | 3/4 = 75.00%
198             | 3             | 2        | 2       | 2/3 = 66.67%
207             | 3             | 2        | 1       | 1/3 = 33.33%
210             | 4             | 2        | 2       | 2/4 = 50.00%
211             | 6             | 4        | 4       | 4/6 = 66.67%
223             | 3             | 2        | 1       | 1/3 = 33.33%
239             | 6             | 0        | 0       | 0/6 = 0.00%
243             | 4             | 1        | 1       | 1/4 = 25.00%
257             | 6             | 4        | 4       | 4/6 = 66.67%
264             | 6             | 4        | 2       | 2/6 = 33.33%
281             | 4             | 4        | 4       | 4/4 = 100.00%
327             | 4             | 3        | 1       | 1/4 = 25.00%
348             | 2             | 0        | 0       | 0/2 = 0.00%
364             | 3             | 2        | 1       | 1/3 = 33.33%
365             | 2             | 1        | 1       | 1/2 = 50.00%
420             | 3             | 2        | 2       | 2/3 = 66.67%
432             | 4             | 0        | 0       | 0/4 = 0.00%
438             | 6             | 0        | 0       | 0/6 = 0.00%
441             | 3             | 1        | 1       | 1/3 = 33.33%
447             | 4             | 1        | 1       | 1/4 = 25.00%
449             | 2             | 0        | 0       | 0/2 = 0.00%
457             | 3             | 3        | 2       | 2/3 = 66.67%
472             | 4             | 3        | 1       | 1/4 = 25.00%
---------------------------------------------------------------------------
TOTAL           | 377           | 209      | 167     | 167/377 = 44.30%
