problem_index,case_id,case_label,status,subject,predicate,object
1,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,80_deg
1,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,has_measure,60_deg
1,19,half_text + noisy_half_diagram[irr_objects],OK,DE,parallel_to,BC
,,,,,,
2,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,G,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠EFG,has_measure,50_deg
2,19,half_text + noisy_half_diagram[irr_objects],OK,CD,intersects,EF
2,19,half_text + noisy_half_diagram[irr_objects],OK,CD,intersects,AB
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,intersects,AB
,,,,,,
3,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,has_measure,180_deg
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,is_a,angle
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,parallel_to,AB
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,bisects,∠ABC
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABD,has_measure,90_deg
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,has_measure,90_deg
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠CBD,has_measure,90_deg
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,intersects,∠CBD
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠CBD,has_measure,180_deg
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,BC
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,AB
3,19,half_text + noisy_half_diagram[irr_objects],OK,BC,intersects,AB
,,,,,,
4,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,36_deg
4,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
4,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
,,,,,,
7,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAC,is_a,angle
7,19,half_text + noisy_half_diagram[irr_objects],OK,30,has_measure,∠BAC
7,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,triangle
7,19,half_text + noisy_half_diagram[irr_objects],OK,DE,is_a,segment
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠ADE,is_a,angle
7,19,half_text + noisy_half_diagram[irr_objects],OK,35,has_measure,∠ADE
7,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,congruent_to,ADE
7,19,half_text + noisy_half_diagram[irr_objects],OK,AB,intersects,DE
7,19,half_text + noisy_half_diagram[irr_objects],OK,A,intersects,DE
7,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAC,is_a,angle
7,19,half_text + noisy_half_diagram[irr_objects],OK,30,has_measure,∠DAC
7,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
,,,,,,
8,19,half_text + noisy_half_diagram[irr_objects],OK,A,lies_on,AB
8,19,half_text + noisy_half_diagram[irr_objects],OK,B,lies_on,BC
8,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,BC
8,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,AB
8,19,half_text + noisy_half_diagram[irr_objects],OK,E,lies_on,BC
8,19,half_text + noisy_half_diagram[irr_objects],OK,F,lies_on,BC
8,19,half_text + noisy_half_diagram[irr_objects],OK,AB,has_measure,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,BC,has_measure,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,AC,has_measure,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,BF,has_measure,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,BC,intersects,BF
8,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,BF
8,19,half_text + noisy_half_diagram[irr_objects],OK,AB,intersects,BF
8,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,BF,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,triangle
8,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,triangle
8,19,half_text + noisy_half_diagram[irr_objects],OK,BF,is_a,triangle
8,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,triangle
8,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
,,,,,,
9,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,∠CAB,is_a,angle
9,19,half_text + noisy_half_diagram[irr_objects],OK,∠CAB,has_measure,90_deg
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,intersects,BC
9,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,DE,perpendicular_to,AB
9,19,half_text + noisy_half_diagram[irr_objects],OK,DE,has_measure,6_units
,,,,,,
10,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,36_deg
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,intersects,D
10,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,D
10,19,half_text + noisy_half_diagram[irr_objects],OK,BC,intersects,D
,,,,,,
11,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
11,19,half_text + noisy_half_diagram[irr_objects],OK,60_deg,has_measure,∠AOB
11,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,is_a,angle
11,19,half_text + noisy_half_diagram[irr_objects],OK,36_deg,has_measure,∠ABC
11,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,AF,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,A,center_of,rotation
11,19,half_text + noisy_half_diagram[irr_objects],OK,BC,rotated_about,A
,,,,,,
14,19,half_text + noisy_half_diagram[irr_objects],OK,A,intersects,AB
14,19,half_text + noisy_half_diagram[irr_objects],OK,B,intersects,AB
14,19,half_text + noisy_half_diagram[irr_objects],OK,C,intersects,AB
14,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,30_deg
14,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
,,,,,,
16,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
16,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
16,19,half_text + noisy_half_diagram[irr_objects],OK,∠BOC,has_measure,50_deg
16,19,half_text + noisy_half_diagram[irr_objects],OK,OB,is_a,radius
,,,,,,
17,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠CBD,has_measure,23_deg
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAC,has_measure,42_deg
,,,,,,
20,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,circle
20,19,half_text + noisy_half_diagram[irr_objects],OK,A,lies_on,O
20,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,O
20,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,O
20,19,half_text + noisy_half_diagram[irr_objects],OK,140_deg,has_measure,∠AOD
20,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOD,is_a,angle
,,,,,,
22,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
22,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,28_deg
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAC,has_measure,?
,,,,,,
25,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
25,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
25,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
25,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAF,has_measure,50_deg
25,19,half_text + noisy_half_diagram[irr_objects],OK,EF,parallel_to,BC
25,19,half_text + noisy_half_diagram[irr_objects],OK,AC,bisects,∠BAF
,,,,,,
26,19,half_text + noisy_half_diagram[irr_objects],OK,flagpole,lies_on,AB
26,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
26,19,half_text + noisy_half_diagram[irr_objects],OK,8.0_m,has_measure,distance
26,19,half_text + noisy_half_diagram[irr_objects],OK,22.0_m,has_measure,distance
26,19,half_text + noisy_half_diagram[irr_objects],OK,flagpole,connects,AB
,,,,,,
29,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
29,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
29,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
29,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
29,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,is_a,angle
29,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,segment
29,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
29,19,half_text + noisy_half_diagram[irr_objects],OK,∠BCD,has_measure,50_deg
29,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,CD
29,19,half_text + noisy_half_diagram[irr_objects],OK,A,intersects,BD
,,,,,,
30,19,half_text + noisy_half_diagram[irr_objects],OK,A,intersects,BC
30,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,30_deg
,,,,,,
32,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
32,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
32,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
32,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
32,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
32,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
32,19,half_text + noisy_half_diagram[irr_objects],OK,I,is_a,circle
32,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,has_measure,52_deg
32,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
32,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
32,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
,,,,,,
34,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
34,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
34,19,half_text + noisy_half_diagram[irr_objects],OK,EF,is_a,segment
34,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,100_deg
34,19,half_text + noisy_half_diagram[irr_objects],OK,∠CQF,has_measure,?
34,19,half_text + noisy_half_diagram[irr_objects],OK,AB,intersects,CD
34,19,half_text + noisy_half_diagram[irr_objects],OK,EF,intersects,CD
,,,,,,
36,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,circle
36,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,diameter
36,19,half_text + noisy_half_diagram[irr_objects],OK,O,center_of,AB
36,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,CD
36,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,CD
36,19,half_text + noisy_half_diagram[irr_objects],OK,50,has_measure,∠BCD
36,19,half_text + noisy_half_diagram[irr_objects],OK,∠BCD,is_a,angle
36,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,circle_O
36,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,circle_O
,,,,,,
37,19,half_text + noisy_half_diagram[irr_objects],OK,A,intersects,CP
37,19,half_text + noisy_half_diagram[irr_objects],OK,C,has_measure,50_deg
37,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
37,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
37,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
37,19,half_text + noisy_half_diagram[irr_objects],OK,CP,is_a,segment
,,,,,,
38,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
38,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
38,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
38,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
38,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
38,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
38,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAC,has_measure,70_deg
38,19,half_text + noisy_half_diagram[irr_objects],OK,AD,is_a,segment
