problem_index,case_id,case_label,status,subject,predicate,object
1,1,full_text + full_diagram,OK,A,is_a,point
1,1,full_text + full_diagram,OK,B,is_a,point
1,1,full_text + full_diagram,OK,C,is_a,point
1,1,full_text + full_diagram,OK,D,is_a,point
1,1,full_text + full_diagram,OK,E,is_a,point
1,1,full_text + full_diagram,OK,∠AOB,is_a,angle
1,1,full_text + full_diagram,OK,∠AOB,has_measure,80_deg
1,1,full_text + full_diagram,OK,∠BOC,is_a,angle
1,1,full_text + full_diagram,OK,∠BOC,has_measure,60_deg
1,1,full_text + full_diagram,OK,DE,is_a,segment
1,1,full_text + full_diagram,OK,DE,intersects,BC
1,1,full_text + full_diagram,OK,DE,parallel_to,BC
1,1,full_text + full_diagram,OK,DE,connects,E
1,1,full_text + full_diagram,OK,DE,connects,D
1,1,full_text + full_diagram,OK,BC,is_a,segment
1,1,full_text + full_diagram,OK,∠CED,has_measure,?
1,1,full_text + full_diagram,OK,∠CED,is_a,angle
,,,,,,
2,1,full_text + full_diagram,OK,A,is_a,point
2,1,full_text + full_diagram,OK,B,is_a,point
2,1,full_text + full_diagram,OK,C,is_a,point
2,1,full_text + full_diagram,OK,D,is_a,point
2,1,full_text + full_diagram,OK,E,is_a,point
2,1,full_text + full_diagram,OK,F,is_a,point
2,1,full_text + full_diagram,OK,G,is_a,point
2,1,full_text + full_diagram,OK,AB,is_a,segment
2,1,full_text + full_diagram,OK,CD,is_a,segment
2,1,full_text + full_diagram,OK,EF,is_a,segment
2,1,full_text + full_diagram,OK,FG,is_a,segment
2,1,full_text + full_diagram,OK,EG,is_a,segment
2,1,full_text + full_diagram,OK,∠BEF,is_a,angle
2,1,full_text + full_diagram,OK,∠EFG,is_a,angle
2,1,full_text + full_diagram,OK,∠EGF,is_a,angle
2,1,full_text + full_diagram,OK,∠EGF,has_measure,50_deg
2,1,full_text + full_diagram,OK,EF,intersects,AB
2,1,full_text + full_diagram,OK,EF,intersects,CD
2,1,full_text + full_diagram,OK,AB,parallel_to,CD
2,1,full_text + full_diagram,OK,EG,bisects,∠BEF
2,1,full_text + full_diagram,OK,EG,intersects,CD
2,1,full_text + full_diagram,OK,∠EFG,has_measure,?
,,,,,,
3,1,full_text + full_diagram,OK,C,is_a,point
3,1,full_text + full_diagram,OK,A,is_a,point
3,1,full_text + full_diagram,OK,B,is_a,point
3,1,full_text + full_diagram,OK,D,is_a,point
3,1,full_text + full_diagram,OK,AB,is_a,segment
3,1,full_text + full_diagram,OK,BC,is_a,segment
3,1,full_text + full_diagram,OK,BD,is_a,segment
3,1,full_text + full_diagram,OK,∠ABC,has_measure,70_deg
3,1,full_text + full_diagram,OK,CD,parallel_to,AB
3,1,full_text + full_diagram,OK,∠BCD,has_measure,70_deg
3,1,full_text + full_diagram,OK,∠BAD,has_measure,?
3,1,full_text + full_diagram,OK,BD,bisects,∠ABC
,,,,,,
4,1,full_text + full_diagram,OK,A,is_a,point
4,1,full_text + full_diagram,OK,B,is_a,point
4,1,full_text + full_diagram,OK,O,is_a,point
4,1,full_text + full_diagram,OK,C,is_a,point
4,1,full_text + full_diagram,OK,AB,is_a,segment
4,1,full_text + full_diagram,OK,∠A,is_a,angle
4,1,full_text + full_diagram,OK,∠C,is_a,angle
4,1,full_text + full_diagram,OK,∠AOB,is_a,angle
