problem_index,case_id,case_label,status,subject,predicate,object
1,2,noisy_text[numeric] + full_diagram,OK,A,is_a,point
1,2,noisy_text[numeric] + full_diagram,OK,B,is_a,point
1,2,noisy_text[numeric] + full_diagram,OK,C,is_a,point
1,2,noisy_text[numeric] + full_diagram,OK,∠AOB,is_a,angle
1,2,noisy_text[numeric] + full_diagram,OK,∠AOB,has_measure,80_deg
1,2,noisy_text[numeric] + full_diagram,OK,B,lies_on,AB
1,2,noisy_text[numeric] + full_diagram,OK,∠ABC,has_measure,60_deg
1,2,noisy_text[numeric] + full_diagram,OK,D,lies_on,AB
1,2,noisy_text[numeric] + full_diagram,OK,E,lies_on,AC
1,2,noisy_text[numeric] + full_diagram,OK,B,intersects,AC
1,2,noisy_text[numeric] + full_diagram,OK,C,intersects,AC
,,,,,,
2,2,noisy_text[numeric] + full_diagram,OK,AB,is_a,line
2,2,noisy_text[numeric] + full_diagram,OK,CD,is_a,line
2,2,noisy_text[numeric] + full_diagram,OK,EF,is_a,line
2,2,noisy_text[numeric] + full_diagram,OK,∠AOB,is_a,angle
2,2,noisy_text[numeric] + full_diagram,OK,50_deg,has_measure,∠AOB
2,2,noisy_text[numeric] + full_diagram,OK,∠EGF,is_a,angle
2,2,noisy_text[numeric] + full_diagram,OK,EF,intersects,CD
2,2,noisy_text[numeric] + full_diagram,OK,CD,intersects,AB
2,2,noisy_text[numeric] + full_diagram,OK,AB,parallel_to,CD
2,2,noisy_text[numeric] + full_diagram,OK,EF,intersects,AB
2,2,noisy_text[numeric] + full_diagram,OK,∠EGF,has_measure,?
,,,,,,
3,2,noisy_text[numeric] + full_diagram,OK,B,intersects,A
3,2,noisy_text[numeric] + full_diagram,OK,C,intersects,A
3,2,noisy_text[numeric] + full_diagram,OK,∠ABC,has_measure,70_deg
3,2,noisy_text[numeric] + full_diagram,OK,AB,is_a,segment
3,2,noisy_text[numeric] + full_diagram,OK,BC,is_a,segment
3,2,noisy_text[numeric] + full_diagram,OK,AC,is_a,segment
3,2,noisy_text[numeric] + full_diagram,OK,B,is_a,point
3,2,noisy_text[numeric] + full_diagram,OK,C,is_a,point
3,2,noisy_text[numeric] + full_diagram,OK,A,is_a,point
,,,,,,
4,2,noisy_text[numeric] + full_diagram,OK,A,is_a,point
4,2,noisy_text[numeric] + full_diagram,OK,B,is_a,point
4,2,noisy_text[numeric] + full_diagram,OK,O,is_a,point
4,2,noisy_text[numeric] + full_diagram,OK,AB,is_a,segment
