kind,run_folder,case_label,total,correct,wrong,accuracy_pct,wrong_pct
OVERALL,,,5400,359,5041,6.648,93.352
RUN,run-1-llama,,1800,123,1677,6.833,93.167
RUN,run-2-llama,,1800,121,1679,6.722,93.278
RUN,run-3-llama,,1800,115,1685,6.389,93.611
RUN_CASE,run-1-llama,full_text + full_diagram,90,6,84,6.667,93.333
RUN_CASE,run-1-llama,half_text + half_diagram,90,6,84,6.667,93.333
RUN_CASE,run-1-llama,noisy_text[numeric] + full_diagram,90,4,86,4.444,95.556
RUN_CASE,run-1-llama,noisy_text[punctuation] + full_diagram,90,8,82,8.889,91.111
RUN_CASE,run-1-llama,noisy_text[sentence] + full_diagram,90,5,85,5.556,94.444
RUN_CASE,run-1-llama,noisy_text[typo] + full_diagram,90,6,84,6.667,93.333
RUN_CASE,run-1-llama,full_text + noisy_diagram[bg_change],90,5,85,5.556,94.444
RUN_CASE,run-1-llama,full_text + noisy_diagram[blur],90,8,82,8.889,91.111
RUN_CASE,run-1-llama,full_text + noisy_diagram[illumination],90,8,82,8.889,91.111
RUN_CASE,run-1-llama,full_text + noisy_diagram[irr_objects],90,3,87,3.333,96.667
RUN_CASE,run-1-llama,full_text + noisy_diagram[pixel_noise],90,7,83,7.778,92.222
RUN_CASE,run-1-llama,noisy_half_text[numeric] + half_diagram,90,4,86,4.444,95.556
RUN_CASE,run-1-llama,noisy_half_text[punctuation] + half_diagram,90,5,85,5.556,94.444
RUN_CASE,run-1-llama,noisy_half_text[sentence] + half_diagram,90,7,83,7.778,92.222
RUN_CASE,run-1-llama,noisy_half_text[typo] + half_diagram,90,7,83,7.778,92.222
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[bg_change],90,6,84,6.667,93.333
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[blur],90,5,85,5.556,94.444
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[illumination],90,6,84,6.667,93.333
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[irr_objects],90,8,82,8.889,91.111
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[pixel_noise],90,9,81,10.0,90.0
RUN_CASE,run-2-llama,full_text + full_diagram,90,6,84,6.667,93.333
RUN_CASE,run-2-llama,half_text + half_diagram,90,5,85,5.556,94.444
RUN_CASE,run-2-llama,noisy_text[numeric] + full_diagram,90,4,86,4.444,95.556
RUN_CASE,run-2-llama,noisy_text[punctuation] + full_diagram,90,7,83,7.778,92.222
RUN_CASE,run-2-llama,noisy_text[sentence] + full_diagram,90,9,81,10.0,90.0
RUN_CASE,run-2-llama,noisy_text[typo] + full_diagram,90,7,83,7.778,92.222
RUN_CASE,run-2-llama,full_text + noisy_diagram[bg_change],90,5,85,5.556,94.444
RUN_CASE,run-2-llama,full_text + noisy_diagram[blur],90,7,83,7.778,92.222
