problem_index,ars_id,question,answer,reasoning,triples_used,triples_count,unique_triples_count,which_triples_used
1,Q1,What is the measure of angle A in triangle ABC?,80_deg,Triple T22 states that A has measure 80_deg.,[22],1,1,T22
1,Q2,What is the measure of angle B in triangle ABC?,,The perception triples do not provide the measure of angle B.,[],0,0,
1,Q3,What is the relationship between line DE and line BC?,parallel,Triple T20 states that DE is parallel to BC.,[20],1,1,T20
1,Q4,Where is point D located in relation to side AB?,lies_on AB,Triple T18 states that D lies on AB.,[18],1,1,T18
1,Q5,Where is point E located in relation to side AC?,lies_on AC,Triple T19 states that E lies on AC.,[19],1,1,T19
2,Q1,What is the relationship between lines AB and CD?,parallel,Triple [T15] states that AB is parallel to CD.,[15],1,1,T15
2,Q2,What is the measure of angle EFG in degrees?,50,Triple [T19] states that the measure of angle EFG is 50 degrees.,[19],1,1,T19
2,Q3,Does line EG bisect angle BEF?,yes,Triple [T18] states that EG bisects angle BEF.,[18],1,1,T18
2,Q4,At what point does line EF intersect line AB?,,The perception triples do not provide information about the intersection point of EF and AB.  The triples only describe relationships between lines and angles.,[],0,0,
2,Q5,At what point does line EF intersect line CD?,,The perception triples do not provide information about the intersection point of EF and CD. The triples only describe relationships between lines and angles.,[],0,0,
2,Q6,At what point does line EG intersect line CD?,,The perception triples do not provide information about the intersection point of EG and CD. The triples only describe relationships between lines and angles.,[],0,0,
3,Q1,What is the measure of angle BCD?,null,The perception triples do not provide information about the measure of angle BCD.,[],0,0,
3,Q2,What is the relationship between line segment CD and line segment AB?,parallel,Triple T9 states that CD is parallel to AB.,[9],1,1,T9
3,Q3,What does the line segment BD do to angle ABC?,bisects,Triple T10 states that BD bisects angle ABC.,[10],1,1,T10
3,Q4,At which point do line segments BC and BA intersect?,null,The perception triples do not provide information about the intersection point of line segments BC and BA.,[],0,0,
4,Q1,What is the measure of angle A in degrees?,36,Triple T4 states that angle A has a measure of 36 degrees.,[4],1,1,T4
4,Q2,What is the relationship between line AB and circle O at point B?,tangent,Triple T9 states that AB is tangent to circle O at point B.,[9],1,1,T9
4,Q3,What point does the extended line of AO intersect on circle O?,C,Triple T11 states that OC connects O and C. AO intersects circle O at C.,[11],1,1,T11
4,Q4,What is the center point of the circle labeled in the diagram?,O,Triple T1 states that O is a circle.,[1],1,1,T1
