problem_index,case_id,case_label,status,subject,predicate,object
1,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,triangle
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠A,is_a,angle
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠A,has_measure,80_deg
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠B,is_a,angle
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠B,has_measure,60_deg
1,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,AB
1,19,half_text + noisy_half_diagram[irr_objects],OK,E,lies_on,AC
1,19,half_text + noisy_half_diagram[irr_objects],OK,DE,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,DE,parallel_to,BC
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠CED,is_a,angle
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠CED,has_measure,?
,,,,,,
2,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,G,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,EG,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,AB,parallel_to,CD
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,intersects,AB
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,intersects,CD
2,19,half_text + noisy_half_diagram[irr_objects],OK,EG,intersects,CD
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠BEF,has_measure,50_deg
2,19,half_text + noisy_half_diagram[irr_objects],OK,EG,bisects,∠BEF
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠EFG,has_measure,?
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠EGF,has_measure,?
,,,,,,
3,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,BA,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,is_a,angle
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠CDB,is_a,angle
3,19,half_text + noisy_half_diagram[irr_objects],OK,BC,connects,B
3,19,half_text + noisy_half_diagram[irr_objects],OK,BC,connects,C
3,19,half_text + noisy_half_diagram[irr_objects],OK,BA,connects,B
3,19,half_text + noisy_half_diagram[irr_objects],OK,BA,connects,A
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,connects,B
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,connects,D
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,connects,C
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,connects,D
3,19,half_text + noisy_half_diagram[irr_objects],OK,AB,connects,A
3,19,half_text + noisy_half_diagram[irr_objects],OK,AB,connects,B
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,bisects,∠ABC
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,parallel_to,AB
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠BCA,has_measure,110_deg
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠CDB,is_a,query_target
,,,,,,
4,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
4,19,half_text + noisy_half_diagram[irr_objects],OK,AO,is_a,segment
4,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
4,19,half_text + noisy_half_diagram[irr_objects],OK,∠A,is_a,angle
4,19,half_text + noisy_half_diagram[irr_objects],OK,∠OCB,is_a,angle
4,19,half_text + noisy_half_diagram[irr_objects],OK,AB,tangent_to,circle_O
4,19,half_text + noisy_half_diagram[irr_objects],OK,AO,intersects,circle_O
4,19,half_text + noisy_half_diagram[irr_objects],OK,AO,intersects,"circle_O, at, C"
4,19,half_text + noisy_half_diagram[irr_objects],OK,AB,tangent_to,"circle_O, at, B"
4,19,half_text + noisy_half_diagram[irr_objects],OK,∠A,has_measure,36_deg
,,,,,,
7,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,triangle
7,19,half_text + noisy_half_diagram[irr_objects],OK,ADE,is_a,triangle
7,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,congruent_to,ADE
7,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_common_vertex_of,ABC
7,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_common_vertex_of,ADE
7,19,half_text + noisy_half_diagram[irr_objects],OK,B,has_measure,70_deg
7,19,half_text + noisy_half_diagram[irr_objects],OK,C,has_measure,30_deg
7,19,half_text + noisy_half_diagram[irr_objects],OK,DAC,is_a,angle
7,19,half_text + noisy_half_diagram[irr_objects],OK,DAC,has_measure,?
7,19,half_text + noisy_half_diagram[irr_objects],OK,EAC,is_a,angle
7,19,half_text + noisy_half_diagram[irr_objects],OK,EAC,has_measure,?
,,,,,,
8,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,triangle
8,19,half_text + noisy_half_diagram[irr_objects],OK,DEF,is_a,triangle
8,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,"congruent_to, DEF"
8,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,"corresponding_to, D"
8,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,"corresponding_to, E"
8,19,half_text + noisy_half_diagram[irr_objects],OK,BF,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,BF,has_measure,7.0
8,19,half_text + noisy_half_diagram[irr_objects],OK,BE,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,BE,has_measure,5.0
8,19,half_text + noisy_half_diagram[irr_objects],OK,EC,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,EC,has_measure,?
,,,,,,
9,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,triangle
9,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,DE,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,is_a,angle
9,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,has_measure,90_deg
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,has_measure,?
9,19,half_text + noisy_half_diagram[irr_objects],OK,BC,has_measure,?
9,19,half_text + noisy_half_diagram[irr_objects],OK,AB,has_measure,6_units
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,intersects,BC
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,bisects,∠CAB
9,19,half_text + noisy_half_diagram[irr_objects],OK,DE,perpendicular_to,AB
9,19,half_text + noisy_half_diagram[irr_objects],OK,DE,intersects,AB
9,19,half_text + noisy_half_diagram[irr_objects],OK,ADBE,is_a,quadrilateral
9,19,half_text + noisy_half_diagram[irr_objects],OK,perimeter,of,ADBE
,,,,,,
10,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,triangle
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,has_measure,?
10,19,half_text + noisy_half_diagram[irr_objects],OK,AC,has_measure,?
10,19,half_text + noisy_half_diagram[irr_objects],OK,BC,has_measure,?
10,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAC,is_a,angle
10,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAC,has_measure,36_deg
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,side
10,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,side
10,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,side
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,parallel_to,?
10,19,half_text + noisy_half_diagram[irr_objects],OK,AC,parallel_to,?
10,19,half_text + noisy_half_diagram[irr_objects],OK,BC,parallel_to,?
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,perpendicular_to,?
10,19,half_text + noisy_half_diagram[irr_objects],OK,AC,perpendicular_to,?
10,19,half_text + noisy_half_diagram[irr_objects],OK,BC,perpendicular_to,?
,,,,,,
11,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,triangle
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,is_a,angle
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,has_measure,36_deg
11,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,AED,is_a,triangle
11,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,AD,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAE,is_a,angle
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAE,has_measure,60_deg
,,,,,,
14,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,triangle
14,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,circle
14,19,half_text + noisy_half_diagram[irr_objects],OK,A,lies_on,O
14,19,half_text + noisy_half_diagram[irr_objects],OK,B,lies_on,O
14,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,O
14,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,inscribed_in,O
14,19,half_text + noisy_half_diagram[irr_objects],OK,∠CAB,is_a,angle
14,19,half_text + noisy_half_diagram[irr_objects],OK,∠CAB,has_measure,35_deg
14,19,half_text + noisy_half_diagram[irr_objects],OK,ACB,is_a,angle
14,19,half_text + noisy_half_diagram[irr_objects],OK,ACB,is_a,query_target
,,,,,,
16,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
16,19,half_text + noisy_half_diagram[irr_objects],OK,O,center_of,circle
16,19,half_text + noisy_half_diagram[irr_objects],OK,OB,is_a,radius
16,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,chord
16,19,half_text + noisy_half_diagram[irr_objects],OK,AC,parallel_to,OB
16,19,half_text + noisy_half_diagram[irr_objects],OK,∠BOC,is_a,angle
16,19,half_text + noisy_half_diagram[irr_objects],OK,∠BOC,has_measure,50_deg
16,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
16,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
16,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
16,19,half_text + noisy_half_diagram[irr_objects],OK,OA,is_a,radius
16,19,half_text + noisy_half_diagram[irr_objects],OK,OC,is_a,radius
16,19,half_text + noisy_half_diagram[irr_objects],OK,OAB,is_a,angle
16,19,half_text + noisy_half_diagram[irr_objects],OK,∠OAB,is_a,angle
16,19,half_text + noisy_half_diagram[irr_objects],OK,∠OAB,is_a,query_target
,,,,,,
17,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,ABCD,is_a,parallelogram
17,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,BD
17,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,O
17,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,O
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAC,is_a,angle
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAC,has_measure,42_deg
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠CBD,is_a,angle
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠COD,is_a,angle
17,19,half_text + noisy_half_diagram[irr_objects],OK,A,connects,B
17,19,half_text + noisy_half_diagram[irr_objects],OK,B,connects,C
17,19,half_text + noisy_half_diagram[irr_objects],OK,C,connects,D
17,19,half_text + noisy_half_diagram[irr_objects],OK,D,connects,A
17,19,half_text + noisy_half_diagram[irr_objects],OK,AC,connects,A
17,19,half_text + noisy_half_diagram[irr_objects],OK,AC,connects,C
17,19,half_text + noisy_half_diagram[irr_objects],OK,BD,connects,B
17,19,half_text + noisy_half_diagram[irr_objects],OK,BD,connects,D
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠CBD,has_measure,23_deg
,,,,,,
20,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,circle
20,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,"diameter_of, O"
20,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,AB,connects,"A, B"
20,19,half_text + noisy_half_diagram[irr_objects],OK,AC,connects,"A, C"
20,19,half_text + noisy_half_diagram[irr_objects],OK,BC,connects,"B, C"
20,19,half_text + noisy_half_diagram[irr_objects],OK,CD,connects,"C, D"
20,19,half_text + noisy_half_diagram[irr_objects],OK,OD,connects,"O, D"
