problem_index,case_id,case_label,status,subject,predicate,object
1,17,half_text + noisy_half_diagram[blur],OK,A,is_a,point
1,17,half_text + noisy_half_diagram[blur],OK,A,has_measure,80_deg
1,17,half_text + noisy_half_diagram[blur],OK,B,is_a,point
1,17,half_text + noisy_half_diagram[blur],OK,C,is_a,point
1,17,half_text + noisy_half_diagram[blur],OK,D,is_a,point
1,17,half_text + noisy_half_diagram[blur],OK,E,is_a,point
1,17,half_text + noisy_half_diagram[blur],OK,AB,is_a,segment
1,17,half_text + noisy_half_diagram[blur],OK,AC,is_a,segment
1,17,half_text + noisy_half_diagram[blur],OK,BC,is_a,segment
1,17,half_text + noisy_half_diagram[blur],OK,DE,is_a,segment
1,17,half_text + noisy_half_diagram[blur],OK,∠ABC,is_a,angle
1,17,half_text + noisy_half_diagram[blur],OK,∠A,has_measure,80_deg
1,17,half_text + noisy_half_diagram[blur],OK,∠B,has_measure,60_deg
1,17,half_text + noisy_half_diagram[blur],OK,DE,parallel_to,BC
1,17,half_text + noisy_half_diagram[blur],OK,D,lies_on,AB
1,17,half_text + noisy_half_diagram[blur],OK,E,lies_on,AC
,,,,,,
2,17,half_text + noisy_half_diagram[blur],OK,A,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,B,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,C,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,D,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,E,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,F,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,G,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,AB,is_a,segment
2,17,half_text + noisy_half_diagram[blur],OK,CD,is_a,segment
2,17,half_text + noisy_half_diagram[blur],OK,EF,is_a,segment
2,17,half_text + noisy_half_diagram[blur],OK,EG,is_a,segment
2,17,half_text + noisy_half_diagram[blur],OK,AB,parallel_to,CD
2,17,half_text + noisy_half_diagram[blur],OK,EF,intersects,AB
2,17,half_text + noisy_half_diagram[blur],OK,EF,intersects,CD
