problem_index,case_id,case_label,status,subject,predicate,object
1,17,half_text + noisy_half_diagram[blur],OK,A,is_a,point
1,17,half_text + noisy_half_diagram[blur],OK,B,is_a,point
1,17,half_text + noisy_half_diagram[blur],OK,C,is_a,point
1,17,half_text + noisy_half_diagram[blur],OK,D,is_a,point
1,17,half_text + noisy_half_diagram[blur],OK,E,is_a,point
1,17,half_text + noisy_half_diagram[blur],OK,AB,is_a,segment
1,17,half_text + noisy_half_diagram[blur],OK,AC,is_a,segment
1,17,half_text + noisy_half_diagram[blur],OK,BC,is_a,segment
1,17,half_text + noisy_half_diagram[blur],OK,∠A,is_a,angle
1,17,half_text + noisy_half_diagram[blur],OK,∠A,has_measure,80_deg
1,17,half_text + noisy_half_diagram[blur],OK,∠B,has_measure,60_deg
1,17,half_text + noisy_half_diagram[blur],OK,DE,is_a,segment
1,17,half_text + noisy_half_diagram[blur],OK,DE,parallel_to,BC
1,17,half_text + noisy_half_diagram[blur],OK,D,lies_on,AB
1,17,half_text + noisy_half_diagram[blur],OK,E,lies_on,AC
,,,,,,
2,17,half_text + noisy_half_diagram[blur],OK,A,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,B,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,C,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,D,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,E,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,F,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,G,is_a,point
2,17,half_text + noisy_half_diagram[blur],OK,AB,is_a,segment
2,17,half_text + noisy_half_diagram[blur],OK,CD,is_a,segment
2,17,half_text + noisy_half_diagram[blur],OK,EF,is_a,segment
2,17,half_text + noisy_half_diagram[blur],OK,EG,is_a,segment
2,17,half_text + noisy_half_diagram[blur],OK,∠BEF,is_a,angle
2,17,half_text + noisy_half_diagram[blur],OK,∠EFG,is_a,angle
2,17,half_text + noisy_half_diagram[blur],OK,∠EGF,is_a,angle
2,17,half_text + noisy_half_diagram[blur],OK,AB,parallel_to,CD
2,17,half_text + noisy_half_diagram[blur],OK,EF,intersects,AB
2,17,half_text + noisy_half_diagram[blur],OK,EF,intersects,CD
2,17,half_text + noisy_half_diagram[blur],OK,EG,bisects,∠BEF
2,17,half_text + noisy_half_diagram[blur],OK,EG,intersects,CD
2,17,half_text + noisy_half_diagram[blur],OK,50_deg,has_measure,∠EFG
,,,,,,
3,17,half_text + noisy_half_diagram[blur],OK,D,is_a,point
3,17,half_text + noisy_half_diagram[blur],OK,A,is_a,point
3,17,half_text + noisy_half_diagram[blur],OK,C,is_a,point
3,17,half_text + noisy_half_diagram[blur],OK,AB,is_a,segment
3,17,half_text + noisy_half_diagram[blur],OK,AC,is_a,segment
3,17,half_text + noisy_half_diagram[blur],OK,BD,is_a,segment
3,17,half_text + noisy_half_diagram[blur],OK,∠ABC,has_measure,70_deg
3,17,half_text + noisy_half_diagram[blur],OK,CD,parallel_to,AB
3,17,half_text + noisy_half_diagram[blur],OK,BD,bisects,∠ABC
,,,,,,
4,17,half_text + noisy_half_diagram[blur],OK,O,is_a,circle
4,17,half_text + noisy_half_diagram[blur],OK,B,is_a,point
4,17,half_text + noisy_half_diagram[blur],OK,∠AOB,is_a,angle
4,17,half_text + noisy_half_diagram[blur],OK,∠A,has_measure,36_deg
4,17,half_text + noisy_half_diagram[blur],OK,∠AOB,has_measure,36_deg
4,17,half_text + noisy_half_diagram[blur],OK,BC,lies_on,circle_O
4,17,half_text + noisy_half_diagram[blur],OK,AO,intersects,circle_O
4,17,half_text + noisy_half_diagram[blur],OK,C,is_a,point
4,17,half_text + noisy_half_diagram[blur],OK,BC,intersects,AC
4,17,half_text + noisy_half_diagram[blur],OK,AB,is_a,segment
4,17,half_text + noisy_half_diagram[blur],OK,AB,tangent_to,circle_O
4,17,half_text + noisy_half_diagram[blur],OK,O,center_of,circle_O
4,17,half_text + noisy_half_diagram[blur],OK,∠OCB,has_measure,?
,,,,,,
7,17,half_text + noisy_half_diagram[blur],OK,B,is_a,point
7,17,half_text + noisy_half_diagram[blur],OK,C,is_a,point
7,17,half_text + noisy_half_diagram[blur],OK,A,is_a,point
7,17,half_text + noisy_half_diagram[blur],OK,D,is_a,point
7,17,half_text + noisy_half_diagram[blur],OK,E,is_a,point
7,17,half_text + noisy_half_diagram[blur],OK,∠B,is_a,angle
7,17,half_text + noisy_half_diagram[blur],OK,∠C,is_a,angle
7,17,half_text + noisy_half_diagram[blur],OK,∠DAC,is_a,angle
7,17,half_text + noisy_half_diagram[blur],OK,∠EAC,is_a,angle
7,17,half_text + noisy_half_diagram[blur],OK,∠B,has_measure,70_deg
