problem_index,case_id,case_label,status,subject,predicate,object
1,11,half_text + half_diagram,OK,A,is_a,point
1,11,half_text + half_diagram,OK,A,has_measure,80_deg
1,11,half_text + half_diagram,OK,B,is_a,point
1,11,half_text + half_diagram,OK,C,is_a,point
1,11,half_text + half_diagram,OK,D,is_a,point
1,11,half_text + half_diagram,OK,E,is_a,point
1,11,half_text + half_diagram,OK,AB,is_a,segment
1,11,half_text + half_diagram,OK,AC,is_a,segment
1,11,half_text + half_diagram,OK,BC,is_a,segment
1,11,half_text + half_diagram,OK,DE,is_a,segment
1,11,half_text + half_diagram,OK,∠A,is_a,angle
1,11,half_text + half_diagram,OK,∠ABC,is_a,angle
1,11,half_text + half_diagram,OK,∠ACB,is_a,angle
1,11,half_text + half_diagram,OK,∠CED,is_a,angle
1,11,half_text + half_diagram,OK,∠A,has_measure,80_deg
1,11,half_text + half_diagram,OK,∠ABC,has_measure,60_deg
1,11,half_text + half_diagram,OK,DE,parallel_to,BC
1,11,half_text + half_diagram,OK,D,lies_on,AB
1,11,half_text + half_diagram,OK,E,lies_on,AC
,,,,,,
2,11,half_text + half_diagram,OK,A,is_a,point
2,11,half_text + half_diagram,OK,AB,is_a,segment
2,11,half_text + half_diagram,OK,B,is_a,point
2,11,half_text + half_diagram,OK,C,is_a,point
2,11,half_text + half_diagram,OK,CD,is_a,segment
2,11,half_text + half_diagram,OK,D,is_a,point
2,11,half_text + half_diagram,OK,E,is_a,point
2,11,half_text + half_diagram,OK,EF,is_a,segment
2,11,half_text + half_diagram,OK,F,is_a,point
2,11,half_text + half_diagram,OK,EG,is_a,segment
2,11,half_text + half_diagram,OK,G,is_a,point
2,11,half_text + half_diagram,OK,AB,parallel_to,CD
2,11,half_text + half_diagram,OK,EF,intersects,AB
2,11,half_text + half_diagram,OK,EF,intersects,CD
2,11,half_text + half_diagram,OK,EG,intersects,CD
2,11,half_text + half_diagram,OK,∠EFG,has_measure,50_deg
2,11,half_text + half_diagram,OK,EG,bisects,∠BEF
,,,,,,
3,11,half_text + half_diagram,OK,A,is_a,point
3,11,half_text + half_diagram,OK,B,is_a,point
3,11,half_text + half_diagram,OK,C,is_a,point
3,11,half_text + half_diagram,OK,D,is_a,point
3,11,half_text + half_diagram,OK,AB,is_a,line
3,11,half_text + half_diagram,OK,BC,is_a,line
3,11,half_text + half_diagram,OK,CD,is_a,line
3,11,half_text + half_diagram,OK,∠BCD,has_measure,70_deg
3,11,half_text + half_diagram,OK,BD,is_a,line
3,11,half_text + half_diagram,OK,BD,intersects,AC
3,11,half_text + half_diagram,OK,?,lies_on,BC
3,11,half_text + half_diagram,OK,?,lies_on,BA
3,11,half_text + half_diagram,OK,CD,parallel_to,AB
3,11,half_text + half_diagram,OK,BD,intersects,∠ABC
3,11,half_text + half_diagram,OK,BD,bisector_of,∠ABC
3,11,half_text + half_diagram,OK,∠CDB,is_a,angle
,,,,,,
4,11,half_text + half_diagram,OK,A,is_a,point
4,11,half_text + half_diagram,OK,O,is_a,point
4,11,half_text + half_diagram,OK,B,is_a,point
4,11,half_text + half_diagram,OK,C,is_a,point
4,11,half_text + half_diagram,OK,AB,is_a,segment
4,11,half_text + half_diagram,OK,AO,is_a,segment
4,11,half_text + half_diagram,OK,OC,is_a,segment
4,11,half_text + half_diagram,OK,OB,is_a,segment
4,11,half_text + half_diagram,OK,∠AOB,is_a,angle
4,11,half_text + half_diagram,OK,∠A,has_measure,36_deg
4,11,half_text + half_diagram,OK,AB,tangent_to,circle O
4,11,half_text + half_diagram,OK,AB,intersects,circle O
4,11,half_text + half_diagram,OK,AO,intersects,circle O
4,11,half_text + half_diagram,OK,OCB,is_a,triangle
4,11,half_text + half_diagram,OK,?,lies_on,line AO
4,11,half_text + half_diagram,OK,?,lies_on,line AB
4,11,half_text + half_diagram,OK,?,lies_on,circle O
,,,,,,
7,11,half_text + half_diagram,OK,A,is_a,point
7,11,half_text + half_diagram,OK,B,is_a,point
7,11,half_text + half_diagram,OK,C,is_a,point
7,11,half_text + half_diagram,OK,D,is_a,point
7,11,half_text + half_diagram,OK,E,is_a,point
7,11,half_text + half_diagram,OK,ABC,is_a,triangle
7,11,half_text + half_diagram,OK,ABD,is_a,triangle
7,11,half_text + half_diagram,OK,ADE,is_a,triangle
7,11,half_text + half_diagram,OK,AC,is_a,segment
7,11,half_text + half_diagram,OK,AB,is_a,segment
7,11,half_text + half_diagram,OK,BC,is_a,segment
7,11,half_text + half_diagram,OK,AD,is_a,segment
7,11,half_text + half_diagram,OK,DE,is_a,segment
7,11,half_text + half_diagram,OK,AE,is_a,segment
7,11,half_text + half_diagram,OK,∠B,has_measure,70_deg
7,11,half_text + half_diagram,OK,∠C,has_measure,30_deg
7,11,half_text + half_diagram,OK,∠DAC,has_measure,35_deg
7,11,half_text + half_diagram,OK,ABC,congruent_to,ADE
,,,,,,
8,11,half_text + half_diagram,OK,A,is_a,point
8,11,half_text + half_diagram,OK,B,is_a,point
8,11,half_text + half_diagram,OK,C,is_a,point
8,11,half_text + half_diagram,OK,D,is_a,point
8,11,half_text + half_diagram,OK,E,is_a,point
8,11,half_text + half_diagram,OK,F,is_a,point
8,11,half_text + half_diagram,OK,AB,is_a,segment
8,11,half_text + half_diagram,OK,BF,is_a,segment
8,11,half_text + half_diagram,OK,5.0,has_measure,?
8,11,half_text + half_diagram,OK,7.0,has_measure,BF
8,11,half_text + half_diagram,OK,Triangle ABC,is_a,triangle
