run_folder,case_label,problem_index,ground_truth,predicted,correct,status
run-1-mistral,full_text + full_diagram,1,140°,40_deg,0,OK
run-1-mistral,full_text + full_diagram,2,65°,50_deg,0,OK
run-1-mistral,full_text + full_diagram,3,55°,70_deg,0,OK
run-1-mistral,full_text + full_diagram,4,27°,54 degrees,0,OK
run-1-mistral,full_text + full_diagram,7,45°,35_deg,0,OK
run-1-mistral,full_text + full_diagram,8,3cm,5.0,0,OK
run-1-mistral,full_text + full_diagram,9,6cm,12 units,0,OK
run-1-mistral,full_text + full_diagram,10,72°,90 degrees,0,OK
run-1-mistral,full_text + full_diagram,11,84°,36,0,OK
run-1-mistral,full_text + full_diagram,14,55°,90 degrees,0,OK
run-1-mistral,full_text + full_diagram,16,25°,50_deg,0,OK
run-1-mistral,full_text + full_diagram,17,65°,65_deg,1,OK
run-1-mistral,full_text + full_diagram,20,20°,70 degrees,0,OK
run-1-mistral,full_text + full_diagram,22,62°,28_deg,0,OK
run-1-mistral,full_text + full_diagram,25,65°,80_deg,0,OK
run-1-mistral,full_text + full_diagram,26,12,27.5,0,OK
run-1-mistral,full_text + full_diagram,29,115°,25_deg,0,OK
run-1-mistral,full_text + full_diagram,30,60°,30_deg,0,OK
run-1-mistral,full_text + full_diagram,32,76°,68 degrees,0,OK
run-1-mistral,full_text + full_diagram,34,80°,100_deg,0,OK
run-1-mistral,full_text + full_diagram,36,20°,40 degrees,0,OK
run-1-mistral,full_text + full_diagram,37,25°,50_deg,0,OK
run-1-mistral,full_text + full_diagram,38,40°,70_deg,0,OK
run-1-mistral,full_text + full_diagram,40,50°,90 degrees,0,OK
run-1-mistral,full_text + full_diagram,43,40°,70_deg,0,OK
run-1-mistral,full_text + full_diagram,44,9m,30 units,0,OK
run-1-mistral,full_text + full_diagram,45,70°,70_deg,1,OK
run-1-mistral,full_text + full_diagram,46,110°,70_deg,0,OK
run-1-mistral,full_text + full_diagram,48,130°,50_deg,0,OK
run-1-mistral,full_text + full_diagram,49,100°,100_deg,1,OK
