kind,run_folder,case_label,total,correct,wrong,accuracy_pct,wrong_pct
OVERALL,,,5400,644,4756,11.926,88.074
RUN,first run,,1800,224,1576,12.444,87.556
RUN,second run,,1800,216,1584,12.0,88.0
RUN,third run,,1800,204,1596,11.333,88.667
RUN_CASE,first run,full_text + full_diagram,90,9,81,10.0,90.0
RUN_CASE,first run,half_text + half_diagram,90,9,81,10.0,90.0
RUN_CASE,first run,noisy_text[numeric] + full_diagram,90,16,74,17.778,82.222
RUN_CASE,first run,noisy_text[punctuation] + full_diagram,90,13,77,14.444,85.556
RUN_CASE,first run,noisy_text[sentence] + full_diagram,90,16,74,17.778,82.222
RUN_CASE,first run,noisy_text[typo] + full_diagram,90,11,79,12.222,87.778
RUN_CASE,first run,full_text + noisy_diagram[bg_change],90,11,79,12.222,87.778
RUN_CASE,first run,full_text + noisy_diagram[blur],90,16,74,17.778,82.222
RUN_CASE,first run,full_text + noisy_diagram[illumination],90,15,75,16.667,83.333
RUN_CASE,first run,full_text + noisy_diagram[irr_objects],90,14,76,15.556,84.444
RUN_CASE,first run,full_text + noisy_diagram[pixel_noise],90,12,78,13.333,86.667
RUN_CASE,first run,noisy_half_text[numeric] + half_diagram,90,10,80,11.111,88.889
RUN_CASE,first run,noisy_half_text[punctuation] + half_diagram,90,9,81,10.0,90.0
RUN_CASE,first run,noisy_half_text[sentence] + half_diagram,90,11,79,12.222,87.778
RUN_CASE,first run,noisy_half_text[typo] + half_diagram,90,4,86,4.444,95.556
RUN_CASE,first run,half_text + noisy_half_diagram[bg_change],90,8,82,8.889,91.111
RUN_CASE,first run,half_text + noisy_half_diagram[blur],90,13,77,14.444,85.556
RUN_CASE,first run,half_text + noisy_half_diagram[illumination],90,10,80,11.111,88.889
RUN_CASE,first run,half_text + noisy_half_diagram[irr_objects],90,5,85,5.556,94.444
RUN_CASE,first run,half_text + noisy_half_diagram[pixel_noise],90,12,78,13.333,86.667
RUN_CASE,second run,full_text + full_diagram,90,9,81,10.0,90.0
RUN_CASE,second run,half_text + half_diagram,90,11,79,12.222,87.778
RUN_CASE,second run,noisy_text[numeric] + full_diagram,90,10,80,11.111,88.889
RUN_CASE,second run,noisy_text[punctuation] + full_diagram,90,15,75,16.667,83.333
RUN_CASE,second run,noisy_text[sentence] + full_diagram,90,13,77,14.444,85.556
RUN_CASE,second run,noisy_text[typo] + full_diagram,90,13,77,14.444,85.556
RUN_CASE,second run,full_text + noisy_diagram[bg_change],90,11,79,12.222,87.778
RUN_CASE,second run,full_text + noisy_diagram[blur],90,13,77,14.444,85.556
RUN_CASE,second run,full_text + noisy_diagram[illumination],90,13,77,14.444,85.556
RUN_CASE,second run,full_text + noisy_diagram[irr_objects],90,15,75,16.667,83.333
RUN_CASE,second run,full_text + noisy_diagram[pixel_noise],90,16,74,17.778,82.222
RUN_CASE,second run,noisy_half_text[numeric] + half_diagram,90,7,83,7.778,92.222
