problem_index,case_id,case_label,status,subject,predicate,object
1,16,half_text + noisy_half_diagram[bg_change],OK,A,is_a,point
1,16,half_text + noisy_half_diagram[bg_change],OK,B,is_a,point
1,16,half_text + noisy_half_diagram[bg_change],OK,C,is_a,point
1,16,half_text + noisy_half_diagram[bg_change],OK,ABC,is_a,triangle
1,16,half_text + noisy_half_diagram[bg_change],OK,angle_A,is_a,angle
1,16,half_text + noisy_half_diagram[bg_change],OK,angle_A,has_measure,80_deg
1,16,half_text + noisy_half_diagram[bg_change],OK,D,is_a,point
1,16,half_text + noisy_half_diagram[bg_change],OK,D,lies_on,AB
1,16,half_text + noisy_half_diagram[bg_change],OK,E,is_a,point
1,16,half_text + noisy_half_diagram[bg_change],OK,E,lies_on,AC
1,16,half_text + noisy_half_diagram[bg_change],OK,DE,is_a,segment
1,16,half_text + noisy_half_diagram[bg_change],OK,DE,parallel_to,BC
1,16,half_text + noisy_half_diagram[bg_change],OK,angle_B,is_a,angle
1,16,half_text + noisy_half_diagram[bg_change],OK,angle_B,has_measure,60_deg
,,,,,,
2,16,half_text + noisy_half_diagram[bg_change],OK,A,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,B,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,AB,is_a,segment
2,16,half_text + noisy_half_diagram[bg_change],OK,AB,parallel_to,CD
2,16,half_text + noisy_half_diagram[bg_change],OK,CD,is_a,segment
2,16,half_text + noisy_half_diagram[bg_change],OK,EF,is_a,segment
2,16,half_text + noisy_half_diagram[bg_change],OK,E,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,F,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,EF,intersects,AB
2,16,half_text + noisy_half_diagram[bg_change],OK,EF,intersects,CD
2,16,half_text + noisy_half_diagram[bg_change],OK,EG,is_a,segment
2,16,half_text + noisy_half_diagram[bg_change],OK,G,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,EG,bisects,∠BEF
2,16,half_text + noisy_half_diagram[bg_change],OK,∠BEF,is_a,angle
2,16,half_text + noisy_half_diagram[bg_change],OK,∠EFG,is_a,angle
2,16,half_text + noisy_half_diagram[bg_change],OK,∠EFG,has_measure,?
2,16,half_text + noisy_half_diagram[bg_change],OK,∠EGF,is_a,angle
2,16,half_text + noisy_half_diagram[bg_change],OK,∠EGF,has_measure,?
,,,,,,
3,16,half_text + noisy_half_diagram[bg_change],OK,D,is_a,point
3,16,half_text + noisy_half_diagram[bg_change],OK,A,is_a,point
3,16,half_text + noisy_half_diagram[bg_change],OK,B,is_a,point
3,16,half_text + noisy_half_diagram[bg_change],OK,C,is_a,point
3,16,half_text + noisy_half_diagram[bg_change],OK,BC,is_a,segment
3,16,half_text + noisy_half_diagram[bg_change],OK,BA,is_a,segment
3,16,half_text + noisy_half_diagram[bg_change],OK,BD,is_a,segment
3,16,half_text + noisy_half_diagram[bg_change],OK,∠ABC,is_a,angle
3,16,half_text + noisy_half_diagram[bg_change],OK,CD,is_a,segment
3,16,half_text + noisy_half_diagram[bg_change],OK,AB,is_a,segment
3,16,half_text + noisy_half_diagram[bg_change],OK,BC,intersects,BA
3,16,half_text + noisy_half_diagram[bg_change],OK,BD,intersects,BC
3,16,half_text + noisy_half_diagram[bg_change],OK,BD,intersects,BA
3,16,half_text + noisy_half_diagram[bg_change],OK,BD,bisects,∠ABC
3,16,half_text + noisy_half_diagram[bg_change],OK,CD,parallel_to,AB
3,16,half_text + noisy_half_diagram[bg_change],OK,∠BCD,has_measure,70_deg
,,,,,,
4,16,half_text + noisy_half_diagram[bg_change],OK,A,is_a,point
4,16,half_text + noisy_half_diagram[bg_change],OK,B,is_a,point
4,16,half_text + noisy_half_diagram[bg_change],OK,O,is_a,point
4,16,half_text + noisy_half_diagram[bg_change],OK,C,is_a,point
