Per-problem table:
Problem_Index   | APS questions | Answered | Correct | Accuracy          
---------------------------------------------------------------------------
1               | 5             | 3        | 3       | 3/5 = 60.00%
2               | 6             | 1        | 0       | 0/6 = 0.00%
3               | 4             | 2        | 2       | 2/4 = 50.00%
4               | 6             | 2        | 2       | 2/6 = 33.33%
7               | 4             | 0        | 0       | 0/4 = 0.00%
8               | 3             | 2        | 2       | 2/3 = 66.67%
9               | 7             | 3        | 3       | 3/7 = 42.86%
10              | 5             | 2        | 0       | 0/5 = 0.00%
11              | 4             | 1        | 1       | 1/4 = 25.00%
14              | 5             | 2        | 2       | 2/5 = 40.00%
16              | 4             | 3        | 2       | 2/4 = 50.00%
17              | 4             | 2        | 1       | 1/4 = 25.00%
20              | 3             | 2        | 2       | 2/3 = 66.67%
22              | 5             | 2        | 1       | 1/5 = 20.00%
25              | 3             | 2        | 2       | 2/3 = 66.67%
26              | 5             | 5        | 3       | 3/5 = 60.00%
29              | 4             | 3        | 1       | 1/4 = 25.00%
30              | 2             | 0        | 0       | 0/2 = 0.00%
32              | 6             | 1        | 1       | 1/6 = 16.67%
34              | 5             | 3        | 1       | 1/5 = 20.00%
36              | 4             | 2        | 1       | 1/4 = 25.00%
37              | 4             | 3        | 2       | 2/4 = 50.00%
38              | 3             | 3        | 2       | 2/3 = 66.67%
40              | 3             | 2        | 1       | 1/3 = 33.33%
43              | 4             | 3        | 2       | 2/4 = 50.00%
44              | 4             | 1        | 0       | 0/4 = 0.00%
45              | 2             | 1        | 1       | 1/2 = 50.00%
46              | 3             | 1        | 0       | 0/3 = 0.00%
48              | 5             | 4        | 3       | 3/5 = 60.00%
49              | 5             | 3        | 3       | 3/5 = 60.00%
50              | 4             | 2        | 0       | 0/4 = 0.00%
53              | 5             | 3        | 1       | 1/5 = 20.00%
55              | 5             | 2        | 2       | 2/5 = 40.00%
56              | 5             | 1        | 1       | 1/5 = 20.00%
57              | 3             | 2        | 2       | 2/3 = 66.67%
58              | 4             | 3        | 2       | 2/4 = 50.00%
59              | 3             | 2        | 2       | 2/3 = 66.67%
60              | 3             | 1        | 0       | 0/3 = 0.00%
64              | 4             | 3        | 2       | 2/4 = 50.00%
72              | 5             | 3        | 1       | 1/5 = 20.00%
73              | 3             | 2        | 2       | 2/3 = 66.67%
78              | 3             | 0        | 0       | 0/3 = 0.00%
79              | 5             | 3        | 3       | 3/5 = 60.00%
81              | 4             | 2        | 2       | 2/4 = 50.00%
84              | 5             | 2        | 1       | 1/5 = 20.00%
86              | 4             | 4        | 1       | 1/4 = 25.00%
88              | 5             | 0        | 0       | 0/5 = 0.00%
95              | 5             | 3        | 1       | 1/5 = 20.00%
99              | 8             | 6        | 6       | 6/8 = 75.00%
108             | 4             | 3        | 1       | 1/4 = 25.00%
109             | 3             | 3        | 2       | 2/3 = 66.67%
112             | 3             | 2        | 2       | 2/3 = 66.67%
114             | 6             | 6        | 5       | 5/6 = 83.33%
115             | 2             | 0        | 0       | 0/2 = 0.00%
117             | 3             | 1        | 0       | 0/3 = 0.00%
119             | 4             | 2        | 0       | 0/4 = 0.00%
120             | 3             | 0        | 0       | 0/3 = 0.00%
123             | 4             | 2        | 2       | 2/4 = 50.00%
128             | 4             | 4        | 3       | 3/4 = 75.00%
132             | 6             | 3        | 3       | 3/6 = 50.00%
133             | 9             | 3        | 3       | 3/9 = 33.33%
149             | 6             | 5        | 3       | 3/6 = 50.00%
150             | 6             | 3        | 2       | 2/6 = 33.33%
151             | 3             | 0        | 0       | 0/3 = 0.00%
152             | 3             | 2        | 2       | 2/3 = 66.67%
153             | 6             | 3        | 3       | 3/6 = 50.00%
157             | 3             | 2        | 2       | 2/3 = 66.67%
165             | 4             | 2        | 1       | 1/4 = 25.00%
198             | 3             | 1        | 0       | 0/3 = 0.00%
207             | 3             | 1        | 1       | 1/3 = 33.33%
210             | 4             | 2        | 2       | 2/4 = 50.00%
211             | 6             | 0        | 0       | 0/6 = 0.00%
223             | 3             | 2        | 0       | 0/3 = 0.00%
239             | 6             | 3        | 3       | 3/6 = 50.00%
243             | 4             | 3        | 3       | 3/4 = 75.00%
257             | 6             | 5        | 5       | 5/6 = 83.33%
264             | 6             | 6        | 2       | 2/6 = 33.33%
281             | 4             | 3        | 1       | 1/4 = 25.00%
327             | 4             | 0        | 0       | 0/4 = 0.00%
348             | 2             | 0        | 0       | 0/2 = 0.00%
364             | 3             | 2        | 1       | 1/3 = 33.33%
365             | 2             | 1        | 1       | 1/2 = 50.00%
420             | 3             | 1        | 1       | 1/3 = 33.33%
432             | 4             | 4        | 4       | 4/4 = 100.00%
438             | 6             | 4        | 0       | 0/6 = 0.00%
441             | 3             | 0        | 0       | 0/3 = 0.00%
447             | 4             | 2        | 2       | 2/4 = 50.00%
449             | 2             | 0        | 0       | 0/2 = 0.00%
457             | 3             | 2        | 1       | 1/3 = 33.33%
472             | 4             | 0        | 0       | 0/4 = 0.00%
---------------------------------------------------------------------------
TOTAL           | 377           | 196      | 134     | 134/377 = 35.54%
