problem_index,case_id,case_label,status,subject,predicate,object
1,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
1,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
1,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
1,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
1,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
1,10,full_text + noisy_diagram[pixel_noise],OK,∠AOB,is_a,angle
1,10,full_text + noisy_diagram[pixel_noise],OK,∠A,has_measure,80°
1,10,full_text + noisy_diagram[pixel_noise],OK,∠B,has_measure,60°
1,10,full_text + noisy_diagram[pixel_noise],OK,DE,lies_on,triangle ABC
1,10,full_text + noisy_diagram[pixel_noise],OK,DE,parallel_to,BC
1,10,full_text + noisy_diagram[pixel_noise],OK,∠CED,?,?
,,,,,,
2,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,F,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,G,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
2,10,full_text + noisy_diagram[pixel_noise],OK,CD,is_a,segment
2,10,full_text + noisy_diagram[pixel_noise],OK,EF,is_a,segment
2,10,full_text + noisy_diagram[pixel_noise],OK,∠AOB,is_a,angle
2,10,full_text + noisy_diagram[pixel_noise],OK,∠BEF,is_a,angle
2,10,full_text + noisy_diagram[pixel_noise],OK,∠EGF,is_a,angle
2,10,full_text + noisy_diagram[pixel_noise],OK,AB,parallel_to,CD
2,10,full_text + noisy_diagram[pixel_noise],OK,EF,intersects,AB
2,10,full_text + noisy_diagram[pixel_noise],OK,EF,intersects,CD
2,10,full_text + noisy_diagram[pixel_noise],OK,∠BEF,has_measure,50°
2,10,full_text + noisy_diagram[pixel_noise],OK,∠EGF,has_measure,?
2,10,full_text + noisy_diagram[pixel_noise],OK,EG,bisects,∠BEF
2,10,full_text + noisy_diagram[pixel_noise],OK,∠EFG,has_measure,50°
,,,,,,
3,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
3,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
3,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
3,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
3,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
3,10,full_text + noisy_diagram[pixel_noise],OK,BC,is_a,segment
3,10,full_text + noisy_diagram[pixel_noise],OK,BD,is_a,segment
3,10,full_text + noisy_diagram[pixel_noise],OK,CD,is_a,segment
3,10,full_text + noisy_diagram[pixel_noise],OK,∠ABC,has_measure,70_deg
3,10,full_text + noisy_diagram[pixel_noise],OK,∠BCD,has_measure,70_deg
3,10,full_text + noisy_diagram[pixel_noise],OK,CD,parallel_to,AB
3,10,full_text + noisy_diagram[pixel_noise],OK,BD,bisects,∠ABC
3,10,full_text + noisy_diagram[pixel_noise],OK,∠ABD,has_measure,?
3,10,full_text + noisy_diagram[pixel_noise],OK,∠CBD,has_measure,?
,,,,,,
4,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
4,10,full_text + noisy_diagram[pixel_noise],OK,O,is_a,point
4,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
4,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
4,10,full_text + noisy_diagram[pixel_noise],OK,circle_O,is_a,circle
4,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
4,10,full_text + noisy_diagram[pixel_noise],OK,∠A,is_a,angle
4,10,full_text + noisy_diagram[pixel_noise],OK,∠OCB,is_a,angle
4,10,full_text + noisy_diagram[pixel_noise],OK,∠AOB,has_measure,36_deg
4,10,full_text + noisy_diagram[pixel_noise],OK,AB,tangent_to,circle_O
4,10,full_text + noisy_diagram[pixel_noise],OK,B,lies_on,AB
4,10,full_text + noisy_diagram[pixel_noise],OK,AO,intersects,circle_O
4,10,full_text + noisy_diagram[pixel_noise],OK,C,lies_on,circle_O
4,10,full_text + noisy_diagram[pixel_noise],OK,BC,connects,"B, C"
4,10,full_text + noisy_diagram[pixel_noise],OK,O,center_of,circle_O
,,,,,,
7,10,full_text + noisy_diagram[pixel_noise],OK,B,has_measure,70°
7,10,full_text + noisy_diagram[pixel_noise],OK,C,has_measure,30°
7,10,full_text + noisy_diagram[pixel_noise],OK,D,has_measure,35°
7,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
7,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
7,10,full_text + noisy_diagram[pixel_noise],OK,∠DAC,is_a,angle
7,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
7,10,full_text + noisy_diagram[pixel_noise],OK,AC,is_a,segment
7,10,full_text + noisy_diagram[pixel_noise],OK,AD,is_a,segment
7,10,full_text + noisy_diagram[pixel_noise],OK,AE,is_a,segment
7,10,full_text + noisy_diagram[pixel_noise],OK,∠EAC,?,?
7,10,full_text + noisy_diagram[pixel_noise],OK,∠B,has_measure,70°
7,10,full_text + noisy_diagram[pixel_noise],OK,∠C,has_measure,30°
,,,,,,
8,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,F,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,BC,lies_on,triangle_ABC
8,10,full_text + noisy_diagram[pixel_noise],OK,BF,lies_on,triangle_DEF
8,10,full_text + noisy_diagram[pixel_noise],OK,BC,has_measure,5.0
8,10,full_text + noisy_diagram[pixel_noise],OK,BF,has_measure,7.0
8,10,full_text + noisy_diagram[pixel_noise],OK,AB,lies_on,triangle_ABC
8,10,full_text + noisy_diagram[pixel_noise],OK,DE,lies_on,triangle_DEF
8,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
8,10,full_text + noisy_diagram[pixel_noise],OK,DE,is_a,segment
8,10,full_text + noisy_diagram[pixel_noise],OK,AC,lies_on,triangle_ABC
8,10,full_text + noisy_diagram[pixel_noise],OK,DF,lies_on,triangle_DEF
8,10,full_text + noisy_diagram[pixel_noise],OK,AC,is_a,segment
8,10,full_text + noisy_diagram[pixel_noise],OK,DF,is_a,segment
8,10,full_text + noisy_diagram[pixel_noise],OK,EC,= ?,7.0
,,,,,,
9,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
9,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
9,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
9,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
9,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
9,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
9,10,full_text + noisy_diagram[pixel_noise],OK,AC,is_a,segment
9,10,full_text + noisy_diagram[pixel_noise],OK,BC,is_a,segment
9,10,full_text + noisy_diagram[pixel_noise],OK,DE,is_a,segment
9,10,full_text + noisy_diagram[pixel_noise],OK,∠C,is_a,angle
9,10,full_text + noisy_diagram[pixel_noise],OK,∠C,has_measure,90_deg
9,10,full_text + noisy_diagram[pixel_noise],OK,AC,intersects,BC
9,10,full_text + noisy_diagram[pixel_noise],OK,AB,has_measure,6.0
9,10,full_text + noisy_diagram[pixel_noise],OK,AD,bisects,∠CAB
9,10,full_text + noisy_diagram[pixel_noise],OK,DE,perpendicular_to,AB
9,10,full_text + noisy_diagram[pixel_noise],OK,E,lies_on,AB
,,,,,,
10,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
10,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
10,10,full_text + noisy_diagram[pixel_noise],OK,AC,is_a,segment
10,10,full_text + noisy_diagram[pixel_noise],OK,∠A,is_a,angle
10,10,full_text + noisy_diagram[pixel_noise],OK,∠A,has_measure,36_deg
10,10,full_text + noisy_diagram[pixel_noise],OK,AB,intersects,BD
10,10,full_text + noisy_diagram[pixel_noise],OK,AC,intersects,BD
10,10,full_text + noisy_diagram[pixel_noise],OK,AB,intersects,BE
10,10,full_text + noisy_diagram[pixel_noise],OK,BD,is_a,segment
10,10,full_text + noisy_diagram[pixel_noise],OK,BE,is_a,segment
10,10,full_text + noisy_diagram[pixel_noise],OK,BD,perpendicular_to,AB
10,10,full_text + noisy_diagram[pixel_noise],OK,BD,perpendicular_to,AC
10,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
10,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
10,10,full_text + noisy_diagram[pixel_noise],OK,∠AED,is_a,angle
10,10,full_text + noisy_diagram[pixel_noise],OK,∠AED,has_measure,90_deg
10,10,full_text + noisy_diagram[pixel_noise],OK,AB,AC,"is_a, equal"
10,10,full_text + noisy_diagram[pixel_noise],OK,BD,bisector_of,AB
10,10,full_text + noisy_diagram[pixel_noise],OK,∠B,?,∠C
,,,,,,
11,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
11,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
11,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
11,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
11,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
11,10,full_text + noisy_diagram[pixel_noise],OK,F,is_a,point
11,10,full_text + noisy_diagram[pixel_noise],OK,∠AFC,is_a,angle
11,10,full_text + noisy_diagram[pixel_noise],OK,∠ABC,has_measure,60°
11,10,full_text + noisy_diagram[pixel_noise],OK,∠EAD,has_measure,60°
11,10,full_text + noisy_diagram[pixel_noise],OK,∠BAC,has_measure,36°
11,10,full_text + noisy_diagram[pixel_noise],OK,∠C,has_measure,36°
11,10,full_text + noisy_diagram[pixel_noise],OK,∠AED,has_measure,60°
11,10,full_text + noisy_diagram[pixel_noise],OK,∠AFC,has_measure,?
11,10,full_text + noisy_diagram[pixel_noise],OK,∠BAC,is_a,angle
