problem_index,case_id,case_label,status,subject,predicate,object
1,5,noisy_text[typo] + full_diagram,OK,A,is_a,point
1,5,noisy_text[typo] + full_diagram,OK,B,is_a,point
1,5,noisy_text[typo] + full_diagram,OK,C,is_a,point
1,5,noisy_text[typo] + full_diagram,OK,D,is_a,point
1,5,noisy_text[typo] + full_diagram,OK,E,is_a,point
1,5,noisy_text[typo] + full_diagram,OK,∠AOB,is_a,angle
1,5,noisy_text[typo] + full_diagram,OK,∠A,has_measure,80°
1,5,noisy_text[typo] + full_diagram,OK,∠B,has_measure,60°
1,5,noisy_text[typo] + full_diagram,OK,DE,lies_on,triangle ABC
1,5,noisy_text[typo] + full_diagram,OK,DE,parallel,BC
1,5,noisy_text[typo] + full_diagram,OK,CED,is_a,angle
,,,,,,
2,5,noisy_text[typo] + full_diagram,OK,A,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,B,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,C,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,D,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,E,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,F,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,G,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,AB,is_a,segment
2,5,noisy_text[typo] + full_diagram,OK,CD,is_a,segment
2,5,noisy_text[typo] + full_diagram,OK,EF,is_a,segment
2,5,noisy_text[typo] + full_diagram,OK,EG,is_a,segment
2,5,noisy_text[typo] + full_diagram,OK,∠EGF,is_a,angle
2,5,noisy_text[typo] + full_diagram,OK,∠BEF,is_a,angle
2,5,noisy_text[typo] + full_diagram,OK,∠EFG,is_a,angle
2,5,noisy_text[typo] + full_diagram,OK,50°,has_measure,∠EFG
2,5,noisy_text[typo] + full_diagram,OK,∠EGF,has_measure,?
2,5,noisy_text[typo] + full_diagram,OK,AB,parallel_to,CD
2,5,noisy_text[typo] + full_diagram,OK,EF,intersects,AB
2,5,noisy_text[typo] + full_diagram,OK,EF,intersects,CD
2,5,noisy_text[typo] + full_diagram,OK,EG,bisects,∠BEF
2,5,noisy_text[typo] + full_diagram,OK,∠BEF,equals,∠EFG
,,,,,,
3,5,noisy_text[typo] + full_diagram,OK,A,is_a,point
3,5,noisy_text[typo] + full_diagram,OK,B,is_a,point
3,5,noisy_text[typo] + full_diagram,OK,C,is_a,point
