problem_index,ars_id,question,answer,reasoning,triples_used,triples_count,unique_triples_count,which_triples_used
1,Q1,What is the measure of angle A in triangle ABC?,null,The perception triples do not provide the measure of angle A. They only describe points and segments.,[],0,0,
1,Q2,What is the measure of angle B in triangle ABC?,60_deg,Triple [T14] states that ∠B has a measure of 60_deg.,[14],1,1,T14
1,Q3,What is the relationship between line DE and line BC?,parallel,Triple [T15] states that DE is parallel to BC.,[15],1,1,T15
1,Q4,Where is point D located in relation to side AB?,lies_on AB,Triple [T16] states that D lies on AB.,[16],1,1,T16
1,Q5,Where is point E located in relation to side AC?,lies_on AC,Triple [T17] states that E lies on AC.,[17],1,1,T17
2,Q1,What is the relationship between lines AB and CD?,intersect,"Triples T18, T19, and T20 state that E, F, and G intersect lines AB and CD respectively.","[18, 19, 20]",3,3,"T18, T19, T20"
2,Q2,What is the measure of angle EFG in degrees?,50,Triple T21 states that angle EGF has a measure of 50 degrees.,[21],1,1,T21
2,Q3,Does line EG bisect angle BEF?,null,The perception triples do not provide information about whether EG bisects angle BEF.  We only know the measure of the angles and their relationships to segments.,[],0,0,
2,Q4,At what point does line EF intersect line AB?,null,The perception triples do not specify the point of intersection between line EF and line AB.  We only know that E intersects AB.,[],0,0,
2,Q5,At what point does line EF intersect line CD?,null,The perception triples do not specify the point of intersection between line EF and line CD. We only know that F intersects CD.,[],0,0,
2,Q6,At what point does line EG intersect line CD?,null,The perception triples do not specify the point of intersection between line EG and line CD. We only know that G intersects CD.,[],0,0,
3,Q1,What is the measure of angle BCD?,70_deg,Triple T12 states that ∠BCD has a measure of 70_deg.,[12],1,1,T12
3,Q2,What is the relationship between line segment CD and line segment AB?,parallel,Triple T13 states that AB is parallel to CD.,[13],1,1,T13
3,Q3,What does the line segment BD do to angle ABC?,forms,Triple T14 states that BC intersects BD.,[14],1,1,T14
3,Q4,At which point do line segments BC and BA intersect?,B,Triple T16 states that B lies on BC.,[16],1,1,T16
4,Q1,What is the measure of angle A in degrees?,36°,Triple T7 states that ∠A has a measure of 36°.,[7],1,1,T7
4,Q2,What is the relationship between line AB and circle O at point B?,tangent,Triple T11 states that AB is tangent to circle O at point B.,[11],1,1,T11
4,Q3,What point does the extended line of AO intersect on circle O?,null,The perception triples do not provide information about where the extended line of AO intersects the circle.,[],0,0,
4,Q4,What is the center point of the circle labeled in the diagram?,O,Triple T12 states that O is the center of circle O.,[12],1,1,T12
4,Q5,Is point B located on the circle?,null,The perception triples do not state whether point B is on the circle.,[],0,0,
4,Q6,Is point C located on the circle?,null,The perception triples do not state whether point C is on the circle.,[],0,0,
7,Q1,What is the measure of angle B in triangle ABC?,null,The perception triples do not provide the measure of angle B. They only state that B lies on triangle ABC.,[],0,0,
7,Q2,What is the measure of angle C in triangle ABC?,null,The perception triples do not provide the measure of angle C. They only state that C lies on triangle ABC.,[],0,0,
7,Q3,What is the measure of angle DAC in triangle ADE?,35°,"Triple T3 states that (DAC, has_measure, 35°).",[3],1,1,T3
7,Q4,What is the stated relationship between triangle ABC and triangle ADE?,null,The perception triples do not explicitly state a relationship between triangle ABC and triangle ADE. They only define the individual points and segments.,[],0,0,
8,Q1,What is the length of BC?,5.0,Triple T13 states that BC has a measure of 5.0.,[13],1,1,T13
8,Q2,What is the length of BF?,7.0,Triple T14 states that BF has a measure of 7.0.,[14],1,1,T14
