problem_index,case_id,case_label,status,subject,predicate,object
1,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,point
1,9,full_text + noisy_diagram[irr_objects],OK,B,is_a,point
1,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
1,9,full_text + noisy_diagram[irr_objects],OK,D,is_a,point
1,9,full_text + noisy_diagram[irr_objects],OK,E,is_a,point
1,9,full_text + noisy_diagram[irr_objects],OK,AB,is_a,segment
1,9,full_text + noisy_diagram[irr_objects],OK,AC,is_a,segment
1,9,full_text + noisy_diagram[irr_objects],OK,BC,is_a,segment
1,9,full_text + noisy_diagram[irr_objects],OK,DE,is_a,segment
1,9,full_text + noisy_diagram[irr_objects],OK,∠A,is_a,angle
1,9,full_text + noisy_diagram[irr_objects],OK,∠B,is_a,angle
1,9,full_text + noisy_diagram[irr_objects],OK,∠CED,is_a,angle
1,9,full_text + noisy_diagram[irr_objects],OK,∠A,has_measure,80_deg
1,9,full_text + noisy_diagram[irr_objects],OK,∠B,has_measure,60_deg
1,9,full_text + noisy_diagram[irr_objects],OK,DE,parallel_to,BC
1,9,full_text + noisy_diagram[irr_objects],OK,D,lies_on,AB
1,9,full_text + noisy_diagram[irr_objects],OK,E,lies_on,AC
,,,,,,
2,9,full_text + noisy_diagram[irr_objects],OK,B,is_a,point
2,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
2,9,full_text + noisy_diagram[irr_objects],OK,D,is_a,point
2,9,full_text + noisy_diagram[irr_objects],OK,CD,is_a,line
2,9,full_text + noisy_diagram[irr_objects],OK,EG,is_a,line
2,9,full_text + noisy_diagram[irr_objects],OK,AB,parallel_to,CD
2,9,full_text + noisy_diagram[irr_objects],OK,EF,intersects,CD
2,9,full_text + noisy_diagram[irr_objects],OK,∠EFG,has_measure,
2,9,full_text + noisy_diagram[irr_objects],OK,EG,bisects,∠BEF
,,,,,,
3,9,full_text + noisy_diagram[irr_objects],OK,B,is_a,point
3,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
3,9,full_text + noisy_diagram[irr_objects],OK,D,is_a,point
3,9,full_text + noisy_diagram[irr_objects],OK,BC,is_a,segment
3,9,full_text + noisy_diagram[irr_objects],OK,BA,is_a,segment
3,9,full_text + noisy_diagram[irr_objects],OK,BD,is_a,segment
3,9,full_text + noisy_diagram[irr_objects],OK,∠ABC,is_a,angle
3,9,full_text + noisy_diagram[irr_objects],OK,∠BCD,is_a,angle
3,9,full_text + noisy_diagram[irr_objects],OK,∠CDB,is_a,angle
3,9,full_text + noisy_diagram[irr_objects],OK,BC,lies_on,line
3,9,full_text + noisy_diagram[irr_objects],OK,BA,lies_on,line
3,9,full_text + noisy_diagram[irr_objects],OK,BD,intersects,BC
3,9,full_text + noisy_diagram[irr_objects],OK,BD,intersects,BA
3,9,full_text + noisy_diagram[irr_objects],OK,CD,parallel_to,AB
3,9,full_text + noisy_diagram[irr_objects],OK,∠BCD,has_measure,70_deg
3,9,full_text + noisy_diagram[irr_objects],OK,BD,bisects,∠ABC
,,,,,,
4,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,point
4,9,full_text + noisy_diagram[irr_objects],OK,B,is_a,point
4,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
4,9,full_text + noisy_diagram[irr_objects],OK,O,is_a,point
4,9,full_text + noisy_diagram[irr_objects],OK,AB,is_a,segment
4,9,full_text + noisy_diagram[irr_objects],OK,AO,is_a,segment
4,9,full_text + noisy_diagram[irr_objects],OK,BC,is_a,segment
4,9,full_text + noisy_diagram[irr_objects],OK,∠A,is_a,angle
4,9,full_text + noisy_diagram[irr_objects],OK,∠C,is_a,angle
4,9,full_text + noisy_diagram[irr_objects],OK,∠OCB,is_a,angle
4,9,full_text + noisy_diagram[irr_objects],OK,AB,tangent_to,circle O
4,9,full_text + noisy_diagram[irr_objects],OK,B,lies_on,circle O
4,9,full_text + noisy_diagram[irr_objects],OK,AO,intersects,circle O
4,9,full_text + noisy_diagram[irr_objects],OK,AO,intersects,B
4,9,full_text + noisy_diagram[irr_objects],OK,BC,connects,B and C
4,9,full_text + noisy_diagram[irr_objects],OK,∠A,has_measure,36_deg
,,,,,,
7,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,point
7,9,full_text + noisy_diagram[irr_objects],OK,B,is_a,point
7,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
7,9,full_text + noisy_diagram[irr_objects],OK,D,is_a,point
7,9,full_text + noisy_diagram[irr_objects],OK,E,is_a,point
7,9,full_text + noisy_diagram[irr_objects],OK,AB,is_a,segment
7,9,full_text + noisy_diagram[irr_objects],OK,AC,is_a,segment
7,9,full_text + noisy_diagram[irr_objects],OK,AD,is_a,segment
7,9,full_text + noisy_diagram[irr_objects],OK,AE,is_a,segment
7,9,full_text + noisy_diagram[irr_objects],OK,∠B,is_a,angle
7,9,full_text + noisy_diagram[irr_objects],OK,∠C,is_a,angle
7,9,full_text + noisy_diagram[irr_objects],OK,∠DAC,is_a,angle
7,9,full_text + noisy_diagram[irr_objects],OK,∠EAC,is_a,angle
7,9,full_text + noisy_diagram[irr_objects],OK,∠B,has_measure,70_deg
7,9,full_text + noisy_diagram[irr_objects],OK,∠C,has_measure,30_deg
7,9,full_text + noisy_diagram[irr_objects],OK,∠DAC,has_measure,35_deg
7,9,full_text + noisy_diagram[irr_objects],OK,Triangle ABC,is_congruent_to,Triangle ADE
7,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,"common_vertex_of, Triangle ABC and Triangle ADE"
7,9,full_text + noisy_diagram[irr_objects],OK,A,lies_on,AB
7,9,full_text + noisy_diagram[irr_objects],OK,A,lies_on,AC
7,9,full_text + noisy_diagram[irr_objects],OK,A,lies_on,AD
7,9,full_text + noisy_diagram[irr_objects],OK,A,lies_on,AE
,,,,,,
8,9,full_text + noisy_diagram[irr_objects],OK,A,is_a,point
8,9,full_text + noisy_diagram[irr_objects],OK,B,is_a,point
8,9,full_text + noisy_diagram[irr_objects],OK,C,is_a,point
8,9,full_text + noisy_diagram[irr_objects],OK,D,is_a,point
8,9,full_text + noisy_diagram[irr_objects],OK,E,is_a,point
8,9,full_text + noisy_diagram[irr_objects],OK,F,is_a,point
8,9,full_text + noisy_diagram[irr_objects],OK,AB,is_a,segment
8,9,full_text + noisy_diagram[irr_objects],OK,BC,is_a,segment
8,9,full_text + noisy_diagram[irr_objects],OK,BF,is_a,segment
8,9,full_text + noisy_diagram[irr_objects],OK,EC,is_a,segment
8,9,full_text + noisy_diagram[irr_objects],OK,Triangle ABC,is_a,triangle
8,9,full_text + noisy_diagram[irr_objects],OK,Triangle DEF,is_a,triangle
8,9,full_text + noisy_diagram[irr_objects],OK,Triangle ABC,congruent_to,Triangle DEF
8,9,full_text + noisy_diagram[irr_objects],OK,A,corresponding_vertex,D
8,9,full_text + noisy_diagram[irr_objects],OK,B,corresponding_vertex,E
8,9,full_text + noisy_diagram[irr_objects],OK,BC,has_measure,5.0_units
8,9,full_text + noisy_diagram[irr_objects],OK,BF,has_measure,7.0_units
8,9,full_text + noisy_diagram[irr_objects],OK,EC,has_measure,?
8,9,full_text + noisy_diagram[irr_objects],OK,B,lies_on,BF
8,9,full_text + noisy_diagram[irr_objects],OK,C,lies_on,BF
