problem_index,case_id,case_label,status,subject,predicate,object
1,8,full_text + noisy_diagram[illumination],OK,A,is_a,point
1,8,full_text + noisy_diagram[illumination],OK,B,is_a,point
1,8,full_text + noisy_diagram[illumination],OK,C,is_a,point
1,8,full_text + noisy_diagram[illumination],OK,∠AOB,is_a,angle
1,8,full_text + noisy_diagram[illumination],OK,∠AOB,has_measure,80_deg
1,8,full_text + noisy_diagram[illumination],OK,∠ABC,has_measure,60_deg
1,8,full_text + noisy_diagram[illumination],OK,D,lies_on,AB
1,8,full_text + noisy_diagram[illumination],OK,E,lies_on,AC
1,8,full_text + noisy_diagram[illumination],OK,DE,parallel_to,BC
,,,,,,
2,8,full_text + noisy_diagram[illumination],OK,AB,is_a,segment
2,8,full_text + noisy_diagram[illumination],OK,CD,is_a,segment
2,8,full_text + noisy_diagram[illumination],OK,EF,is_a,segment
2,8,full_text + noisy_diagram[illumination],OK,∠AOB,has_measure,50_deg
2,8,full_text + noisy_diagram[illumination],OK,∠EGF,has_measure,?
2,8,full_text + noisy_diagram[illumination],OK,E,is_a,point
2,8,full_text + noisy_diagram[illumination],OK,F,is_a,point
2,8,full_text + noisy_diagram[illumination],OK,G,is_a,point
,,,,,,
3,8,full_text + noisy_diagram[illumination],OK,A,is_a,point
3,8,full_text + noisy_diagram[illumination],OK,B,is_a,point
3,8,full_text + noisy_diagram[illumination],OK,C,is_a,point
3,8,full_text + noisy_diagram[illumination],OK,O,is_a,point
3,8,full_text + noisy_diagram[illumination],OK,AB,is_a,segment
3,8,full_text + noisy_diagram[illumination],OK,BC,is_a,segment
3,8,full_text + noisy_diagram[illumination],OK,∠AOB,is_a,angle
3,8,full_text + noisy_diagram[illumination],OK,∠ABC,has_measure,70_deg
3,8,full_text + noisy_diagram[illumination],OK,CD,is_a,segment
3,8,full_text + noisy_diagram[illumination],OK,BD,intersects,∠ABC
3,8,full_text + noisy_diagram[illumination],OK,BD,bisects,∠ABC
,,,,,,
4,8,full_text + noisy_diagram[illumination],OK,A,has_measure,36_deg
4,8,full_text + noisy_diagram[illumination],OK,B,is_a,point
4,8,full_text + noisy_diagram[illumination],OK,O,is_a,point
4,8,full_text + noisy_diagram[illumination],OK,AB,is_a,segment
4,8,full_text + noisy_diagram[illumination],OK,AO,is_a,segment
