problem_index,case_id,case_label,status,subject,predicate,object
1,16,half_text + noisy_half_diagram[bg_change],OK,A,is_a,point
1,16,half_text + noisy_half_diagram[bg_change],OK,B,is_a,point
1,16,half_text + noisy_half_diagram[bg_change],OK,C,is_a,point
1,16,half_text + noisy_half_diagram[bg_change],OK,∠AOB,is_a,angle
1,16,half_text + noisy_half_diagram[bg_change],OK,∠AOB,has_measure,60_deg
1,16,half_text + noisy_half_diagram[bg_change],OK,ABC,is_a,triangle
1,16,half_text + noisy_half_diagram[bg_change],OK,DE,is_a,segment
1,16,half_text + noisy_half_diagram[bg_change],OK,DE,parallel_to,BC
,,,,,,
2,16,half_text + noisy_half_diagram[bg_change],OK,A,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,B,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,C,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,D,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,E,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,F,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,G,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,AB,is_a,segment
2,16,half_text + noisy_half_diagram[bg_change],OK,CD,is_a,segment
2,16,half_text + noisy_half_diagram[bg_change],OK,EF,is_a,segment
2,16,half_text + noisy_half_diagram[bg_change],OK,EG,is_a,segment
2,16,half_text + noisy_half_diagram[bg_change],OK,∠BEF,is_a,angle
2,16,half_text + noisy_half_diagram[bg_change],OK,∠AOB,is_a,angle
2,16,half_text + noisy_half_diagram[bg_change],OK,∠EGF,is_a,angle
2,16,half_text + noisy_half_diagram[bg_change],OK,AB,parallel_to,CD
2,16,half_text + noisy_half_diagram[bg_change],OK,EF,intersects,AB
2,16,half_text + noisy_half_diagram[bg_change],OK,EF,intersects,CD
2,16,half_text + noisy_half_diagram[bg_change],OK,EG,bisects,∠BEF
2,16,half_text + noisy_half_diagram[bg_change],OK,∠1,is_a,angle
2,16,half_text + noisy_half_diagram[bg_change],OK,∠1,equals,50_deg
,,,,,,
3,16,half_text + noisy_half_diagram[bg_change],OK,A,is_a,point
3,16,half_text + noisy_half_diagram[bg_change],OK,D,is_a,point
3,16,half_text + noisy_half_diagram[bg_change],OK,C,is_a,point
3,16,half_text + noisy_half_diagram[bg_change],OK,AB,is_a,segment
3,16,half_text + noisy_half_diagram[bg_change],OK,BC,is_a,segment
3,16,half_text + noisy_half_diagram[bg_change],OK,BD,is_a,segment
3,16,half_text + noisy_half_diagram[bg_change],OK,∠ABC,has_measure,70_deg
3,16,half_text + noisy_half_diagram[bg_change],OK,CD,parallel_to,AB
3,16,half_text + noisy_half_diagram[bg_change],OK,BD,bisects,∠ABC
3,16,half_text + noisy_half_diagram[bg_change],OK,∠ABD,has_measure,?
3,16,half_text + noisy_half_diagram[bg_change],OK,∠CBD,has_measure,?
,,,,,,
4,16,half_text + noisy_half_diagram[bg_change],OK,O,is_a,circle
4,16,half_text + noisy_half_diagram[bg_change],OK,B,is_a,point
4,16,half_text + noisy_half_diagram[bg_change],OK,A,is_a,point
4,16,half_text + noisy_half_diagram[bg_change],OK,∠AOB,has_measure,36_deg
4,16,half_text + noisy_half_diagram[bg_change],OK,BC,intersects,circle O
4,16,half_text + noisy_half_diagram[bg_change],OK,AO,intersects,circle O
4,16,half_text + noisy_half_diagram[bg_change],OK,C,is_a,point
4,16,half_text + noisy_half_diagram[bg_change],OK,∠OCB,has_measure,?
,,,,,,
7,16,half_text + noisy_half_diagram[bg_change],OK,B,has_measure,70_deg
7,16,half_text + noisy_half_diagram[bg_change],OK,C,has_measure,30_deg
7,16,half_text + noisy_half_diagram[bg_change],OK,∠AOB,is_a,angle
7,16,half_text + noisy_half_diagram[bg_change],OK,∠A,is_a,angle
