kind,run_folder,case_label,total,correct,wrong,accuracy_pct,wrong_pct
OVERALL,,,5400,1216,4184,22.519,77.481
RUN,run-1-llama,,1800,409,1391,22.722,77.278
RUN,run-2-llama,,1800,403,1397,22.389,77.611
RUN,run-3-llama,,1800,404,1396,22.444,77.556
RUN_CASE,run-1-llama,full_text + full_diagram,90,19,71,21.111,78.889
RUN_CASE,run-1-llama,half_text + half_diagram,90,18,72,20.0,80.0
RUN_CASE,run-1-llama,noisy_text[numeric] + full_diagram,90,18,72,20.0,80.0
RUN_CASE,run-1-llama,noisy_text[punctuation] + full_diagram,90,16,74,17.778,82.222
RUN_CASE,run-1-llama,noisy_text[sentence] + full_diagram,90,20,70,22.222,77.778
RUN_CASE,run-1-llama,noisy_text[typo] + full_diagram,90,19,71,21.111,78.889
RUN_CASE,run-1-llama,full_text + noisy_diagram[bg_change],90,20,70,22.222,77.778
RUN_CASE,run-1-llama,full_text + noisy_diagram[blur],90,20,70,22.222,77.778
RUN_CASE,run-1-llama,full_text + noisy_diagram[illumination],90,22,68,24.444,75.556
RUN_CASE,run-1-llama,full_text + noisy_diagram[irr_objects],90,24,66,26.667,73.333
RUN_CASE,run-1-llama,full_text + noisy_diagram[pixel_noise],90,19,71,21.111,78.889
RUN_CASE,run-1-llama,noisy_half_text[numeric] + half_diagram,90,20,70,22.222,77.778
RUN_CASE,run-1-llama,noisy_half_text[punctuation] + half_diagram,90,20,70,22.222,77.778
RUN_CASE,run-1-llama,noisy_half_text[sentence] + half_diagram,90,18,72,20.0,80.0
RUN_CASE,run-1-llama,noisy_half_text[typo] + half_diagram,90,25,65,27.778,72.222
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[bg_change],90,26,64,28.889,71.111
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[blur],90,20,70,22.222,77.778
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[illumination],90,23,67,25.556,74.444
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[irr_objects],90,22,68,24.444,75.556
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[pixel_noise],90,20,70,22.222,77.778
RUN_CASE,run-2-llama,full_text + full_diagram,90,22,68,24.444,75.556
RUN_CASE,run-2-llama,half_text + half_diagram,90,17,73,18.889,81.111
RUN_CASE,run-2-llama,noisy_text[numeric] + full_diagram,90,21,69,23.333,76.667
RUN_CASE,run-2-llama,noisy_text[punctuation] + full_diagram,90,21,69,23.333,76.667
RUN_CASE,run-2-llama,noisy_text[sentence] + full_diagram,90,23,67,25.556,74.444
RUN_CASE,run-2-llama,noisy_text[typo] + full_diagram,90,21,69,23.333,76.667
RUN_CASE,run-2-llama,full_text + noisy_diagram[bg_change],90,20,70,22.222,77.778
RUN_CASE,run-2-llama,full_text + noisy_diagram[blur],90,18,72,20.0,80.0
RUN_CASE,run-2-llama,full_text + noisy_diagram[illumination],90,18,72,20.0,80.0
RUN_CASE,run-2-llama,full_text + noisy_diagram[irr_objects],90,23,67,25.556,74.444
RUN_CASE,run-2-llama,full_text + noisy_diagram[pixel_noise],90,22,68,24.444,75.556
RUN_CASE,run-2-llama,noisy_half_text[numeric] + half_diagram,90,18,72,20.0,80.0
RUN_CASE,run-2-llama,noisy_half_text[punctuation] + half_diagram,90,20,70,22.222,77.778
RUN_CASE,run-2-llama,noisy_half_text[sentence] + half_diagram,90,17,73,18.889,81.111
RUN_CASE,run-2-llama,noisy_half_text[typo] + half_diagram,90,21,69,23.333,76.667
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[bg_change],90,22,68,24.444,75.556
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[blur],90,18,72,20.0,80.0
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[illumination],90,20,70,22.222,77.778
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[irr_objects],90,21,69,23.333,76.667
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[pixel_noise],90,20,70,22.222,77.778
RUN_CASE,run-3-llama,full_text + full_diagram,90,20,70,22.222,77.778
RUN_CASE,run-3-llama,half_text + half_diagram,90,22,68,24.444,75.556
RUN_CASE,run-3-llama,noisy_text[numeric] + full_diagram,90,19,71,21.111,78.889
RUN_CASE,run-3-llama,noisy_text[punctuation] + full_diagram,90,18,72,20.0,80.0
RUN_CASE,run-3-llama,noisy_text[sentence] + full_diagram,90,23,67,25.556,74.444
RUN_CASE,run-3-llama,noisy_text[typo] + full_diagram,90,22,68,24.444,75.556
RUN_CASE,run-3-llama,full_text + noisy_diagram[bg_change],90,19,71,21.111,78.889
RUN_CASE,run-3-llama,full_text + noisy_diagram[blur],90,23,67,25.556,74.444
RUN_CASE,run-3-llama,full_text + noisy_diagram[illumination],90,20,70,22.222,77.778
RUN_CASE,run-3-llama,full_text + noisy_diagram[irr_objects],90,20,70,22.222,77.778
RUN_CASE,run-3-llama,full_text + noisy_diagram[pixel_noise],90,22,68,24.444,75.556
RUN_CASE,run-3-llama,noisy_half_text[numeric] + half_diagram,90,19,71,21.111,78.889
RUN_CASE,run-3-llama,noisy_half_text[punctuation] + half_diagram,90,19,71,21.111,78.889
RUN_CASE,run-3-llama,noisy_half_text[sentence] + half_diagram,90,20,70,22.222,77.778
RUN_CASE,run-3-llama,noisy_half_text[typo] + half_diagram,90,16,74,17.778,82.222
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[bg_change],90,18,72,20.0,80.0
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[blur],90,19,71,21.111,78.889
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[illumination],90,22,68,24.444,75.556
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[irr_objects],90,21,69,23.333,76.667
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[pixel_noise],90,22,68,24.444,75.556
CASE_ALL_RUNS,,full_text + full_diagram,270,61,209,22.593,77.407
CASE_ALL_RUNS,,half_text + half_diagram,270,57,213,21.111,78.889
CASE_ALL_RUNS,,noisy_text[numeric] + full_diagram,270,58,212,21.481,78.519
CASE_ALL_RUNS,,noisy_text[punctuation] + full_diagram,270,55,215,20.37,79.63
CASE_ALL_RUNS,,noisy_text[sentence] + full_diagram,270,66,204,24.444,75.556
CASE_ALL_RUNS,,noisy_text[typo] + full_diagram,270,62,208,22.963,77.037
CASE_ALL_RUNS,,full_text + noisy_diagram[bg_change],270,59,211,21.852,78.148
CASE_ALL_RUNS,,full_text + noisy_diagram[blur],270,61,209,22.593,77.407
CASE_ALL_RUNS,,full_text + noisy_diagram[illumination],270,60,210,22.222,77.778
CASE_ALL_RUNS,,full_text + noisy_diagram[irr_objects],270,67,203,24.815,75.185
CASE_ALL_RUNS,,full_text + noisy_diagram[pixel_noise],270,63,207,23.333,76.667
CASE_ALL_RUNS,,noisy_half_text[numeric] + half_diagram,270,57,213,21.111,78.889
CASE_ALL_RUNS,,noisy_half_text[punctuation] + half_diagram,270,59,211,21.852,78.148
CASE_ALL_RUNS,,noisy_half_text[sentence] + half_diagram,270,55,215,20.37,79.63
CASE_ALL_RUNS,,noisy_half_text[typo] + half_diagram,270,62,208,22.963,77.037
CASE_ALL_RUNS,,half_text + noisy_half_diagram[bg_change],270,66,204,24.444,75.556
CASE_ALL_RUNS,,half_text + noisy_half_diagram[blur],270,57,213,21.111,78.889
CASE_ALL_RUNS,,half_text + noisy_half_diagram[illumination],270,65,205,24.074,75.926
CASE_ALL_RUNS,,half_text + noisy_half_diagram[irr_objects],270,64,206,23.704,76.296
CASE_ALL_RUNS,,half_text + noisy_half_diagram[pixel_noise],270,62,208,22.963,77.037
