kind,run_folder,case_label,total,correct,wrong,accuracy_pct,wrong_pct
OVERALL,,,5400,287,5113,5.315,94.685
RUN,first run,,1800,88,1712,4.889,95.111
RUN,second run,,1800,103,1697,5.722,94.278
RUN,third run,,1800,96,1704,5.333,94.667
RUN_CASE,first run,full_text + full_diagram,90,7,83,7.778,92.222
RUN_CASE,first run,half_text + half_diagram,90,3,87,3.333,96.667
RUN_CASE,first run,noisy_text[numeric] + full_diagram,90,6,84,6.667,93.333
RUN_CASE,first run,noisy_text[punctuation] + full_diagram,90,2,88,2.222,97.778
RUN_CASE,first run,noisy_text[sentence] + full_diagram,90,4,86,4.444,95.556
RUN_CASE,first run,noisy_text[typo] + full_diagram,90,5,85,5.556,94.444
RUN_CASE,first run,full_text + noisy_diagram[bg_change],90,5,85,5.556,94.444
RUN_CASE,first run,full_text + noisy_diagram[blur],90,8,82,8.889,91.111
RUN_CASE,first run,full_text + noisy_diagram[illumination],90,4,86,4.444,95.556
RUN_CASE,first run,full_text + noisy_diagram[irr_objects],90,6,84,6.667,93.333
RUN_CASE,first run,full_text + noisy_diagram[pixel_noise],90,3,87,3.333,96.667
RUN_CASE,first run,noisy_half_text[numeric] + half_diagram,90,5,85,5.556,94.444
RUN_CASE,first run,noisy_half_text[punctuation] + half_diagram,90,3,87,3.333,96.667
RUN_CASE,first run,noisy_half_text[sentence] + half_diagram,90,4,86,4.444,95.556
RUN_CASE,first run,noisy_half_text[typo] + half_diagram,90,4,86,4.444,95.556
RUN_CASE,first run,half_text + noisy_half_diagram[bg_change],90,4,86,4.444,95.556
RUN_CASE,first run,half_text + noisy_half_diagram[blur],90,7,83,7.778,92.222
RUN_CASE,first run,half_text + noisy_half_diagram[illumination],90,2,88,2.222,97.778
RUN_CASE,first run,half_text + noisy_half_diagram[irr_objects],90,2,88,2.222,97.778
RUN_CASE,first run,half_text + noisy_half_diagram[pixel_noise],90,4,86,4.444,95.556
RUN_CASE,second run,full_text + full_diagram,90,7,83,7.778,92.222
RUN_CASE,second run,half_text + half_diagram,90,4,86,4.444,95.556
RUN_CASE,second run,noisy_text[numeric] + full_diagram,90,5,85,5.556,94.444
RUN_CASE,second run,noisy_text[punctuation] + full_diagram,90,5,85,5.556,94.444
RUN_CASE,second run,noisy_text[sentence] + full_diagram,90,7,83,7.778,92.222
RUN_CASE,second run,noisy_text[typo] + full_diagram,90,8,82,8.889,91.111
RUN_CASE,second run,full_text + noisy_diagram[bg_change],90,7,83,7.778,92.222
RUN_CASE,second run,full_text + noisy_diagram[blur],90,8,82,8.889,91.111
RUN_CASE,second run,full_text + noisy_diagram[illumination],90,4,86,4.444,95.556
RUN_CASE,second run,full_text + noisy_diagram[irr_objects],90,3,87,3.333,96.667
RUN_CASE,second run,full_text + noisy_diagram[pixel_noise],90,5,85,5.556,94.444
RUN_CASE,second run,noisy_half_text[numeric] + half_diagram,90,6,84,6.667,93.333
RUN_CASE,second run,noisy_half_text[punctuation] + half_diagram,90,4,86,4.444,95.556
RUN_CASE,second run,noisy_half_text[sentence] + half_diagram,90,5,85,5.556,94.444
RUN_CASE,second run,noisy_half_text[typo] + half_diagram,90,5,85,5.556,94.444
RUN_CASE,second run,half_text + noisy_half_diagram[bg_change],90,4,86,4.444,95.556
RUN_CASE,second run,half_text + noisy_half_diagram[blur],90,3,87,3.333,96.667
RUN_CASE,second run,half_text + noisy_half_diagram[illumination],90,3,87,3.333,96.667
RUN_CASE,second run,half_text + noisy_half_diagram[irr_objects],90,5,85,5.556,94.444
RUN_CASE,second run,half_text + noisy_half_diagram[pixel_noise],90,5,85,5.556,94.444
RUN_CASE,third run,full_text + full_diagram,90,6,84,6.667,93.333
RUN_CASE,third run,half_text + half_diagram,90,4,86,4.444,95.556
RUN_CASE,third run,noisy_text[numeric] + full_diagram,90,2,88,2.222,97.778
RUN_CASE,third run,noisy_text[punctuation] + full_diagram,90,4,86,4.444,95.556
RUN_CASE,third run,noisy_text[sentence] + full_diagram,90,5,85,5.556,94.444
RUN_CASE,third run,noisy_text[typo] + full_diagram,90,5,85,5.556,94.444
RUN_CASE,third run,full_text + noisy_diagram[bg_change],90,5,85,5.556,94.444
RUN_CASE,third run,full_text + noisy_diagram[blur],90,8,82,8.889,91.111
RUN_CASE,third run,full_text + noisy_diagram[illumination],90,5,85,5.556,94.444
RUN_CASE,third run,full_text + noisy_diagram[irr_objects],90,6,84,6.667,93.333
RUN_CASE,third run,full_text + noisy_diagram[pixel_noise],90,6,84,6.667,93.333
RUN_CASE,third run,noisy_half_text[numeric] + half_diagram,90,4,86,4.444,95.556
RUN_CASE,third run,noisy_half_text[punctuation] + half_diagram,90,5,85,5.556,94.444
RUN_CASE,third run,noisy_half_text[sentence] + half_diagram,90,4,86,4.444,95.556
RUN_CASE,third run,noisy_half_text[typo] + half_diagram,90,5,85,5.556,94.444
RUN_CASE,third run,half_text + noisy_half_diagram[bg_change],90,3,87,3.333,96.667
RUN_CASE,third run,half_text + noisy_half_diagram[blur],90,5,85,5.556,94.444
RUN_CASE,third run,half_text + noisy_half_diagram[illumination],90,4,86,4.444,95.556
RUN_CASE,third run,half_text + noisy_half_diagram[irr_objects],90,4,86,4.444,95.556
RUN_CASE,third run,half_text + noisy_half_diagram[pixel_noise],90,6,84,6.667,93.333
CASE_ALL_RUNS,,full_text + full_diagram,270,20,250,7.407,92.593
CASE_ALL_RUNS,,half_text + half_diagram,270,11,259,4.074,95.926
CASE_ALL_RUNS,,noisy_text[numeric] + full_diagram,270,13,257,4.815,95.185
CASE_ALL_RUNS,,noisy_text[punctuation] + full_diagram,270,11,259,4.074,95.926
CASE_ALL_RUNS,,noisy_text[sentence] + full_diagram,270,16,254,5.926,94.074
CASE_ALL_RUNS,,noisy_text[typo] + full_diagram,270,18,252,6.667,93.333
CASE_ALL_RUNS,,full_text + noisy_diagram[bg_change],270,17,253,6.296,93.704
CASE_ALL_RUNS,,full_text + noisy_diagram[blur],270,24,246,8.889,91.111
CASE_ALL_RUNS,,full_text + noisy_diagram[illumination],270,13,257,4.815,95.185
CASE_ALL_RUNS,,full_text + noisy_diagram[irr_objects],270,15,255,5.556,94.444
CASE_ALL_RUNS,,full_text + noisy_diagram[pixel_noise],270,14,256,5.185,94.815
CASE_ALL_RUNS,,noisy_half_text[numeric] + half_diagram,270,15,255,5.556,94.444
CASE_ALL_RUNS,,noisy_half_text[punctuation] + half_diagram,270,12,258,4.444,95.556
CASE_ALL_RUNS,,noisy_half_text[sentence] + half_diagram,270,13,257,4.815,95.185
CASE_ALL_RUNS,,noisy_half_text[typo] + half_diagram,270,14,256,5.185,94.815
CASE_ALL_RUNS,,half_text + noisy_half_diagram[bg_change],270,11,259,4.074,95.926
CASE_ALL_RUNS,,half_text + noisy_half_diagram[blur],270,15,255,5.556,94.444
CASE_ALL_RUNS,,half_text + noisy_half_diagram[illumination],270,9,261,3.333,96.667
CASE_ALL_RUNS,,half_text + noisy_half_diagram[irr_objects],270,11,259,4.074,95.926
