model,run_id,run_folder,case_label,problem_index,ground_truth,predicted,correct,status
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,1,140°,80,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,2,65°,65,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,3,55°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,4,27°,144,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,7,45°,45,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,8,3cm,6.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,9,6cm,3,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,10,72°,90,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,11,84°,90,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,14,55°,110.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,16,25°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,17,65°,65,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,20,20°,130,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,22,62°,76,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,25,65°,30,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,26,12,8.8,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,29,115°,30,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,30,60°,30,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,32,76°,74,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,34,80°,80,1,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,36,20°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,37,25°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,38,40°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,40,50°,130,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,43,40°,80,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,44,9m,10,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,45,70°,110,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,46,110°,110,1,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,48,130°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,49,100°,85,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,50,140°,130,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,53,55°,35,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,55,55°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,56,40°,60,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,57,20°,60,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,58,55°,65,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,59,50°,60,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,60,45°,45,1,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,64,40cm,10,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,72,8cm,12,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,73,140°,110,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,78,125°,35,0,OK
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,79,16cm,16,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,81,25°,25,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,84,√{3},sqrt(3),0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,86,2√{3},2,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,88,128°,62,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,95,30°,60.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,99,64°,62,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,108,8m,8,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,109,40°,130,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,112,2.4,2.4,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,run-1,full_text + full_diagram,114,\frac{1}{2}cm^{2},0.285,0,OK_AFTER_JSON_REPAIR
