problem_index,case_id,case_label,status,subject,predicate,object
1,8,full_text + noisy_diagram[illumination],OK,A,is_a,point
1,8,full_text + noisy_diagram[illumination],OK,B,is_a,point
1,8,full_text + noisy_diagram[illumination],OK,C,is_a,point
1,8,full_text + noisy_diagram[illumination],OK,D,is_a,point
1,8,full_text + noisy_diagram[illumination],OK,E,is_a,point
1,8,full_text + noisy_diagram[illumination],OK,ABC,is_a,triangle
1,8,full_text + noisy_diagram[illumination],OK,AB,is_a,segment
1,8,full_text + noisy_diagram[illumination],OK,AC,is_a,segment
1,8,full_text + noisy_diagram[illumination],OK,BC,is_a,segment
1,8,full_text + noisy_diagram[illumination],OK,DE,is_a,segment
1,8,full_text + noisy_diagram[illumination],OK,∠A,is_a,angle
1,8,full_text + noisy_diagram[illumination],OK,∠B,is_a,angle
1,8,full_text + noisy_diagram[illumination],OK,∠C,is_a,angle
1,8,full_text + noisy_diagram[illumination],OK,∠CED,is_a,angle
1,8,full_text + noisy_diagram[illumination],OK,∠A,has_measure,80_deg
1,8,full_text + noisy_diagram[illumination],OK,∠B,has_measure,60_deg
1,8,full_text + noisy_diagram[illumination],OK,D,lies_on,AB
1,8,full_text + noisy_diagram[illumination],OK,E,lies_on,AC
1,8,full_text + noisy_diagram[illumination],OK,DE,parallel_to,BC
1,8,full_text + noisy_diagram[illumination],OK,∠CED,is_a,query_target
,,,,,,
2,8,full_text + noisy_diagram[illumination],OK,A,is_a,point
2,8,full_text + noisy_diagram[illumination],OK,B,is_a,point
2,8,full_text + noisy_diagram[illumination],OK,C,is_a,point
2,8,full_text + noisy_diagram[illumination],OK,D,is_a,point
2,8,full_text + noisy_diagram[illumination],OK,E,is_a,point
2,8,full_text + noisy_diagram[illumination],OK,F,is_a,point
2,8,full_text + noisy_diagram[illumination],OK,G,is_a,point
2,8,full_text + noisy_diagram[illumination],OK,AB,is_a,segment
2,8,full_text + noisy_diagram[illumination],OK,CD,is_a,segment
2,8,full_text + noisy_diagram[illumination],OK,EF,is_a,segment
2,8,full_text + noisy_diagram[illumination],OK,EG,is_a,segment
2,8,full_text + noisy_diagram[illumination],OK,∠BEF,is_a,angle
2,8,full_text + noisy_diagram[illumination],OK,∠EFG,is_a,angle
2,8,full_text + noisy_diagram[illumination],OK,∠EGF,is_a,angle
