Per-problem table:
Problem_Index   | APS questions | Answered | Correct | Accuracy          
---------------------------------------------------------------------------
1               | 5             | 0        | 0       | 0/5 = 0.00%
2               | 6             | 0        | 0       | 0/6 = 0.00%
3               | 4             | 4        | 4       | 4/4 = 100.00%
4               | 6             | 0        | 0       | 0/6 = 0.00%
7               | 4             | 4        | 4       | 4/4 = 100.00%
8               | 3             | 0        | 0       | 0/3 = 0.00%
9               | 7             | 0        | 0       | 0/7 = 0.00%
10              | 5             | 0        | 0       | 0/5 = 0.00%
11              | 4             | 0        | 0       | 0/4 = 0.00%
14              | 5             | 5        | 5       | 5/5 = 100.00%
16              | 4             | 3        | 3       | 3/4 = 75.00%
17              | 4             | 0        | 0       | 0/4 = 0.00%
20              | 3             | 0        | 0       | 0/3 = 0.00%
22              | 5             | 0        | 0       | 0/5 = 0.00%
25              | 3             | 0        | 0       | 0/3 = 0.00%
26              | 5             | 3        | 3       | 3/5 = 60.00%
29              | 4             | 0        | 0       | 0/4 = 0.00%
30              | 2             | 0        | 0       | 0/2 = 0.00%
32              | 6             | 0        | 0       | 0/6 = 0.00%
34              | 5             | 0        | 0       | 0/5 = 0.00%
36              | 4             | 4        | 2       | 2/4 = 50.00%
37              | 4             | 0        | 0       | 0/4 = 0.00%
38              | 3             | 0        | 0       | 0/3 = 0.00%
40              | 3             | 0        | 0       | 0/3 = 0.00%
43              | 4             | 3        | 1       | 1/4 = 25.00%
44              | 4             | 3        | 2       | 2/4 = 50.00%
45              | 2             | 0        | 0       | 0/2 = 0.00%
46              | 3             | 2        | 2       | 2/3 = 66.67%
48              | 5             | 0        | 0       | 0/5 = 0.00%
49              | 5             | 3        | 3       | 3/5 = 60.00%
50              | 4             | 3        | 3       | 3/4 = 75.00%
53              | 5             | 0        | 0       | 0/5 = 0.00%
55              | 5             | 0        | 0       | 0/5 = 0.00%
56              | 5             | 4        | 4       | 4/5 = 80.00%
57              | 3             | 0        | 0       | 0/3 = 0.00%
58              | 4             | 0        | 0       | 0/4 = 0.00%
59              | 3             | 0        | 0       | 0/3 = 0.00%
60              | 3             | 0        | 0       | 0/3 = 0.00%
64              | 4             | 3        | 3       | 3/4 = 75.00%
72              | 5             | 0        | 0       | 0/5 = 0.00%
73              | 3             | 0        | 0       | 0/3 = 0.00%
78              | 3             | 0        | 0       | 0/3 = 0.00%
79              | 5             | 4        | 3       | 3/5 = 60.00%
81              | 4             | 0        | 0       | 0/4 = 0.00%
84              | 5             | 0        | 0       | 0/5 = 0.00%
86              | 4             | 0        | 0       | 0/4 = 0.00%
88              | 5             | 0        | 0       | 0/5 = 0.00%
95              | 5             | 2        | 2       | 2/5 = 40.00%
99              | 8             | 0        | 0       | 0/8 = 0.00%
108             | 4             | 0        | 0       | 0/4 = 0.00%
109             | 3             | 0        | 0       | 0/3 = 0.00%
112             | 3             | 0        | 0       | 0/3 = 0.00%
114             | 6             | 0        | 0       | 0/6 = 0.00%
115             | 2             | 1        | 1       | 1/2 = 50.00%
117             | 3             | 2        | 2       | 2/3 = 66.67%
119             | 4             | 2        | 2       | 2/4 = 50.00%
120             | 3             | 0        | 0       | 0/3 = 0.00%
123             | 4             | 0        | 0       | 0/4 = 0.00%
128             | 4             | 3        | 3       | 3/4 = 75.00%
132             | 6             | 0        | 0       | 0/6 = 0.00%
133             | 9             | 0        | 0       | 0/9 = 0.00%
149             | 6             | 0        | 0       | 0/6 = 0.00%
150             | 6             | 0        | 0       | 0/6 = 0.00%
151             | 3             | 3        | 3       | 3/3 = 100.00%
152             | 3             | 1        | 1       | 1/3 = 33.33%
153             | 6             | 2        | 2       | 2/6 = 33.33%
157             | 3             | 0        | 0       | 0/3 = 0.00%
165             | 4             | 0        | 0       | 0/4 = 0.00%
198             | 3             | 0        | 0       | 0/3 = 0.00%
207             | 3             | 0        | 0       | 0/3 = 0.00%
210             | 4             | 3        | 3       | 3/4 = 75.00%
211             | 6             | 2        | 2       | 2/6 = 33.33%
223             | 3             | 0        | 0       | 0/3 = 0.00%
239             | 6             | 0        | 0       | 0/6 = 0.00%
243             | 4             | 4        | 4       | 4/4 = 100.00%
257             | 6             | 6        | 6       | 6/6 = 100.00%
264             | 6             | 0        | 0       | 0/6 = 0.00%
281             | 4             | 0        | 0       | 0/4 = 0.00%
327             | 4             | 0        | 0       | 0/4 = 0.00%
348             | 2             | 0        | 0       | 0/2 = 0.00%
364             | 3             | 0        | 0       | 0/3 = 0.00%
365             | 2             | 0        | 0       | 0/2 = 0.00%
420             | 3             | 0        | 0       | 0/3 = 0.00%
432             | 4             | 0        | 0       | 0/4 = 0.00%
438             | 6             | 0        | 0       | 0/6 = 0.00%
441             | 3             | 0        | 0       | 0/3 = 0.00%
447             | 4             | 0        | 0       | 0/4 = 0.00%
449             | 2             | 0        | 0       | 0/2 = 0.00%
457             | 3             | 0        | 0       | 0/3 = 0.00%
472             | 4             | 0        | 0       | 0/4 = 0.00%
---------------------------------------------------------------------------
TOTAL           | 377           | 79       | 73      | 73/377 = 19.36%
