problem_index,ars_id,question,answer,reasoning,triples_used,triples_count,unique_triples_count,which_triples_used
1,Q1,What is the measure of angle A in triangle ABC?,80_deg,The measure of angle A is directly given in triple T6.,[6],1,1,T6
1,Q2,What is the measure of angle B in triangle ABC?,60_deg,The measure of angle B is directly given in triple T14.,[14],1,1,T14
1,Q3,What is the relationship between line DE and line BC?,parallel,Triple T12 states that segment DE is parallel to BC.,[12],1,1,T12
1,Q4,Where is point D located in relation to side AB?,lies_on,Triple T8 states that point D lies on side AB.,[8],1,1,T8
1,Q5,Where is point E located in relation to side AC?,lies_on,Triple T10 states that point E lies on side AC.,[10],1,1,T10
2,Q1,What is the relationship between lines AB and CD?,parallel,Triple T4 states that AB is parallel to CD.,[4],1,1,T4
2,Q2,What is the measure of angle EFG in degrees?,,The measure of angle EFG cannot be determined from the given triples.,[],0,0,
2,Q3,Does line EG bisect angle BEF?,Yes,Triple T13 states that EG bisects angle BEF.,[13],1,1,T13
2,Q4,At what point does line EF intersect line AB?,EF intersects AB,Triple T9 states that EF intersects AB.,[9],1,1,T9
2,Q5,At what point does line EF intersect line CD?,EF intersects CD,Triple T10 states that EF intersects CD.,[10],1,1,T10
2,Q6,At what point does line EG intersect line CD?,,The point at which line EG intersects line CD is not specified in the triples.,[],0,0,
3,Q1,What is the measure of angle BCD?,70 degrees,The measure of angle BCD is directly given in triple T16.,[16],1,1,T16
3,Q2,What is the relationship between line segment CD and line segment AB?,parallel,Triple T15 states that CD is parallel to AB.,[15],1,1,T15
3,Q3,What does the line segment BD do to angle ABC?,bisects,Triple T14 states that BD bisects angle ABC.,[14],1,1,T14
3,Q4,At which point do line segments BC and BA intersect?,B,Triple T11 states that line segments BC and BA intersect at point B.,[11],1,1,T11
4,Q1,What is the measure of angle A in degrees?,36,The measure of angle A is directly given as 36 degrees in triple T12.,[12],1,1,T12
4,Q2,What is the relationship between line AB and circle O at point B?,tangent,Triple T9 states that AB is tangent to circle O.,[9],1,1,T9
4,Q3,What point does the extended line of AO intersect on circle O?,C,Triple T11 states that AO intersects circle O at point C.,[11],1,1,T11
4,Q4,What is the center point of the circle labeled in the diagram?,O,Triple T16 states that circle O has center O.,[16],1,1,T16
4,Q5,Is point B located on the circle?,null,The triples do not provide information about whether point B is located on the circle.,[],0,0,
4,Q6,Is point C located on the circle?,yes,"Triple T11 states that AO intersects circle O at point C, implying that point C is on the circle.",[11],1,1,T11
7,Q1,What is the measure of angle B in triangle ABC?,70_deg,The measure of angle B is explicitly given in triple T13.,[13],1,1,T13
7,Q2,What is the measure of angle C in triangle ABC?,30_deg,The measure of angle C is explicitly given in triple T14.,[14],1,1,T14
7,Q3,What is the measure of angle DAC in triangle ADE?,,The measure of angle DAC is not provided in the perception triples.,[],0,0,
7,Q4,What is the stated relationship between triangle ABC and triangle ADE?,congruent,The relationship between triangle ABC and triangle ADE is explicitly given in triple T8.,[8],1,1,T8
8,Q1,What is the length of BC?,,The length of BC is not provided in the perception triples.,[],0,0,
