problem_index,case_id,case_label,status,subject,predicate,object
1,16,half_text + noisy_half_diagram[bg_change],OK,A,is_a,point
1,16,half_text + noisy_half_diagram[bg_change],OK,B,is_a,point
1,16,half_text + noisy_half_diagram[bg_change],OK,C,is_a,point
1,16,half_text + noisy_half_diagram[bg_change],OK,∠AOB,is_a,angle
1,16,half_text + noisy_half_diagram[bg_change],OK,∠ABC,has_measure,60_deg
1,16,half_text + noisy_half_diagram[bg_change],OK,∠BAC,has_measure,80_deg
1,16,half_text + noisy_half_diagram[bg_change],OK,AB,is_a,segment
1,16,half_text + noisy_half_diagram[bg_change],OK,BC,is_a,segment
1,16,half_text + noisy_half_diagram[bg_change],OK,AC,is_a,segment
1,16,half_text + noisy_half_diagram[bg_change],OK,D,lies_on,AB
1,16,half_text + noisy_half_diagram[bg_change],OK,E,lies_on,AC
1,16,half_text + noisy_half_diagram[bg_change],OK,DE,parallel_to,BC
,,,,,,
2,16,half_text + noisy_half_diagram[bg_change],OK,A,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,B,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,C,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,D,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,E,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,F,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,G,is_a,point
2,16,half_text + noisy_half_diagram[bg_change],OK,AB,is_a,segment
2,16,half_text + noisy_half_diagram[bg_change],OK,CD,is_a,segment
2,16,half_text + noisy_half_diagram[bg_change],OK,EF,is_a,segment
2,16,half_text + noisy_half_diagram[bg_change],OK,∠AOB,is_a,angle
2,16,half_text + noisy_half_diagram[bg_change],OK,∠EGF,has_measure,50_deg
2,16,half_text + noisy_half_diagram[bg_change],OK,AB,intersects,EF
2,16,half_text + noisy_half_diagram[bg_change],OK,EF,intersects,CD
2,16,half_text + noisy_half_diagram[bg_change],OK,CD,intersects,G
,,,,,,
3,16,half_text + noisy_half_diagram[bg_change],OK,∠AOB,has_measure,70_deg
3,16,half_text + noisy_half_diagram[bg_change],OK,BC,intersects,AB
3,16,half_text + noisy_half_diagram[bg_change],OK,BD,bisects,∠AOB
3,16,half_text + noisy_half_diagram[bg_change],OK,CD,parallel_to,AB
,,,,,,
4,16,half_text + noisy_half_diagram[bg_change],OK,AB,tangent_to,O
4,16,half_text + noisy_half_diagram[bg_change],OK,B,is_a,point
4,16,half_text + noisy_half_diagram[bg_change],OK,O,is_a,circle
4,16,half_text + noisy_half_diagram[bg_change],OK,∠AOB,has_measure,36_deg
4,16,half_text + noisy_half_diagram[bg_change],OK,AO,intersects,O
4,16,half_text + noisy_half_diagram[bg_change],OK,C,is_a,point
4,16,half_text + noisy_half_diagram[bg_change],OK,BC,intersects,O
,,,,,,
7,16,half_text + noisy_half_diagram[bg_change],OK,A,is_a,point
7,16,half_text + noisy_half_diagram[bg_change],OK,B,is_a,point
7,16,half_text + noisy_half_diagram[bg_change],OK,C,is_a,point
7,16,half_text + noisy_half_diagram[bg_change],OK,D,is_a,point
7,16,half_text + noisy_half_diagram[bg_change],OK,AB,is_a,segment
7,16,half_text + noisy_half_diagram[bg_change],OK,AC,is_a,segment
7,16,half_text + noisy_half_diagram[bg_change],OK,BC,is_a,segment
7,16,half_text + noisy_half_diagram[bg_change],OK,AD,is_a,segment
7,16,half_text + noisy_half_diagram[bg_change],OK,BD,is_a,segment
7,16,half_text + noisy_half_diagram[bg_change],OK,CD,is_a,segment
7,16,half_text + noisy_half_diagram[bg_change],OK,∠BAC,has_measure,70_deg
7,16,half_text + noisy_half_diagram[bg_change],OK,∠ABC,has_measure,30_deg
7,16,half_text + noisy_half_diagram[bg_change],OK,∠ACB,has_measure,30_deg
