problem_index,case_id,case_label,status,subject,predicate,object
1,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,A,has_measure,80_deg
1,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,B,has_measure,60_deg
1,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,D,lies_on,AB
1,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,E,lies_on,AC
1,4,noisy_text[sentence] + full_diagram,OK,DE,is_a,segment
1,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
1,4,noisy_text[sentence] + full_diagram,OK,DE,parallel_to,BC
,,,,,,
2,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,F,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,G,is_a,point
2,4,noisy_text[sentence] + full_diagram,OK,AE,is_a,line
2,4,noisy_text[sentence] + full_diagram,OK,CD,is_a,line
2,4,noisy_text[sentence] + full_diagram,OK,EF,is_a,line
2,4,noisy_text[sentence] + full_diagram,OK,EG,is_a,line
2,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,line
2,4,noisy_text[sentence] + full_diagram,OK,∠EFG,has_measure,50_deg
2,4,noisy_text[sentence] + full_diagram,OK,AB,parallel_to,CD
2,4,noisy_text[sentence] + full_diagram,OK,EF,intersects,AB
2,4,noisy_text[sentence] + full_diagram,OK,EF,intersects,CD
2,4,noisy_text[sentence] + full_diagram,OK,EG,intersects,CD
2,4,noisy_text[sentence] + full_diagram,OK,EG,bisects,∠BEF
,,,,,,
3,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
3,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
3,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
3,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
3,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,line
3,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,line
3,4,noisy_text[sentence] + full_diagram,OK,BD,is_a,line
3,4,noisy_text[sentence] + full_diagram,OK,CD,is_a,line
3,4,noisy_text[sentence] + full_diagram,OK,∠ABC,is_a,angle
3,4,noisy_text[sentence] + full_diagram,OK,∠BCD,is_a,angle
3,4,noisy_text[sentence] + full_diagram,OK,∠CDB,is_a,angle
3,4,noisy_text[sentence] + full_diagram,OK,BD,intersects,AC
3,4,noisy_text[sentence] + full_diagram,OK,BC,lies_on,B
3,4,noisy_text[sentence] + full_diagram,OK,BA,lies_on,B
3,4,noisy_text[sentence] + full_diagram,OK,CD,parallel_to,AB
3,4,noisy_text[sentence] + full_diagram,OK,∠BCD,has_measure,70_deg
,,,,,,
4,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
4,4,noisy_text[sentence] + full_diagram,OK,O,is_a,point
4,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
4,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
4,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
4,4,noisy_text[sentence] + full_diagram,OK,∠AOB,is_a,angle
4,4,noisy_text[sentence] + full_diagram,OK,∠OCB,is_a,angle
4,4,noisy_text[sentence] + full_diagram,OK,AB,tangent_to,circle O
4,4,noisy_text[sentence] + full_diagram,OK,B,lies_on,AB
4,4,noisy_text[sentence] + full_diagram,OK,B,lies_on,circle O
4,4,noisy_text[sentence] + full_diagram,OK,O,center_of,circle O
4,4,noisy_text[sentence] + full_diagram,OK,A,lies_on,line AO
4,4,noisy_text[sentence] + full_diagram,OK,C,lies_on,line AO
4,4,noisy_text[sentence] + full_diagram,OK,C,lies_on,circle O
4,4,noisy_text[sentence] + full_diagram,OK,∠A,has_measure,36_deg
,,,,,,
7,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,∠B,is_a,angle
7,4,noisy_text[sentence] + full_diagram,OK,∠C,is_a,angle
7,4,noisy_text[sentence] + full_diagram,OK,∠DAC,is_a,angle
7,4,noisy_text[sentence] + full_diagram,OK,∠EAC,is_a,angle
7,4,noisy_text[sentence] + full_diagram,OK,∠B,has_measure,70_deg
7,4,noisy_text[sentence] + full_diagram,OK,∠C,has_measure,30_deg
7,4,noisy_text[sentence] + full_diagram,OK,∠DAC,has_measure,35_deg
7,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
7,4,noisy_text[sentence] + full_diagram,OK,AC,is_a,segment
7,4,noisy_text[sentence] + full_diagram,OK,AD,is_a,segment
7,4,noisy_text[sentence] + full_diagram,OK,AE,is_a,segment
7,4,noisy_text[sentence] + full_diagram,OK,∠ABC,is_a,angle
7,4,noisy_text[sentence] + full_diagram,OK,ABC,is_a,triangle
7,4,noisy_text[sentence] + full_diagram,OK,ADE,is_a,triangle
7,4,noisy_text[sentence] + full_diagram,OK,ABC,lies_on,point_A
7,4,noisy_text[sentence] + full_diagram,OK,ABC,lies_on,point_B
7,4,noisy_text[sentence] + full_diagram,OK,ABC,lies_on,point_C
7,4,noisy_text[sentence] + full_diagram,OK,ADE,lies_on,point_A
7,4,noisy_text[sentence] + full_diagram,OK,ADE,lies_on,point_D
7,4,noisy_text[sentence] + full_diagram,OK,ADE,lies_on,point_E
7,4,noisy_text[sentence] + full_diagram,OK,ABC,is_congruent_to,ADE
,,,,,,
8,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,F,is_a,point
8,4,noisy_text[sentence] + full_diagram,OK,A,lies_on,line
8,4,noisy_text[sentence] + full_diagram,OK,B,lies_on,line
8,4,noisy_text[sentence] + full_diagram,OK,C,lies_on,line
8,4,noisy_text[sentence] + full_diagram,OK,D,lies_on,line
8,4,noisy_text[sentence] + full_diagram,OK,E,lies_on,line
8,4,noisy_text[sentence] + full_diagram,OK,F,lies_on,line
8,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
8,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
8,4,noisy_text[sentence] + full_diagram,OK,CF,is_a,segment
8,4,noisy_text[sentence] + full_diagram,OK,EC,is_a,segment
8,4,noisy_text[sentence] + full_diagram,OK,BE,is_a,segment
8,4,noisy_text[sentence] + full_diagram,OK,EF,is_a,segment
8,4,noisy_text[sentence] + full_diagram,OK,ABC,is_a,triangle
8,4,noisy_text[sentence] + full_diagram,OK,DEF,is_a,triangle
8,4,noisy_text[sentence] + full_diagram,OK,ABC,congruent_to,DEF
8,4,noisy_text[sentence] + full_diagram,OK,A,corresponds_to,D
8,4,noisy_text[sentence] + full_diagram,OK,B,corresponds_to,E
8,4,noisy_text[sentence] + full_diagram,OK,∠ABC,is_a,angle
8,4,noisy_text[sentence] + full_diagram,OK,∠DEF,is_a,angle
8,4,noisy_text[sentence] + full_diagram,OK,BC,has_measure,5.0
8,4,noisy_text[sentence] + full_diagram,OK,BF,has_measure,7.0
8,4,noisy_text[sentence] + full_diagram,OK,EC,has_measure,?
,,,,,,
9,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
9,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
9,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
9,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
9,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
9,4,noisy_text[sentence] + full_diagram,OK,AC,is_a,segment
9,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
9,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
9,4,noisy_text[sentence] + full_diagram,OK,AD,is_a,segment
9,4,noisy_text[sentence] + full_diagram,OK,DE,is_a,segment
9,4,noisy_text[sentence] + full_diagram,OK,∠C,is_a,angle
9,4,noisy_text[sentence] + full_diagram,OK,∠CAB,is_a,angle
9,4,noisy_text[sentence] + full_diagram,OK,∠CAD,is_a,angle
9,4,noisy_text[sentence] + full_diagram,OK,∠DAE,is_a,angle
9,4,noisy_text[sentence] + full_diagram,OK,∠DEB,is_a,angle
9,4,noisy_text[sentence] + full_diagram,OK,∠C = 90°,has_measure,angle
9,4,noisy_text[sentence] + full_diagram,OK,AC = BC,has_measure,segment
9,4,noisy_text[sentence] + full_diagram,OK,AD,intersects,BC
9,4,noisy_text[sentence] + full_diagram,OK,AD,lies_on,line
9,4,noisy_text[sentence] + full_diagram,OK,DE,intersects,AB
9,4,noisy_text[sentence] + full_diagram,OK,DE,perpendicular_to,AB
9,4,noisy_text[sentence] + full_diagram,OK,AB,has_measure,6.0_units
9,4,noisy_text[sentence] + full_diagram,OK,AC,has_measure,?
9,4,noisy_text[sentence] + full_diagram,OK,BC,has_measure,?
9,4,noisy_text[sentence] + full_diagram,OK,CD,has_measure,?
9,4,noisy_text[sentence] + full_diagram,OK,DB,has_measure,?
9,4,noisy_text[sentence] + full_diagram,OK,BE,has_measure,?
9,4,noisy_text[sentence] + full_diagram,OK,DE,has_measure,?
9,4,noisy_text[sentence] + full_diagram,OK,CE,has_measure,?
,,,,,,
10,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
10,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
10,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
