Per-problem table:
Problem_Index   | APS questions | Answered | Correct | Accuracy          
---------------------------------------------------------------------------
1               | 5             | 3        | 3       | 3/5 = 60.00%
2               | 6             | 2        | 0       | 0/6 = 0.00%
3               | 4             | 3        | 1       | 1/4 = 25.00%
4               | 6             | 2        | 2       | 2/6 = 33.33%
7               | 4             | 2        | 0       | 0/4 = 0.00%
8               | 3             | 0        | 0       | 0/3 = 0.00%
9               | 7             | 5        | 1       | 1/7 = 14.29%
10              | 5             | 1        | 0       | 0/5 = 0.00%
11              | 4             | 2        | 1       | 1/4 = 25.00%
14              | 5             | 1        | 1       | 1/5 = 20.00%
16              | 4             | 3        | 3       | 3/4 = 75.00%
17              | 4             | 1        | 0       | 0/4 = 0.00%
20              | 3             | 1        | 1       | 1/3 = 33.33%
22              | 5             | 2        | 2       | 2/5 = 40.00%
25              | 3             | 0        | 0       | 0/3 = 0.00%
26              | 5             | 1        | 1       | 1/5 = 20.00%
29              | 4             | 0        | 0       | 0/4 = 0.00%
30              | 2             | 0        | 0       | 0/2 = 0.00%
32              | 6             | 4        | 1       | 1/6 = 16.67%
34              | 5             | 2        | 0       | 0/5 = 0.00%
36              | 4             | 1        | 0       | 0/4 = 0.00%
37              | 4             | 2        | 1       | 1/4 = 25.00%
38              | 3             | 2        | 1       | 1/3 = 33.33%
40              | 3             | 2        | 1       | 1/3 = 33.33%
43              | 4             | 1        | 0       | 0/4 = 0.00%
44              | 4             | 1        | 1       | 1/4 = 25.00%
45              | 2             | 0        | 0       | 0/2 = 0.00%
46              | 3             | 1        | 1       | 1/3 = 33.33%
48              | 5             | 4        | 4       | 4/5 = 80.00%
49              | 5             | 1        | 1       | 1/5 = 20.00%
50              | 4             | 3        | 1       | 1/4 = 25.00%
53              | 5             | 0        | 0       | 0/5 = 0.00%
55              | 5             | 3        | 2       | 2/5 = 40.00%
56              | 5             | 1        | 1       | 1/5 = 20.00%
57              | 3             | 1        | 1       | 1/3 = 33.33%
58              | 4             | 3        | 3       | 3/4 = 75.00%
59              | 3             | 2        | 2       | 2/3 = 66.67%
60              | 3             | 0        | 0       | 0/3 = 0.00%
64              | 4             | 2        | 2       | 2/4 = 50.00%
72              | 5             | 3        | 2       | 2/5 = 40.00%
73              | 3             | 1        | 0       | 0/3 = 0.00%
78              | 3             | 0        | 0       | 0/3 = 0.00%
79              | 5             | 1        | 1       | 1/5 = 20.00%
81              | 4             | 3        | 3       | 3/4 = 75.00%
84              | 5             | 1        | 1       | 1/5 = 20.00%
86              | 4             | 4        | 1       | 1/4 = 25.00%
88              | 5             | 1        | 1       | 1/5 = 20.00%
95              | 5             | 1        | 0       | 0/5 = 0.00%
99              | 8             | 4        | 3       | 3/8 = 37.50%
108             | 4             | 2        | 0       | 0/4 = 0.00%
109             | 3             | 0        | 0       | 0/3 = 0.00%
112             | 3             | 1        | 1       | 1/3 = 33.33%
114             | 6             | 4        | 3       | 3/6 = 50.00%
115             | 2             | 0        | 0       | 0/2 = 0.00%
117             | 3             | 2        | 2       | 2/3 = 66.67%
119             | 4             | 3        | 2       | 2/4 = 50.00%
120             | 3             | 1        | 1       | 1/3 = 33.33%
123             | 4             | 2        | 2       | 2/4 = 50.00%
128             | 4             | 4        | 3       | 3/4 = 75.00%
132             | 6             | 4        | 2       | 2/6 = 33.33%
133             | 9             | 1        | 1       | 1/9 = 11.11%
149             | 6             | 4        | 2       | 2/6 = 33.33%
150             | 6             | 4        | 3       | 3/6 = 50.00%
151             | 3             | 3        | 2       | 2/3 = 66.67%
152             | 3             | 2        | 0       | 0/3 = 0.00%
153             | 6             | 3        | 3       | 3/6 = 50.00%
157             | 3             | 3        | 3       | 3/3 = 100.00%
165             | 4             | 2        | 2       | 2/4 = 50.00%
198             | 3             | 1        | 0       | 0/3 = 0.00%
207             | 3             | 3        | 0       | 0/3 = 0.00%
210             | 4             | 2        | 2       | 2/4 = 50.00%
211             | 6             | 3        | 3       | 3/6 = 50.00%
223             | 3             | 0        | 0       | 0/3 = 0.00%
239             | 6             | 2        | 2       | 2/6 = 33.33%
243             | 4             | 2        | 0       | 0/4 = 0.00%
257             | 6             | 3        | 3       | 3/6 = 50.00%
264             | 6             | 1        | 0       | 0/6 = 0.00%
281             | 4             | 3        | 1       | 1/4 = 25.00%
327             | 4             | 3        | 0       | 0/4 = 0.00%
348             | 2             | 0        | 0       | 0/2 = 0.00%
364             | 3             | 2        | 1       | 1/3 = 33.33%
365             | 2             | 1        | 1       | 1/2 = 50.00%
420             | 3             | 1        | 1       | 1/3 = 33.33%
432             | 4             | 2        | 1       | 1/4 = 25.00%
438             | 6             | 2        | 1       | 1/6 = 16.67%
441             | 3             | 0        | 0       | 0/3 = 0.00%
447             | 4             | 0        | 0       | 0/4 = 0.00%
449             | 2             | 0        | 0       | 0/2 = 0.00%
457             | 3             | 3        | 2       | 2/3 = 66.67%
472             | 4             | 4        | 2       | 2/4 = 50.00%
---------------------------------------------------------------------------
TOTAL           | 377           | 167      | 103     | 103/377 = 27.32%
