run_folder,case_label,problem_index,ground_truth,predicted,correct,status
run-1-llama,full_text + full_diagram,1,140°,80 degrees,0,OK
run-1-llama,full_text + full_diagram,2,65°,50 degrees,0,OK
run-1-llama,full_text + full_diagram,3,55°,70 degrees,0,OK
run-1-llama,full_text + full_diagram,4,27°,36 degrees,0,OK
run-1-llama,full_text + full_diagram,7,45°,35 degrees,0,OK
run-1-llama,full_text + full_diagram,8,3cm,5.0,0,OK
run-1-llama,full_text + full_diagram,9,6cm,Cannot be determined,0,OK
run-1-llama,full_text + full_diagram,10,72°,36_deg,0,OK
run-1-llama,full_text + full_diagram,11,84°,60_deg,0,OK
run-1-llama,full_text + full_diagram,14,55°,35 degrees,0,OK
run-1-llama,full_text + full_diagram,16,25°,50 degrees,0,OK
run-1-llama,full_text + full_diagram,17,65°,42_deg,0,OK
run-1-llama,full_text + full_diagram,20,20°,140 degrees,0,OK
run-1-llama,full_text + full_diagram,22,62°,28 degrees,0,OK
run-1-llama,full_text + full_diagram,25,65°,50 degrees,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,26,12,22,0,OK
run-1-llama,full_text + full_diagram,29,115°,50 degrees,0,OK
run-1-llama,full_text + full_diagram,30,60°,30_deg,0,OK
run-1-llama,full_text + full_diagram,32,76°,52 degrees,0,OK
run-1-llama,full_text + full_diagram,34,80°,100 degrees,0,OK
run-1-llama,full_text + full_diagram,36,20°,0.00,0,OK
run-1-llama,full_text + full_diagram,37,25°,50 degrees,0,OK
run-1-llama,full_text + full_diagram,38,40°,Cannot be determined,0,OK
run-1-llama,full_text + full_diagram,40,50°,50 degrees,1,OK
run-1-llama,full_text + full_diagram,43,40°,30_deg,0,OK
run-1-llama,full_text + full_diagram,44,9m,30_units,0,OK
run-1-llama,full_text + full_diagram,45,70°,35 degrees,0,OK
run-1-llama,full_text + full_diagram,46,110°,70 degrees,0,OK
run-1-llama,full_text + full_diagram,48,130°,100_deg,0,OK
run-1-llama,full_text + full_diagram,49,100°,35,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,50,140°,50 degrees,0,OK
run-1-llama,full_text + full_diagram,53,55°,BFD,0,OK
run-1-llama,full_text + full_diagram,55,55°,3,0,OK
run-1-llama,full_text + full_diagram,56,40°,20,0,OK
run-1-llama,full_text + full_diagram,57,20°,20,1,OK
run-1-llama,full_text + full_diagram,58,55°,35,0,OK
run-1-llama,full_text + full_diagram,59,50°,80 degrees,0,OK
run-1-llama,full_text + full_diagram,60,45°,135_deg,0,OK
run-1-llama,full_text + full_diagram,64,40cm,200,0,OK
run-1-llama,full_text + full_diagram,72,8cm,16,0,OK
run-1-llama,full_text + full_diagram,73,140°,70 degrees,0,OK
run-1-llama,full_text + full_diagram,78,125°,70,0,OK
run-1-llama,full_text + full_diagram,79,16cm,32,0,OK
run-1-llama,full_text + full_diagram,81,25°,50,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,84,√{3},1.0,0,OK
run-1-llama,full_text + full_diagram,86,2√{3},2,0,OK
run-1-llama,full_text + full_diagram,88,128°,42 degrees,0,OK
run-1-llama,full_text + full_diagram,95,30°,90 degrees,0,OK
run-1-llama,full_text + full_diagram,99,64°,26_deg,0,OK
run-1-llama,full_text + full_diagram,108,8m,8 units,1,OK
run-1-llama,full_text + full_diagram,109,40°,130,0,OK
run-1-llama,full_text + full_diagram,112,2.4,2.5_units,0,OK
run-1-llama,full_text + full_diagram,114,\frac{1}{2}cm^{2},π/4,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,115,4πcm,36 units,0,OK
run-1-llama,full_text + full_diagram,117,2√{2}cm,Cannot be determined,0,OK
run-1-llama,full_text + full_diagram,119,240cm^{2},0,0,OK
run-1-llama,full_text + full_diagram,120,9πcm^{2},21π,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,123,15π,15π,1,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,128,4cm,6,0,OK
run-1-llama,full_text + full_diagram,132,10.2m,0.6 units,0,OK
run-1-llama,full_text + full_diagram,133,120m,60.0_m,0,OK
run-1-llama,full_text + full_diagram,149,\frac{20}{3},14,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,150,\frac{40}{7}m,7/3,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,151,5.1,1.7 units,0,OK
run-1-llama,full_text + full_diagram,152,4m,2.1,0,OK
run-1-llama,full_text + full_diagram,153,1.5m,Unknown,0,OK
run-1-llama,full_text + full_diagram,157,\frac{3}{5},4/5,0,OK
run-1-llama,full_text + full_diagram,165,\frac{√{3}}{2},sin(B) = 1/2,0,OK
run-1-llama,full_text + full_diagram,198,60,65 square units,0,OK
run-1-llama,full_text + full_diagram,207,157.1,94.2,0,OK_AFTER_JSON_REPAIR
