problem_index,case_id,case_label,status,subject,predicate,object
1,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,DE,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,AB
1,19,half_text + noisy_half_diagram[irr_objects],OK,E,lies_on,AC
1,19,half_text + noisy_half_diagram[irr_objects],OK,DE,parallel_to,BC
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,has_measure,60_deg
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAC,has_measure,80_deg
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠CED,is_a,angle
,,,,,,
2,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,G,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,line
2,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,line
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,is_a,line
2,19,half_text + noisy_half_diagram[irr_objects],OK,EG,is_a,line
2,19,half_text + noisy_half_diagram[irr_objects],OK,AB,parallel_to,CD
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,intersects,AB
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,intersects,CD
2,19,half_text + noisy_half_diagram[irr_objects],OK,EG,intersects,CD
2,19,half_text + noisy_half_diagram[irr_objects],OK,EG,lies_on,EF
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠EFG,has_measure,50_deg
2,19,half_text + noisy_half_diagram[irr_objects],OK,EG,is_a,"bisector_of, ∠BEF"
,,,,,,
3,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,line
3,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,line
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,line
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,line
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,is_a,angle
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠CDB,is_a,angle
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,AC
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,CD
3,19,half_text + noisy_half_diagram[irr_objects],OK,BC,intersects,BA
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,bisects,∠ABC
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,parallel_to,AB
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠DBC,has_measure,70_deg
,,,,,,
4,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
4,19,half_text + noisy_half_diagram[irr_objects],OK,AO,is_a,segment
4,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
4,19,half_text + noisy_half_diagram[irr_objects],OK,∠A,is_a,angle
4,19,half_text + noisy_half_diagram[irr_objects],OK,∠A,has_measure,36_deg
4,19,half_text + noisy_half_diagram[irr_objects],OK,AB,tangent_to,circle O
4,19,half_text + noisy_half_diagram[irr_objects],OK,B,lies_on,circle O
4,19,half_text + noisy_half_diagram[irr_objects],OK,AO,intersects,circle O
4,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,circle O
,,,,,,
7,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠EAC,is_a,angle
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠B,has_measure,70_deg
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,has_measure,30_deg
7,19,half_text + noisy_half_diagram[irr_objects],OK,E,has_measure,
7,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,isuent_to,ADE
7,19,half_text + noisy_half_diagram[irr_objects],OK,A,lies_on,"A, lies_on, ABC"
,,,,,,
8,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,BE,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,EF,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,B,lies_on,BF
8,19,half_text + noisy_half_diagram[irr_objects],OK,E,lies_on,"BF, lies_on, BF, lies_on, BC, lies_on, EF"
8,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,BC
8,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,EF
8,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_congruent_to,DEF
,,,,,,
9,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,DE,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,is_a,angle
9,19,half_text + noisy_half_diagram[irr_objects],OK,∠CAB,is_a,angle
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,has_measure,?
9,19,half_text + noisy_half_diagram[irr_objects],OK,BC,has_measure,?
9,19,half_text + noisy_half_diagram[irr_objects],OK,AB,has_measure,6.0_units
9,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,has_measure,90_deg
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,?
9,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,?
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,equals,BC
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,has_measure,BC
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,intersects,BC
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,lies_on,?
9,19,half_text + noisy_half_diagram[irr_objects],OK,DE,perpendicular_to,AB
9,19,half_text + noisy_half_diagram[irr_objects],OK,DE,lies_on,?
9,19,half_text + noisy_half_diagram[irr_objects],OK,triangle ABC,has_property,right_angled
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,is_a,"bisector_of, ∠CAB"
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,bisects,∠CAB
,,,,,,
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,has_measure,?
10,19,half_text + noisy_half_diagram[irr_objects],OK,AC,has_measure,?
10,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAC,has_measure,36_deg
10,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,AC
10,19,half_text + noisy_half_diagram[irr_objects],OK,E,lies_on,AB
10,19,half_text + noisy_half_diagram[irr_objects],OK,DE,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,DE,perpendicular_to,AB
10,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,equals,AC
10,19,half_text + noisy_half_diagram[irr_objects],OK,DE,intersects,AB
10,19,half_text + noisy_half_diagram[irr_objects],OK,DE,intersects,AC
10,19,half_text + noisy_half_diagram[irr_objects],OK,∠A,has_measure,36_deg
,,,,,,
11,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,DE,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,EA,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,AD,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,AF,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,BF,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,CF,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,has_measure,36_deg
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAE,has_measure,60_deg
11,19,half_text + noisy_half_diagram[irr_objects],OK,Triangle ABC,is_rotated_about,point A
11,19,half_text + noisy_half_diagram[irr_objects],OK,Triangle ABC,rotated_to,Triangle AED
11,19,half_text + noisy_half_diagram[irr_objects],OK,Rotation,is_a,anticlockwise
,,,,,,
14,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
14,19,half_text + noisy_half_diagram[irr_objects],OK,AO,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,OB,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,OC,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
14,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOC,is_a,angle
14,19,half_text + noisy_half_diagram[irr_objects],OK,∠BOC,is_a,angle
14,19,half_text + noisy_half_diagram[irr_objects],OK,∠OAB,has_measure,35_deg
14,19,half_text + noisy_half_diagram[irr_objects],OK,O,center_of,circle
14,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,lies_on,circle
14,19,half_text + noisy_half_diagram[irr_objects],OK,A,lies_on,circle
14,19,half_text + noisy_half_diagram[irr_objects],OK,B,lies_on,circle
14,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,circle
14,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,triangle
,,,,,,
16,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
16,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,chord
16,19,half_text + noisy_half_diagram[irr_objects],OK,OB,is_a,radius
16,19,half_text + noisy_half_diagram[irr_objects],OK,BOC,is_a,angle
16,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_parallel_to,OB
16,19,half_text + noisy_half_diagram[irr_objects],OK,BOC,has_measure,50_deg
16,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,"center_of, circle"
,,,,,,
17,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,ABCD,is_a,parallelogram
17,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,diagonal
17,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,diagonal
17,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,AO,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,OC,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,BO,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,OD,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAC,has_measure,42_deg
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠CBD,has_measure,23_deg
,,,,,,
20,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
20,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
20,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
20,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
20,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
20,19,half_text + noisy_half_diagram[irr_objects],OK,OD,is_a,segment
20,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,"diameter_of, circle O"
20,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,"center_of, circle"
20,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,circle
20,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,circle
20,19,half_text + noisy_half_diagram[irr_objects],OK,angle DOB,has_measure,140_deg
20,19,half_text + noisy_half_diagram[irr_objects],OK,AB,diameter_of,circle O
20,19,half_text + noisy_half_diagram[irr_objects],OK,O,center_of,circle
,,,,,,
22,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,M,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,N,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,AM,is_a,segment
22,19,half_text + noisy_half_diagram[irr_objects],OK,CN,is_a,segment
22,19,half_text + noisy_half_diagram[irr_objects],OK,MN,is_a,segment
22,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
22,19,half_text + noisy_half_diagram[irr_objects],OK,BO,is_a,segment
22,19,half_text + noisy_half_diagram[irr_objects],OK,ABCD,is_a,diamond
22,19,half_text + noisy_half_diagram[irr_objects],OK,M,lies_on,AB
22,19,half_text + noisy_half_diagram[irr_objects],OK,N,lies_on,CD
22,19,half_text + noisy_half_diagram[irr_objects],OK,AM,has_measure,?
22,19,half_text + noisy_half_diagram[irr_objects],OK,CN,has_measure,?
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAC,has_measure,?
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠OBC,has_measure,?
22,19,half_text + noisy_half_diagram[irr_objects],OK,AM,equals,CN
22,19,half_text + noisy_half_diagram[irr_objects],OK,MN,intersects,AC
22,19,half_text + noisy_half_diagram[irr_objects],OK,MN,intersects,BO
22,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,BO
22,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
22,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠A,has_measure,28_deg
