problem_index,case_id,case_label,status,subject,predicate,object
1,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,60_deg
1,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,has_measure,80_deg
1,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
1,19,half_text + noisy_half_diagram[irr_objects],OK,DE,parallel_to,BC
,,,,,,
2,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,G,is_a,point
2,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,is_a,segment
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
2,19,half_text + noisy_half_diagram[irr_objects],OK,∠EFG,has_measure,50_deg
2,19,half_text + noisy_half_diagram[irr_objects],OK,CD,intersects,AB
2,19,half_text + noisy_half_diagram[irr_objects],OK,EF,intersects,CD
2,19,half_text + noisy_half_diagram[irr_objects],OK,CD,parallel_to,AB
,,,,,,
3,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
3,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,has_measure,180_deg
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,is_a,angle
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,intersects,BC
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,intersects,AB
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,"AB, at, B"
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,"BC, at, B"
3,19,half_text + noisy_half_diagram[irr_objects],OK,BD,bisects,∠ABC
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,parallel_to,AB
3,19,half_text + noisy_half_diagram[irr_objects],OK,CD,intersects,"BC, at, C"
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠CBD,has_measure,70_deg
3,19,half_text + noisy_half_diagram[irr_objects],OK,∠CBD,is_a,angle
,,,,,,
4,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,36_deg
4,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
4,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
4,19,half_text + noisy_half_diagram[irr_objects],OK,AO,intersects,circle_O
4,19,half_text + noisy_half_diagram[irr_objects],OK,BC,intersects,circle_O
,,,,,,
7,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
7,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAC,is_a,angle
7,19,half_text + noisy_half_diagram[irr_objects],OK,30,has_measure,∠BAC
7,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,triangle
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,is_a,angle
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠ACB,is_a,angle
7,19,half_text + noisy_half_diagram[irr_objects],OK,ADE,is_a,triangle
7,19,half_text + noisy_half_diagram[irr_objects],OK,AB,intersects,DE
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAB,is_a,angle
7,19,half_text + noisy_half_diagram[irr_objects],OK,35,has_measure,∠DAB
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠ADE,is_a,angle
7,19,half_text + noisy_half_diagram[irr_objects],OK,∠AED,is_a,angle
,,,,,,
8,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,E,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
8,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,DE,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,EF,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,DF,is_a,segment
8,19,half_text + noisy_half_diagram[irr_objects],OK,AB,intersects,BC
8,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,BC
8,19,half_text + noisy_half_diagram[irr_objects],OK,DE,intersects,EF
8,19,half_text + noisy_half_diagram[irr_objects],OK,DF,intersects,EF
8,19,half_text + noisy_half_diagram[irr_objects],OK,BC,has_measure,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,AC,has_measure,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,AB,has_measure,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,BC,equals,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,AB,equals,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,AC,equals,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,DE,equals,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,EF,equals,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,DF,equals,5_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,BF,equals,7_units
8,19,half_text + noisy_half_diagram[irr_objects],OK,BC,perpendicular_to,AC
,,,,,,
9,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,AD,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
9,19,half_text + noisy_half_diagram[irr_objects],OK,∠CAB,has_measure,90_deg
9,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,BC
9,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
9,19,half_text + noisy_half_diagram[irr_objects],OK,DE,perpendicular_to,AB
9,19,half_text + noisy_half_diagram[irr_objects],OK,AB,has_measure,6_units
,,,,,,
10,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
10,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,36_deg
10,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
10,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,AC
10,19,half_text + noisy_half_diagram[irr_objects],OK,CD,intersects,AC
,,,,,,
11,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
11,19,half_text + noisy_half_diagram[irr_objects],OK,60_deg,has_measure,∠AOB
11,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAC,has_measure,36_deg
11,19,half_text + noisy_half_diagram[irr_objects],OK,36_deg,has_measure,∠BAC
11,19,half_text + noisy_half_diagram[irr_objects],OK,F,is_a,point
11,19,half_text + noisy_half_diagram[irr_objects],OK,BF,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,AF,is_a,segment
11,19,half_text + noisy_half_diagram[irr_objects],OK,F,center_of,rotation
11,19,half_text + noisy_half_diagram[irr_objects],OK,A,rotated_about,F
11,19,half_text + noisy_half_diagram[irr_objects],OK,C,rotated_about,F
,,,,,,
14,19,half_text + noisy_half_diagram[irr_objects],OK,A,intersects,AB
14,19,half_text + noisy_half_diagram[irr_objects],OK,B,intersects,AB
14,19,half_text + noisy_half_diagram[irr_objects],OK,C,intersects,AB
14,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,30_deg
14,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,BC,is_a,segment
14,19,half_text + noisy_half_diagram[irr_objects],OK,ABC,is_a,triangle
14,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
,,,,,,
16,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
16,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
16,19,half_text + noisy_half_diagram[irr_objects],OK,∠BOC,has_measure,50_deg
16,19,half_text + noisy_half_diagram[irr_objects],OK,OB,radius_of,O
,,,,,,
17,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
17,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,AC,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,segment
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠CBD,has_measure,23_deg
17,19,half_text + noisy_half_diagram[irr_objects],OK,∠DAC,has_measure,42_deg
,,,,,,
20,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,circle
20,19,half_text + noisy_half_diagram[irr_objects],OK,A,lies_on,O
20,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,O
20,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,O
20,19,half_text + noisy_half_diagram[irr_objects],OK,140_deg,has_measure,∠AOD
20,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOD,is_a,angle
,,,,,,
22,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,D,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
22,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
22,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,28_deg
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,is_a,angle
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠BCD,is_a,angle
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠CDA,is_a,angle
22,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAD,is_a,angle
,,,,,,
25,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
25,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
25,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
25,19,half_text + noisy_half_diagram[irr_objects],OK,∠BAF,has_measure,50_deg
25,19,half_text + noisy_half_diagram[irr_objects],OK,EF,parallel_to,BC
25,19,half_text + noisy_half_diagram[irr_objects],OK,AC,intersects,∠BAF
,,,,,,
26,19,half_text + noisy_half_diagram[irr_objects],OK,pole,lies_on,ground
26,19,half_text + noisy_half_diagram[irr_objects],OK,point,is_a,point
26,19,half_text + noisy_half_diagram[irr_objects],OK,flagpole,is_a,segment
26,19,half_text + noisy_half_diagram[irr_objects],OK,flagpole,has_measure,22.0
26,19,half_text + noisy_half_diagram[irr_objects],OK,point,has_measure,8.0
,,,,,,
29,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
29,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
29,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
29,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
29,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABC,is_a,angle
29,19,half_text + noisy_half_diagram[irr_objects],OK,BD,is_a,segment
29,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
29,19,half_text + noisy_half_diagram[irr_objects],OK,∠OCD,has_measure,50_deg
29,19,half_text + noisy_half_diagram[irr_objects],OK,BD,intersects,CD
29,19,half_text + noisy_half_diagram[irr_objects],OK,∠ABD,intersects,∠CBD
,,,,,,
30,19,half_text + noisy_half_diagram[irr_objects],OK,A,intersects,BC
30,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,30_deg
30,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
30,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
30,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
30,19,half_text + noisy_half_diagram[irr_objects],OK,C,is_a,point
30,19,half_text + noisy_half_diagram[irr_objects],OK,OA,intersects,OB
30,19,half_text + noisy_half_diagram[irr_objects],OK,OB,intersects,OC
30,19,half_text + noisy_half_diagram[irr_objects],OK,OA,intersects,OC
,,,,,,
32,19,half_text + noisy_half_diagram[irr_objects],OK,A,tangent_to,I
32,19,half_text + noisy_half_diagram[irr_objects],OK,B,tangent_to,I
32,19,half_text + noisy_half_diagram[irr_objects],OK,C,tangent_to,I
32,19,half_text + noisy_half_diagram[irr_objects],OK,I,is_a,circle
32,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,52_deg
32,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,AB
32,19,half_text + noisy_half_diagram[irr_objects],OK,E,lies_on,AB
32,19,half_text + noisy_half_diagram[irr_objects],OK,F,lies_on,AB
,,,,,,
34,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,segment
34,19,half_text + noisy_half_diagram[irr_objects],OK,CD,is_a,segment
34,19,half_text + noisy_half_diagram[irr_objects],OK,EF,is_a,segment
34,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,has_measure,100_deg
34,19,half_text + noisy_half_diagram[irr_objects],OK,∠C,intersects,EF
34,19,half_text + noisy_half_diagram[irr_objects],OK,CD,intersects,EF
34,19,half_text + noisy_half_diagram[irr_objects],OK,AB,parallel_to,CD
,,,,,,
36,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,circle
36,19,half_text + noisy_half_diagram[irr_objects],OK,AB,is_a,diameter
36,19,half_text + noisy_half_diagram[irr_objects],OK,O,center_of,AB
36,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,CD
36,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,CD
36,19,half_text + noisy_half_diagram[irr_objects],OK,CD,tangent_to,O
36,19,half_text + noisy_half_diagram[irr_objects],OK,50,has_measure,∠BCD
36,19,half_text + noisy_half_diagram[irr_objects],OK,∠BCD,is_a,angle
36,19,half_text + noisy_half_diagram[irr_objects],OK,C,lies_on,circle O
36,19,half_text + noisy_half_diagram[irr_objects],OK,D,lies_on,circle O
,,,,,,
37,19,half_text + noisy_half_diagram[irr_objects],OK,A,intersects,CP
37,19,half_text + noisy_half_diagram[irr_objects],OK,C,has_measure,50_deg
37,19,half_text + noisy_half_diagram[irr_objects],OK,∠AOB,is_a,angle
37,19,half_text + noisy_half_diagram[irr_objects],OK,O,is_a,point
37,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
37,19,half_text + noisy_half_diagram[irr_objects],OK,CP,is_a,line
,,,,,,
38,19,half_text + noisy_half_diagram[irr_objects],OK,A,is_a,point
38,19,half_text + noisy_half_diagram[irr_objects],OK,B,is_a,point
