problem_index,case_id,case_label,status,subject,predicate,object
1,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,O,is_a,point
1,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
1,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
1,4,noisy_text[sentence] + full_diagram,OK,AC,is_a,segment
1,4,noisy_text[sentence] + full_diagram,OK,∠AOB,is_a,angle
1,4,noisy_text[sentence] + full_diagram,OK,∠AOB,has_measure,80_deg
1,4,noisy_text[sentence] + full_diagram,OK,∠ABC,is_a,angle
1,4,noisy_text[sentence] + full_diagram,OK,∠ABC,has_measure,60_deg
1,4,noisy_text[sentence] + full_diagram,OK,D,lies_on,AB
1,4,noisy_text[sentence] + full_diagram,OK,E,lies_on,AC
1,4,noisy_text[sentence] + full_diagram,OK,DE,is_a,segment
,,,,,,
2,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
2,4,noisy_text[sentence] + full_diagram,OK,CD,is_a,segment
2,4,noisy_text[sentence] + full_diagram,OK,EF,is_a,segment
2,4,noisy_text[sentence] + full_diagram,OK,∠AOB,is_a,angle
2,4,noisy_text[sentence] + full_diagram,OK,50,has_measure,∠AOB
2,4,noisy_text[sentence] + full_diagram,OK,EF,intersects,AB
2,4,noisy_text[sentence] + full_diagram,OK,EF,intersects,CD
2,4,noisy_text[sentence] + full_diagram,OK,EF,intersects,point G
2,4,noisy_text[sentence] + full_diagram,OK,point G,is_a,point
,,,,,,
3,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
3,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
3,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
3,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
3,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
3,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
3,4,noisy_text[sentence] + full_diagram,OK,∠ABC,has_measure,70_deg
3,4,noisy_text[sentence] + full_diagram,OK,CD,is_a,segment
3,4,noisy_text[sentence] + full_diagram,OK,CD,parallel_to,AB
3,4,noisy_text[sentence] + full_diagram,OK,BC,intersects,AB
3,4,noisy_text[sentence] + full_diagram,OK,BD,bisects,∠ABC
3,4,noisy_text[sentence] + full_diagram,OK,BD,intersects,AB
,,,,,,
4,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
4,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
4,4,noisy_text[sentence] + full_diagram,OK,O,is_a,point
4,4,noisy_text[sentence] + full_diagram,OK,AB,is_a,segment
4,4,noisy_text[sentence] + full_diagram,OK,OA,is_a,segment
4,4,noisy_text[sentence] + full_diagram,OK,BC,is_a,segment
4,4,noisy_text[sentence] + full_diagram,OK,∠AOB,has_measure,36_deg
4,4,noisy_text[sentence] + full_diagram,OK,AB,tangent_to,O
4,4,noisy_text[sentence] + full_diagram,OK,OA,tangent_to,AB
4,4,noisy_text[sentence] + full_diagram,OK,BC,intersects,O
,,,,,,
7,4,noisy_text[sentence] + full_diagram,OK,A,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,B,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,C,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,D,is_a,point
7,4,noisy_text[sentence] + full_diagram,OK,E,is_a,point
