problem_index,ars_id,question,answer,reasoning,triples_used,triples_count,unique_triples_count,which_triples_used
1,Q1,What is the measure of angle A in triangle ABC?,80_deg,The measure of angle A is directly given in the triples.,[9],1,1,T9
1,Q2,What is the measure of angle B in triangle ABC?,60_deg,The measure of angle B is directly given in the triples.,[10],1,1,T10
1,Q3,What is the relationship between line DE and line BC?,parallel,The relationship between DE and BC is explicitly stated as parallel in the triples.,[15],1,1,T15
1,Q4,Where is point D located in relation to side AB?,lies_on,The location of point D in relation to side AB is explicitly stated in the triples.,[11],1,1,T11
1,Q5,Where is point E located in relation to side AC?,lies_on,The location of point E in relation to side AC is explicitly stated in the triples.,[12],1,1,T12
2,Q1,What is the relationship between lines AB and CD?,parallel,Triple T15 states that AB is parallel to CD.,[15],1,1,T15
2,Q2,What is the measure of angle EFG in degrees?,50,Triple T22 states that the measure of angle EFG is 50 degrees.,[22],1,1,T22
2,Q3,Does line EG bisect angle BEF?,Yes,Triple T21 states that EG bisects angle BEF.,[21],1,1,T21
2,Q4,At what point does line EF intersect line AB?,E,Triple T18 states that line EF intersects line AB at point E.,[18],1,1,T18
2,Q5,At what point does line EF intersect line CD?,F,Triple T19 states that line EF intersects line CD at point F.,[19],1,1,T19
2,Q6,At what point does line EG intersect line CD?,G,Triple T20 states that line EG intersects line CD at point G.,[20],1,1,T20
3,Q1,What is the measure of angle BCD?,70_deg,The measure of angle BCD is directly given in triple T17.,[17],1,1,T17
3,Q2,What is the relationship between line segment CD and line segment AB?,parallel_to,The relationship between line segment CD and line segment AB is directly given in triple T16.,[16],1,1,T16
3,Q3,What does the line segment BD do to angle ABC?,bisects,The action of the line segment BD on angle ABC is directly given in triple T15.,[15],1,1,T15
3,Q4,At which point do line segments BC and BA intersect?,B,The intersection point of line segments BC and BA is directly given in triple T14.,[14],1,1,T14
4,Q1,What is the measure of angle A in degrees?,36,The measure of angle A is directly given by triple T15.,[15],1,1,T15
4,Q2,What is the relationship between line AB and circle O at point B?,tangent,Triple T10 states that AB is tangent to circle O at point B.,[10],1,1,T10
4,Q3,What point does the extended line of AO intersect on circle O?,null,The triples do not specify where the extended line of AO intersects the circle O.,[],0,0,
4,Q4,What is the center point of the circle labeled in the diagram?,O,Triple T11 states that O is the center of circle O.,[11],1,1,T11
4,Q5,Is point B located on the circle?,null,The triples do not specify whether point B is located on the circle.,[],0,0,
4,Q6,Is point C located on the circle?,null,The triples do not specify whether point C is located on the circle.,[],0,0,
7,Q1,What is the measure of angle B in triangle ABC?,70_deg,The measure of angle B in triangle ABC is directly given in triple T11.,[11],1,1,T11
7,Q2,What is the measure of angle C in triangle ABC?,30_deg,The measure of angle C in triangle ABC is directly given in triple T12.,[12],1,1,T12
7,Q3,What is the measure of angle DAC in triangle ADE?,35_deg,The measure of angle DAC in triangle ADE is directly given in triple T13.,[13],1,1,T13
7,Q4,What is the stated relationship between triangle ABC and triangle ADE?,congruent_to,The relationship between triangle ABC and triangle ADE is stated in triple T8.,[8],1,1,T8
8,Q1,What is the length of BC?,5_units,The length of BC is directly given in the perception triples.,[18],1,1,T18
8,Q2,What is the length of BF?,7_units,The length of BF is directly given in the perception triples.,[19],1,1,T19
8,Q4,"Are points B, E, C, and F located on the same straight line?",,"The perception triples do not provide enough information to determine if points B, E, C, and F are located on the same straight line.",[],0,0,
9,Q1,What is the measure of angle C in triangle ABC?,90_deg,The measure of angle C in triangle ABC is given directly in triple T21.,[21],1,1,T21
9,Q2,What is the relationship between sides AC and BC?,parallel,Triple T31 states that AC is parallel to BC.,[31],1,1,T31
9,Q3,What is the length of side AB in triangle ABC?,6.0_units,The length of side AB in triangle ABC is given directly in triple T15.,[15],1,1,T15
9,Q4,Does line segment AD bisect angle CAB?,Yes,Triple T33 states that AD bisects angle CAB.,[33],1,1,T33
9,Q5,Is line segment DE perpendicular to line segment AB?,Yes,Triple T32 states that DE is perpendicular to AB.,[32],1,1,T32
9,Q6,On which line segment does point E lie?,DE,"Triple T28 states that point B connects to point E, and triple T30 states that point D connects to point E, forming segment DE. Therefore, point E lies on line segment DE.","[28, 30]",2,2,"T28, T30"
9,Q7,On which line segment does point D lie?,"AD, BD, CD","Triple T25 states that point A connects to point D, triple T27 states that point B connects to point D, and triple T29 states that point C connects to point D, forming segments AD, BD, and CD. Therefore, point D lies on line segments AD, BD, and CD.","[25, 27, 29]",3,3,"T25, T27, T29"
10,Q1,What is the measure of angle A in triangle ABC?,36_deg,The measure of angle BAC is given as 36 degrees in triple T15.,"[14, 15]",2,2,"T14, T15"
10,Q2,What is the relationship between sides AB and AC in triangle ABC?,AB equals AC,Triple T16 states that AB equals AC.,[16],1,1,T16
10,Q3,What point does the perpendicular bisector of AB intersect AB at?,E,Triple T22 states that DE intersects AB at E.,[22],1,1,T22
10,Q4,What is the relationship between the perpendicular bisector line and segment AB?,DE is perpendicular to AB,Triple T19 states that DE is perpendicular to AB.,[19],1,1,T19
10,Q5,What point on triangle ABC does the perpendicular bisector pass through besides E?,null,The triples do not provide information about any other points on triangle ABC that the perpendicular bisector passes through besides E.,[],0,0,
11,Q1,What is the measure of angle C in degrees?,36,The measure of angle C is directly given in triple T6.,[6],1,1,T6
