problem_index,ars_id,question,answer,reasoning,triples_used,triples_count,unique_triples_count,which_triples_used
1,Q1,What is the measure of angle A in triangle ABC?,80_deg,Triple T6 states that ∠BAC has a measure of 80_deg.,[6],1,1,T6
1,Q2,What is the measure of angle B in triangle ABC?,60_deg,Triple T5 states that ∠ABC has a measure of 60_deg.,[5],1,1,T5
1,Q3,What is the relationship between line DE and line BC?,parallel,Triple T12 states that DE is parallel to BC.,[12],1,1,T12
1,Q4,Where is point D located in relation to side AB?,lies_on AB,Triple T10 states that D lies on AB.,[10],1,1,T10
1,Q5,Where is point E located in relation to side AC?,lies_on AC,Triple T11 states that E lies on AC.,[11],1,1,T11
2,Q1,What is the relationship between lines AB and CD?,intersect,Triple T15 states that CD intersects G.,[15],1,1,T15
2,Q2,What is the measure of angle EFG in degrees?,50,Triple T12 states that ∠EGF has a measure of 50_deg.,[12],1,1,T12
2,Q3,Does line EG bisect angle BEF?,,The question asks if EG bisects angle BEF. The perception triples do not provide information about the angles BEF or the relationship between EG and BEF.,[],0,0,
2,Q4,At what point does line EF intersect line AB?,,The question asks for the intersection point of EF and AB. The perception triples do not provide information about the intersection point of these lines.,[],0,0,
2,Q5,At what point does line EF intersect line CD?,,The question asks for the intersection point of EF and CD. The perception triples do not provide information about the intersection point of these lines.,[],0,0,
2,Q6,At what point does line EG intersect line CD?,,The question asks for the intersection point of EG and CD. The perception triples do not provide information about the intersection point of these lines.,[],0,0,
3,Q1,What is the measure of angle BCD?,,The measure of angle BCD cannot be determined from the given perception triples.,[],0,0,
3,Q2,What is the relationship between line segment CD and line segment AB?,parallel,Triple T4 states that CD is parallel to AB.,[4],1,1,T4
3,Q3,What does the line segment BD do to angle ABC?,bisects,Triple T3 states that BD bisects ∠AOB.,[3],1,1,T3
3,Q4,At which point do line segments BC and BA intersect?,AB,Triple T2 states that BC intersects AB.,[2],1,1,T2
4,Q1,What is the measure of angle A in degrees?,null,The measure of angle A cannot be determined from the given perception triples.,[],0,0,
4,Q2,What is the relationship between line AB and circle O at point B?,tangent,Triple T1 states that line AB is tangent to circle O at point B.,[1],1,1,T1
4,Q3,What point does the extended line of AO intersect on circle O?,null,The extended line of AO intersects with circle O at a point that is not specified in the perception triples.,[],0,0,
4,Q4,What is the center point of the circle labeled in the diagram?,O,Triple T3 states that O is the center of the circle.,[3],1,1,T3
4,Q5,Is point B located on the circle?,null,The perception triples do not provide information about whether point B is on the circle.,[],0,0,
4,Q6,Is point C located on the circle?,null,The perception triples do not provide information about whether point C is on the circle.,[],0,0,
7,Q1,What is the measure of angle B in triangle ABC?,30 degrees,Triple T12 states that ∠ABC has a measure of 30_deg.,[12],1,1,T12
