kind,run_folder,case_label,total,correct,wrong,accuracy_pct,wrong_pct
OVERALL,,,16200,2183,14017,13.475,86.525
RUN,run-1-gemma,,1800,87,1713,4.833,95.167
RUN,run-1-llama,,1800,359,1441,19.944,80.056
RUN,run-1-mistral,,1800,283,1517,15.722,84.278
RUN,run-2-gemma,,1800,71,1729,3.944,96.056
RUN,run-2-llama,,1800,394,1406,21.889,78.111
RUN,run-2-mistral,,1800,275,1525,15.278,84.722
RUN,run-3-gemma,,1800,75,1725,4.167,95.833
RUN,run-3-llama,,1800,369,1431,20.5,79.5
RUN,run-3-mistral,,1800,270,1530,15.0,85.0
RUN_CASE,run-1-gemma,full_text + full_diagram,90,6,84,6.667,93.333
RUN_CASE,run-1-gemma,half_text + half_diagram,90,3,87,3.333,96.667
RUN_CASE,run-1-gemma,noisy_text[numeric] + full_diagram,90,5,85,5.556,94.444
RUN_CASE,run-1-gemma,noisy_text[punctuation] + full_diagram,90,3,87,3.333,96.667
RUN_CASE,run-1-gemma,noisy_text[sentence] + full_diagram,90,5,85,5.556,94.444
RUN_CASE,run-1-gemma,noisy_text[typo] + full_diagram,90,4,86,4.444,95.556
RUN_CASE,run-1-gemma,full_text + noisy_diagram[bg_change],90,10,80,11.111,88.889
RUN_CASE,run-1-gemma,full_text + noisy_diagram[blur],90,8,82,8.889,91.111
RUN_CASE,run-1-gemma,full_text + noisy_diagram[illumination],90,6,84,6.667,93.333
RUN_CASE,run-1-gemma,full_text + noisy_diagram[irr_objects],90,7,83,7.778,92.222
RUN_CASE,run-1-gemma,full_text + noisy_diagram[pixel_noise],90,4,86,4.444,95.556
RUN_CASE,run-1-gemma,noisy_half_text[numeric] + half_diagram,90,1,89,1.111,98.889
RUN_CASE,run-1-gemma,noisy_half_text[punctuation] + half_diagram,90,2,88,2.222,97.778
RUN_CASE,run-1-gemma,noisy_half_text[sentence] + half_diagram,90,6,84,6.667,93.333
RUN_CASE,run-1-gemma,noisy_half_text[typo] + half_diagram,90,3,87,3.333,96.667
RUN_CASE,run-1-gemma,half_text + noisy_half_diagram[bg_change],90,4,86,4.444,95.556
RUN_CASE,run-1-gemma,half_text + noisy_half_diagram[blur],90,2,88,2.222,97.778
RUN_CASE,run-1-gemma,half_text + noisy_half_diagram[illumination],90,3,87,3.333,96.667
RUN_CASE,run-1-gemma,half_text + noisy_half_diagram[irr_objects],90,2,88,2.222,97.778
RUN_CASE,run-1-gemma,half_text + noisy_half_diagram[pixel_noise],90,3,87,3.333,96.667
RUN_CASE,run-1-llama,full_text + full_diagram,90,21,69,23.333,76.667
RUN_CASE,run-1-llama,half_text + half_diagram,90,13,77,14.444,85.556
RUN_CASE,run-1-llama,noisy_text[numeric] + full_diagram,90,22,68,24.444,75.556
RUN_CASE,run-1-llama,noisy_text[punctuation] + full_diagram,90,21,69,23.333,76.667
RUN_CASE,run-1-llama,noisy_text[sentence] + full_diagram,90,18,72,20.0,80.0
