problem_index,case_id,case_label,status,subject,predicate,object
1,5,noisy_text[typo] + full_diagram,OK,A,is_a,point
1,5,noisy_text[typo] + full_diagram,OK,B,is_a,point
1,5,noisy_text[typo] + full_diagram,OK,C,is_a,point
1,5,noisy_text[typo] + full_diagram,OK,ABC,is_a,triangle
1,5,noisy_text[typo] + full_diagram,OK,∠A,is_a,angle
1,5,noisy_text[typo] + full_diagram,OK,∠A,has_measure,80_deg
1,5,noisy_text[typo] + full_diagram,OK,∠B,is_a,angle
1,5,noisy_text[typo] + full_diagram,OK,∠B,has_measure,60_deg
1,5,noisy_text[typo] + full_diagram,OK,D,is_a,point
1,5,noisy_text[typo] + full_diagram,OK,E,is_a,point
1,5,noisy_text[typo] + full_diagram,OK,AB,is_a,segment
1,5,noisy_text[typo] + full_diagram,OK,AC,is_a,segment
1,5,noisy_text[typo] + full_diagram,OK,BC,is_a,segment
1,5,noisy_text[typo] + full_diagram,OK,DE,is_a,segment
1,5,noisy_text[typo] + full_diagram,OK,D,lies_on,AB
1,5,noisy_text[typo] + full_diagram,OK,E,lies_on,AC
1,5,noisy_text[typo] + full_diagram,OK,DE,parallel_to,BC
1,5,noisy_text[typo] + full_diagram,OK,∠CED,is_a,angle
1,5,noisy_text[typo] + full_diagram,OK,∠CED,has_measure,?
,,,,,,
2,5,noisy_text[typo] + full_diagram,OK,AB,is_a,line
2,5,noisy_text[typo] + full_diagram,OK,CD,is_a,line
2,5,noisy_text[typo] + full_diagram,OK,EF,is_a,line
2,5,noisy_text[typo] + full_diagram,OK,EG,is_a,line
2,5,noisy_text[typo] + full_diagram,OK,A,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,B,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,C,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,D,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,E,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,F,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,G,is_a,point
2,5,noisy_text[typo] + full_diagram,OK,AB,parallel_to,CD
2,5,noisy_text[typo] + full_diagram,OK,EF,intersects,AB
2,5,noisy_text[typo] + full_diagram,OK,EF,intersects,CD
2,5,noisy_text[typo] + full_diagram,OK,EF,intersects,"AB, at, E"
2,5,noisy_text[typo] + full_diagram,OK,EF,intersects,"CD, at, F"
