problem_index,ars_id,question,answer,reasoning,triples_used,triples_count,unique_triples_count,which_triples_used
1,Q1,What is the measure of angle A in triangle ABC?,80_deg,The measure of angle A is directly given in the perception triples.,[8],1,1,T8
1,Q2,What is the measure of angle B in triangle ABC?,60_deg,The measure of angle B is directly given in the perception triples.,[10],1,1,T10
1,Q3,What is the relationship between line DE and line BC?,parallel,The relationship between DE and BC is given as parallel in the perception triples.,[15],1,1,T15
1,Q4,Where is point D located in relation to side AB?,lies_on,Point D is located on side AB as per the perception triples.,[11],1,1,T11
1,Q5,Where is point E located in relation to side AC?,lies_on,Point E is located on side AC as per the perception triples.,[12],1,1,T12
2,Q1,What is the relationship between lines AB and CD?,parallel,Triple T14 states that AB is parallel to CD.,[14],1,1,T14
2,Q2,What is the measure of angle EFG in degrees?,50,Triple T19 states that angle EFG has a measure of 50 degrees.,[19],1,1,T19
2,Q3,Does line EG bisect angle BEF?,Yes,Triple T18 states that EG bisects angle BEF.,[18],1,1,T18
2,Q4,At what point does line EF intersect line AB?,,The perception triples do not specify the point of intersection between EF and AB.,[],0,0,
2,Q5,At what point does line EF intersect line CD?,,The perception triples do not specify the point of intersection between EF and CD.,[],0,0,
2,Q6,At what point does line EG intersect line CD?,,The perception triples do not specify the point of intersection between EG and CD.,[],0,0,
3,Q1,What is the measure of angle BCD?,70 degrees,The measure of angle BCD is directly given in triple T5.,[4],1,1,T4
3,Q2,What is the relationship between line segment CD and line segment AB?,parallel,Triple T4 states that CD is parallel to AB.,[3],1,1,T3
3,Q3,What does the line segment BD do to angle ABC?,intersects,Triple T3 states that BD intersects angle ABC.,[2],1,1,T2
3,Q4,At which point do line segments BC and BA intersect?,B,Triples T1 and T2 both state that line segments BC and BA intersect at point B.,[1],1,1,T1
4,Q1,What is the measure of angle A in degrees?,36,The measure of angle A is directly given as 36 degrees in triple T18.,[18],1,1,T18
4,Q2,What is the relationship between line AB and circle O at point B?,tangent,Line AB is described as a tangent to circle O at point B in triple T3.,[3],1,1,T3
4,Q3,What point does the extended line of AO intersect on circle O?,C,The extended line of AO intersects circle O at point C as stated in triple T8.,[8],1,1,T8
4,Q4,What is the center point of the circle labeled in the diagram?,O,Point O is described as the center of the circle in triple T2.,[2],1,1,T2
4,Q5,Is point B located on the circle?,Yes,Point B is located on the circle as line AB intersects the circle at point B as stated in triple T5.,[5],1,1,T5
4,Q6,Is point C located on the circle?,Yes,Point C is located on the circle as the extended line AO intersects the circle at point C as stated in triple T8.,[8],1,1,T8
7,Q1,What is the measure of angle B in triangle ABC?,70_deg,The measure of angle B is directly given in triple T18.,[18],1,1,T18
7,Q2,What is the measure of angle C in triangle ABC?,30_deg,The measure of angle C is directly given in triple T19.,[19],1,1,T19
7,Q3,What is the measure of angle DAC in triangle ADE?,35_deg,The measure of angle DAC is directly given in triple T20.,[20],1,1,T20
7,Q4,What is the stated relationship between triangle ABC and triangle ADE?,congruent_to,The relationship between triangle ABC and triangle ADE is stated in triple T13.,[13],1,1,T13
8,Q1,What is the length of BC?,5.0,The length of BC is directly given in the perception triples.,[19],1,1,T19
8,Q2,What is the length of BF?,7.0,The length of BF is directly given in the perception triples.,[20],1,1,T20
8,Q3,"Are points B, E, C, and F located on the same straight line?",null,"There is no information in the perception triples that indicates whether points B, E, C, and F are colinear.",[],0,0,
9,Q1,What is the measure of angle C in triangle ABC?,90 degrees,"T16 states that angle C is a right angle, which means it measures 90 degrees.",[16],1,1,T16
9,Q2,What is the relationship between sides AC and BC?,parallel,T17 states that AC is parallel to BC.,[17],1,1,T17
9,Q3,What is the length of side AB in triangle ABC?,6.0,T21 states that AB has a measure of 6.0.,[21],1,1,T21
9,Q4,Does line segment AD bisect angle CAB?,Yes,T19 states that AD bisects angle CAB.,[19],1,1,T19
9,Q5,Is line segment DE perpendicular to line segment AB?,Yes,T20 states that DE is perpendicular to AB.,[20],1,1,T20
9,Q6,On which line segment does point E lie?,AB,"T10 states that DE is a segment, and since DE is perpendicular to AB (T20), point E must lie on AB.","[10, 20]",2,2,"T10, T20"
9,Q7,On which line segment does point D lie?,BC,"T18 states that AD intersects BC, and since D is a point (T4), it must lie on BC.","[4, 18]",2,2,"T4, T18"
10,Q1,What is the measure of angle A in triangle ABC?,36_deg,The measure of angle A is directly given by triple T33.,[33],1,1,T33
10,Q2,What is the relationship between sides AB and AC in triangle ABC?,equal,Triple T38 states that AB is equal to AC.,[38],1,1,T38
10,Q3,What point does the perpendicular bisector of AB intersect AB at?,null,The perception triples do not provide information about the perpendicular bisector of AB or its intersection with AB.,[],0,0,
10,Q4,What is the relationship between the perpendicular bisector line and segment AB?,null,The perception triples do not provide information about the relationship between the perpendicular bisector line and segment AB.,[],0,0,
10,Q5,What point on triangle ABC does the perpendicular bisector pass through besides E?,null,The perception triples do not provide information about the perpendicular bisector passing through any point on triangle ABC besides E.,[],0,0,
11,Q1,What is the measure of angle C in degrees?,36,The measure of angle C is directly given in triple T8.,[8],1,1,T8
11,Q2,What is the measure of angle BAE in degrees?,60,The measure of angle BAE is directly given in triple T20.,[20],1,1,T20
11,Q3,By how many degrees is triangle ABC rotated anticlockwise?,60,The rotation of triangle ABC is given in triple T17.,[17],1,1,T17
11,Q4,At which point do line segments AD and BC intersect?,F,The intersection point of line segments AD and BC is given in triples T14 and T15.,"[14, 15]",2,2,"T14, T15"
