problem_index,case_id,case_label,status,subject,predicate,object
1,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
1,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
1,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
1,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
1,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
1,10,full_text + noisy_diagram[pixel_noise],OK,ABC,is_a,triangle
1,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
1,10,full_text + noisy_diagram[pixel_noise],OK,AC,is_a,segment
1,10,full_text + noisy_diagram[pixel_noise],OK,BC,is_a,segment
1,10,full_text + noisy_diagram[pixel_noise],OK,DE,is_a,segment
1,10,full_text + noisy_diagram[pixel_noise],OK,∠A,is_a,angle
1,10,full_text + noisy_diagram[pixel_noise],OK,∠B,is_a,angle
1,10,full_text + noisy_diagram[pixel_noise],OK,∠C,is_a,angle
1,10,full_text + noisy_diagram[pixel_noise],OK,∠CED,is_a,angle
1,10,full_text + noisy_diagram[pixel_noise],OK,A,connects,B
1,10,full_text + noisy_diagram[pixel_noise],OK,A,connects,C
1,10,full_text + noisy_diagram[pixel_noise],OK,B,connects,C
1,10,full_text + noisy_diagram[pixel_noise],OK,D,lies_on,AB
1,10,full_text + noisy_diagram[pixel_noise],OK,E,lies_on,AC
1,10,full_text + noisy_diagram[pixel_noise],OK,DE,parallel_to,BC
1,10,full_text + noisy_diagram[pixel_noise],OK,∠A,has_measure,80_deg
1,10,full_text + noisy_diagram[pixel_noise],OK,∠B,has_measure,60_deg
1,10,full_text + noisy_diagram[pixel_noise],OK,∠C,has_measure,?
1,10,full_text + noisy_diagram[pixel_noise],OK,∠CED,has_measure,?
,,,,,,
2,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,F,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,G,is_a,point
2,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
2,10,full_text + noisy_diagram[pixel_noise],OK,CD,is_a,segment
2,10,full_text + noisy_diagram[pixel_noise],OK,EF,is_a,segment
2,10,full_text + noisy_diagram[pixel_noise],OK,EG,is_a,segment
2,10,full_text + noisy_diagram[pixel_noise],OK,FG,is_a,segment
2,10,full_text + noisy_diagram[pixel_noise],OK,AB,parallel_to,CD
2,10,full_text + noisy_diagram[pixel_noise],OK,EF,intersects,AB
2,10,full_text + noisy_diagram[pixel_noise],OK,EF,intersects,CD
2,10,full_text + noisy_diagram[pixel_noise],OK,EG,bisects,angle
2,10,full_text + noisy_diagram[pixel_noise],OK,angle 1,is_a,angle
2,10,full_text + noisy_diagram[pixel_noise],OK,angle 2,is_a,angle
2,10,full_text + noisy_diagram[pixel_noise],OK,angle 1,has_measure,50_deg
,,,,,,
3,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
3,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
3,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
3,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
3,10,full_text + noisy_diagram[pixel_noise],OK,BC,is_a,segment
3,10,full_text + noisy_diagram[pixel_noise],OK,BA,is_a,segment
3,10,full_text + noisy_diagram[pixel_noise],OK,BD,is_a,segment
3,10,full_text + noisy_diagram[pixel_noise],OK,CD,is_a,segment
3,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
3,10,full_text + noisy_diagram[pixel_noise],OK,BC,intersects,B
3,10,full_text + noisy_diagram[pixel_noise],OK,BA,intersects,B
3,10,full_text + noisy_diagram[pixel_noise],OK,BD,intersects,B
3,10,full_text + noisy_diagram[pixel_noise],OK,BD,intersects,D
3,10,full_text + noisy_diagram[pixel_noise],OK,CD,intersects,D
3,10,full_text + noisy_diagram[pixel_noise],OK,CD,parallel_to,AB
3,10,full_text + noisy_diagram[pixel_noise],OK,∠BCD,is_a,angle
3,10,full_text + noisy_diagram[pixel_noise],OK,∠BCD,has_measure,70_deg
3,10,full_text + noisy_diagram[pixel_noise],OK,∠CDB,is_a,angle
3,10,full_text + noisy_diagram[pixel_noise],OK,∠CDB,has_measure,?
,,,,,,
4,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
4,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
4,10,full_text + noisy_diagram[pixel_noise],OK,O,is_a,point
4,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
4,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
4,10,full_text + noisy_diagram[pixel_noise],OK,AO,is_a,segment
4,10,full_text + noisy_diagram[pixel_noise],OK,BC,is_a,segment
4,10,full_text + noisy_diagram[pixel_noise],OK,∠A,is_a,angle
4,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,tangent
4,10,full_text + noisy_diagram[pixel_noise],OK,O,is_a,center
4,10,full_text + noisy_diagram[pixel_noise],OK,O,center_of,circle
4,10,full_text + noisy_diagram[pixel_noise],OK,AB,tangent_to,circle
4,10,full_text + noisy_diagram[pixel_noise],OK,AO,intersects,circle
4,10,full_text + noisy_diagram[pixel_noise],OK,AO,connects,A
4,10,full_text + noisy_diagram[pixel_noise],OK,AO,connects,O
4,10,full_text + noisy_diagram[pixel_noise],OK,AO,connects,C
4,10,full_text + noisy_diagram[pixel_noise],OK,AB,connects,A
4,10,full_text + noisy_diagram[pixel_noise],OK,AB,connects,B
4,10,full_text + noisy_diagram[pixel_noise],OK,BC,connects,B
4,10,full_text + noisy_diagram[pixel_noise],OK,BC,connects,C
4,10,full_text + noisy_diagram[pixel_noise],OK,∠A,has_measure,36_deg
4,10,full_text + noisy_diagram[pixel_noise],OK,AB,tangent_to,O
,,,,,,
7,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
7,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
7,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
7,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
7,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
7,10,full_text + noisy_diagram[pixel_noise],OK,ABC,is_a,triangle
7,10,full_text + noisy_diagram[pixel_noise],OK,ADE,is_a,triangle
7,10,full_text + noisy_diagram[pixel_noise],OK,ABC,congruent_to,ADE
7,10,full_text + noisy_diagram[pixel_noise],OK,A,common_vertex_of,ABC
7,10,full_text + noisy_diagram[pixel_noise],OK,A,common_vertex_of,ADE
7,10,full_text + noisy_diagram[pixel_noise],OK,∠B,has_measure,70_deg
7,10,full_text + noisy_diagram[pixel_noise],OK,∠C,has_measure,30_deg
7,10,full_text + noisy_diagram[pixel_noise],OK,∠DAC,has_measure,35_deg
7,10,full_text + noisy_diagram[pixel_noise],OK,∠EAC,has_measure,?
7,10,full_text + noisy_diagram[pixel_noise],OK,∠EAC,is_a,angle
7,10,full_text + noisy_diagram[pixel_noise],OK,∠B,is_a,angle
7,10,full_text + noisy_diagram[pixel_noise],OK,∠C,is_a,angle
7,10,full_text + noisy_diagram[pixel_noise],OK,∠DAC,is_a,angle
,,,,,,
8,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,F,is_a,point
8,10,full_text + noisy_diagram[pixel_noise],OK,ABC,is_a,triangle
8,10,full_text + noisy_diagram[pixel_noise],OK,DEF,is_a,triangle
8,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,vertex
8,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,vertex
8,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,vertex
8,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,vertex
8,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,vertex
8,10,full_text + noisy_diagram[pixel_noise],OK,F,is_a,vertex
8,10,full_text + noisy_diagram[pixel_noise],OK,A,corresponds_to,D
8,10,full_text + noisy_diagram[pixel_noise],OK,B,corresponds_to,E
8,10,full_text + noisy_diagram[pixel_noise],OK,BC,is_a,segment
8,10,full_text + noisy_diagram[pixel_noise],OK,BF,is_a,segment
8,10,full_text + noisy_diagram[pixel_noise],OK,BC,has_measure,5.0
8,10,full_text + noisy_diagram[pixel_noise],OK,BF,has_measure,7.0
8,10,full_text + noisy_diagram[pixel_noise],OK,EC,is_a,segment
8,10,full_text + noisy_diagram[pixel_noise],OK,EC,has_measure,?
,,,,,,
9,10,full_text + noisy_diagram[pixel_noise],OK,A,is_a,point
9,10,full_text + noisy_diagram[pixel_noise],OK,B,is_a,point
9,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,point
9,10,full_text + noisy_diagram[pixel_noise],OK,D,is_a,point
9,10,full_text + noisy_diagram[pixel_noise],OK,E,is_a,point
9,10,full_text + noisy_diagram[pixel_noise],OK,AB,is_a,segment
9,10,full_text + noisy_diagram[pixel_noise],OK,AC,is_a,segment
9,10,full_text + noisy_diagram[pixel_noise],OK,BC,is_a,segment
9,10,full_text + noisy_diagram[pixel_noise],OK,AD,is_a,segment
9,10,full_text + noisy_diagram[pixel_noise],OK,DE,is_a,segment
9,10,full_text + noisy_diagram[pixel_noise],OK,∠C,is_a,angle
9,10,full_text + noisy_diagram[pixel_noise],OK,∠CAB,is_a,angle
9,10,full_text + noisy_diagram[pixel_noise],OK,∠DBE,is_a,angle
9,10,full_text + noisy_diagram[pixel_noise],OK,ABC,is_a,triangle
9,10,full_text + noisy_diagram[pixel_noise],OK,ACD,is_a,triangle
9,10,full_text + noisy_diagram[pixel_noise],OK,DBE,is_a,triangle
9,10,full_text + noisy_diagram[pixel_noise],OK,C,is_a,right_angle
9,10,full_text + noisy_diagram[pixel_noise],OK,AC,has_measure,?
9,10,full_text + noisy_diagram[pixel_noise],OK,BC,has_measure,?
9,10,full_text + noisy_diagram[pixel_noise],OK,AB,has_measure,6.0
