problem_index,ars_id,question,answer,reasoning,triples_used,triples_count,unique_triples_count,which_triples_used
1,Q1,What is the measure of angle A in triangle ABC?,80_deg,The measure of angle A is directly given in triple T6.,[6],1,1,T6
1,Q2,What is the measure of angle B in triangle ABC?,60_deg,The measure of angle B is directly given in triple T8.,[8],1,1,T8
1,Q3,What is the relationship between line DE and line BC?,parallel,The relationship between DE and BC is given in triple T14.,[14],1,1,T14
1,Q4,Where is point D located in relation to side AB?,lies_on,The location of point D is given in triple T10.,[10],1,1,T10
1,Q5,Where is point E located in relation to side AC?,lies_on,The location of point E is given in triple T12.,[12],1,1,T12
2,Q1,What is the relationship between lines AB and CD?,parallel,AB is parallel to CD as stated in triple T4.,[4],1,1,T4
2,Q2,What is the measure of angle EFG in degrees?,50,The measure of angle EFG is given as 50 degrees in triple T14.,[14],1,1,T14
2,Q3,Does line EG bisect angle BEF?,Yes,EG bisects angle BEF as stated in triple T15.,[15],1,1,T15
2,Q4,At what point does line EF intersect line AB?,null,The point of intersection between EF and AB is not specified in the triples.,[],0,0,
2,Q5,At what point does line EF intersect line CD?,null,The point of intersection between EF and CD is not specified in the triples.,[],0,0,
2,Q6,At what point does line EG intersect line CD?,G,EG intersects CD at point G as stated in triple T11.,[11],1,1,T11
3,Q1,What is the measure of angle BCD?,70 degrees,The measure of angle BCD is directly given in the perception triples.,[28],1,1,T28
3,Q2,What is the relationship between line segment CD and line segment AB?,parallel,The perception triples state that CD is parallel to AB.,[27],1,1,T27
3,Q3,What does the line segment BD do to angle ABC?,bisects,The perception triples state that BD bisects angle ABC.,[26],1,1,T26
3,Q4,At which point do line segments BC and BA intersect?,B,The perception triples state that line segments BC and BA intersect at point B.,[23],1,1,T23
4,Q1,What is the measure of angle A in degrees?,36,The measure of angle A is directly given as 36 degrees in triple T14.,[14],1,1,T14
4,Q2,What is the relationship between line AB and circle O at point B?,tangent,Triple T19 states that AB is tangent to circle O at point B.,[19],1,1,T19
4,Q3,What point does the extended line of AO intersect on circle O?,C,Triple T11 states that AO intersects circle O at point C.,[11],1,1,T11
4,Q4,What is the center point of the circle labeled in the diagram?,O,Triple T18 states that O is the center of circle O.,[18],1,1,T18
4,Q5,Is point B located on the circle?,yes,Triple T12 states that point B is on circle O.,[12],1,1,T12
4,Q6,Is point C located on the circle?,yes,Triple T13 states that point C is on circle O.,[13],1,1,T13
7,Q1,What is the measure of angle B in triangle ABC?,70_deg,The measure of angle B is directly given in triple T13.,[13],1,1,T13
7,Q2,What is the measure of angle C in triangle ABC?,30_deg,The measure of angle C is directly given in triple T14.,[14],1,1,T14
7,Q3,What is the measure of angle DAC in triangle ADE?,35_deg,The measure of angle DAC is directly given in triple T15.,[15],1,1,T15
7,Q4,What is the stated relationship between triangle ABC and triangle ADE?,congruent_to,The relationship between triangle ABC and triangle ADE is given in triple T8.,[8],1,1,T8
8,Q1,What is the length of BC?,5.0,The length of BC is directly given in the triples as 5.0.,"[12, 14]",2,2,"T12, T14"
8,Q2,What is the length of BF?,7.0,The length of BF is directly given in the triples as 7.0.,"[13, 15]",2,2,"T13, T15"
8,Q3,"Are points B, E, C, and F located on the same straight line?",,"There is no information in the triples about the collinearity of points B, E, C, and F.",[],0,0,
9,Q1,What is the measure of angle C in triangle ABC?,90_deg,Triple T11 states that angle C has a measure of 90 degrees.,[11],1,1,T11
9,Q2,What is the relationship between sides AC and BC?,parallel,Triple T26 states that AC is parallel to BC.,[26],1,1,T26
