problem_index,case_id,case_label,status,subject,predicate,object
1,18,half_text + noisy_half_diagram[illumination],OK,A,is_a,point
1,18,half_text + noisy_half_diagram[illumination],OK,B,is_a,point
1,18,half_text + noisy_half_diagram[illumination],OK,C,is_a,point
1,18,half_text + noisy_half_diagram[illumination],OK,D,is_a,point
1,18,half_text + noisy_half_diagram[illumination],OK,E,is_a,point
1,18,half_text + noisy_half_diagram[illumination],OK,AB,is_a,segment
1,18,half_text + noisy_half_diagram[illumination],OK,AC,is_a,segment
1,18,half_text + noisy_half_diagram[illumination],OK,BC,is_a,segment
1,18,half_text + noisy_half_diagram[illumination],OK,∠A,is_a,angle
1,18,half_text + noisy_half_diagram[illumination],OK,∠B,is_a,angle
1,18,half_text + noisy_half_diagram[illumination],OK,∠C,is_a,angle
1,18,half_text + noisy_half_diagram[illumination],OK,∠ABC,has_measure,60_deg
1,18,half_text + noisy_half_diagram[illumination],OK,∠ACB,has_measure,?
1,18,half_text + noisy_half_diagram[illumination],OK,∠BAC,has_measure,80_deg
1,18,half_text + noisy_half_diagram[illumination],OK,DE,is_a,segment
1,18,half_text + noisy_half_diagram[illumination],OK,DE,parallel_to,BC
,,,,,,
2,18,half_text + noisy_half_diagram[illumination],OK,A,is_a,point
2,18,half_text + noisy_half_diagram[illumination],OK,B,is_a,point
2,18,half_text + noisy_half_diagram[illumination],OK,C,is_a,point
2,18,half_text + noisy_half_diagram[illumination],OK,D,is_a,point
2,18,half_text + noisy_half_diagram[illumination],OK,E,is_a,point
2,18,half_text + noisy_half_diagram[illumination],OK,F,is_a,point
2,18,half_text + noisy_half_diagram[illumination],OK,G,is_a,point
2,18,half_text + noisy_half_diagram[illumination],OK,AB,is_a,segment
2,18,half_text + noisy_half_diagram[illumination],OK,CD,is_a,segment
2,18,half_text + noisy_half_diagram[illumination],OK,EF,is_a,segment
2,18,half_text + noisy_half_diagram[illumination],OK,EG,is_a,segment
2,18,half_text + noisy_half_diagram[illumination],OK,∠BEF,is_a,angle
2,18,half_text + noisy_half_diagram[illumination],OK,∠EFG,is_a,angle
2,18,half_text + noisy_half_diagram[illumination],OK,∠EGF,is_a,angle
2,18,half_text + noisy_half_diagram[illumination],OK,AB,parallel_to,CD
2,18,half_text + noisy_half_diagram[illumination],OK,EF,intersects,AB
2,18,half_text + noisy_half_diagram[illumination],OK,EF,intersects,CD
2,18,half_text + noisy_half_diagram[illumination],OK,EG,bisects,∠BEF
2,18,half_text + noisy_half_diagram[illumination],OK,EG,intersects,CD
2,18,half_text + noisy_half_diagram[illumination],OK,50_deg,has_measure,∠EFG
,,,,,,
3,18,half_text + noisy_half_diagram[illumination],OK,A,is_a,point
3,18,half_text + noisy_half_diagram[illumination],OK,B,is_a,point
3,18,half_text + noisy_half_diagram[illumination],OK,C,is_a,point
3,18,half_text + noisy_half_diagram[illumination],OK,D,is_a,point
3,18,half_text + noisy_half_diagram[illumination],OK,AB,is_a,segment
3,18,half_text + noisy_half_diagram[illumination],OK,AC,is_a,segment
3,18,half_text + noisy_half_diagram[illumination],OK,BC,is_a,segment
3,18,half_text + noisy_half_diagram[illumination],OK,∠ABC,has_measure,70_deg
3,18,half_text + noisy_half_diagram[illumination],OK,CD,parallel_to,AB
3,18,half_text + noisy_half_diagram[illumination],OK,BD,bisects,∠ABC
,,,,,,
4,18,half_text + noisy_half_diagram[illumination],OK,O,is_a,circle
4,18,half_text + noisy_half_diagram[illumination],OK,A,is_a,point
4,18,half_text + noisy_half_diagram[illumination],OK,B,is_a,point
4,18,half_text + noisy_half_diagram[illumination],OK,∠AOB,is_a,angle
4,18,half_text + noisy_half_diagram[illumination],OK,36,has_measure,∠AOB
4,18,half_text + noisy_half_diagram[illumination],OK,∠OCB,is_a,angle
4,18,half_text + noisy_half_diagram[illumination],OK,BC,is_a,segment
4,18,half_text + noisy_half_diagram[illumination],OK,AO,is_a,segment
4,18,half_text + noisy_half_diagram[illumination],OK,AB,is_a,segment
4,18,half_text + noisy_half_diagram[illumination],OK,AB,tangent_to,O
4,18,half_text + noisy_half_diagram[illumination],OK,AO,intersects,O
4,18,half_text + noisy_half_diagram[illumination],OK,C,is_a,point
4,18,half_text + noisy_half_diagram[illumination],OK,O,center_of,circle
4,18,half_text + noisy_half_diagram[illumination],OK,B,lies_on,circle
4,18,half_text + noisy_half_diagram[illumination],OK,C,lies_on,circle
,,,,,,
7,18,half_text + noisy_half_diagram[illumination],OK,B,is_a,point
7,18,half_text + noisy_half_diagram[illumination],OK,C,is_a,point
7,18,half_text + noisy_half_diagram[illumination],OK,A,is_a,point
7,18,half_text + noisy_half_diagram[illumination],OK,E,is_a,point
7,18,half_text + noisy_half_diagram[illumination],OK,AB,is_a,segment
7,18,half_text + noisy_half_diagram[illumination],OK,AC,is_a,segment
7,18,half_text + noisy_half_diagram[illumination],OK,AD,is_a,segment
7,18,half_text + noisy_half_diagram[illumination],OK,DE,is_a,segment
7,18,half_text + noisy_half_diagram[illumination],OK,AE,is_a,segment
7,18,half_text + noisy_half_diagram[illumination],OK,∠B,is_a,angle
7,18,half_text + noisy_half_diagram[illumination],OK,∠C,is_a,angle
7,18,half_text + noisy_half_diagram[illumination],OK,∠DAC,is_a,angle
7,18,half_text + noisy_half_diagram[illumination],OK,∠EAC,is_a,angle
7,18,half_text + noisy_half_diagram[illumination],OK,∠B,has_measure,70_deg
7,18,half_text + noisy_half_diagram[illumination],OK,∠C,has_measure,30_deg
7,18,half_text + noisy_half_diagram[illumination],OK,∠DAC,has_measure,35_deg
7,18,half_text + noisy_half_diagram[illumination],OK,∠C,collinear_with,∠DAC
7,18,half_text + noisy_half_diagram[illumination],OK,∠B,collinear_with,∠EAC
,,,,,,
8,18,half_text + noisy_half_diagram[illumination],OK,A,is_a,point
8,18,half_text + noisy_half_diagram[illumination],OK,D,is_a,point
8,18,half_text + noisy_half_diagram[illumination],OK,B,is_a,point
8,18,half_text + noisy_half_diagram[illumination],OK,E,is_a,point
8,18,half_text + noisy_half_diagram[illumination],OK,C,is_a,point
8,18,half_text + noisy_half_diagram[illumination],OK,F,is_a,point
8,18,half_text + noisy_half_diagram[illumination],OK,AB,is_a,segment
8,18,half_text + noisy_half_diagram[illumination],OK,BC,is_a,segment
8,18,half_text + noisy_half_diagram[illumination],OK,AC,is_a,segment
8,18,half_text + noisy_half_diagram[illumination],OK,DE,is_a,segment
8,18,half_text + noisy_half_diagram[illumination],OK,EF,is_a,segment
8,18,half_text + noisy_half_diagram[illumination],OK,DF,is_a,segment
8,18,half_text + noisy_half_diagram[illumination],OK,Triangle ABC,is_a,triangle
8,18,half_text + noisy_half_diagram[illumination],OK,Triangle DEF,is_a,triangle
8,18,half_text + noisy_half_diagram[illumination],OK,BF,has_measure,7.0
8,18,half_text + noisy_half_diagram[illumination],OK,EC,?,?
8,18,half_text + noisy_half_diagram[illumination],OK,AB,connects,BC
8,18,half_text + noisy_half_diagram[illumination],OK,DE,connects,EF
8,18,half_text + noisy_half_diagram[illumination],OK,AC,intersects,BC
8,18,half_text + noisy_half_diagram[illumination],OK,EF,intersects,DF
,,,,,,
9,18,half_text + noisy_half_diagram[illumination],OK,A,is_a,point
9,18,half_text + noisy_half_diagram[illumination],OK,B,is_a,point
9,18,half_text + noisy_half_diagram[illumination],OK,C,is_a,point
9,18,half_text + noisy_half_diagram[illumination],OK,D,is_a,point
9,18,half_text + noisy_half_diagram[illumination],OK,AB,is_a,segment
9,18,half_text + noisy_half_diagram[illumination],OK,AC,is_a,segment
9,18,half_text + noisy_half_diagram[illumination],OK,AD,is_a,segment
9,18,half_text + noisy_half_diagram[illumination],OK,DE,is_a,segment
9,18,half_text + noisy_half_diagram[illumination],OK,∠C,is_a,angle
9,18,half_text + noisy_half_diagram[illumination],OK,∠C,has_measure,90_deg
9,18,half_text + noisy_half_diagram[illumination],OK,AC,perpendicular_to,BC
9,18,half_text + noisy_half_diagram[illumination],OK,BC,is_a,segment
9,18,half_text + noisy_half_diagram[illumination],OK,AB,has_measure,6.0
