problem_index,case_id,case_label,status,subject,predicate,object
1,14,noisy_half_text[sentence] + half_diagram,OK,A,is_a,point
1,14,noisy_half_text[sentence] + half_diagram,OK,B,is_a,point
1,14,noisy_half_text[sentence] + half_diagram,OK,C,is_a,point
1,14,noisy_half_text[sentence] + half_diagram,OK,ABC,is_a,triangle
1,14,noisy_half_text[sentence] + half_diagram,OK,angle_A,is_a,angle
1,14,noisy_half_text[sentence] + half_diagram,OK,angle_A,has_measure,80_deg
1,14,noisy_half_text[sentence] + half_diagram,OK,D,is_a,point
1,14,noisy_half_text[sentence] + half_diagram,OK,D,lies_on,AB
1,14,noisy_half_text[sentence] + half_diagram,OK,E,is_a,point
1,14,noisy_half_text[sentence] + half_diagram,OK,E,lies_on,AC
1,14,noisy_half_text[sentence] + half_diagram,OK,DE,is_a,segment
1,14,noisy_half_text[sentence] + half_diagram,OK,BC,is_a,segment
1,14,noisy_half_text[sentence] + half_diagram,OK,DE,parallel_to,BC
1,14,noisy_half_text[sentence] + half_diagram,OK,angle_B,is_a,angle
1,14,noisy_half_text[sentence] + half_diagram,OK,angle_B,has_measure,60_deg
,,,,,,
2,14,noisy_half_text[sentence] + half_diagram,OK,A,is_a,point
2,14,noisy_half_text[sentence] + half_diagram,OK,B,is_a,point
2,14,noisy_half_text[sentence] + half_diagram,OK,AB,is_a,segment
2,14,noisy_half_text[sentence] + half_diagram,OK,AB,parallel_to,CD
2,14,noisy_half_text[sentence] + half_diagram,OK,C,is_a,point
2,14,noisy_half_text[sentence] + half_diagram,OK,D,is_a,point
2,14,noisy_half_text[sentence] + half_diagram,OK,CD,is_a,segment
2,14,noisy_half_text[sentence] + half_diagram,OK,E,is_a,point
2,14,noisy_half_text[sentence] + half_diagram,OK,F,is_a,point
2,14,noisy_half_text[sentence] + half_diagram,OK,EF,is_a,segment
2,14,noisy_half_text[sentence] + half_diagram,OK,EG,is_a,segment
2,14,noisy_half_text[sentence] + half_diagram,OK,G,is_a,point
2,14,noisy_half_text[sentence] + half_diagram,OK,EF,intersects,AB
2,14,noisy_half_text[sentence] + half_diagram,OK,EF,intersects,CD
2,14,noisy_half_text[sentence] + half_diagram,OK,EG,intersects,CD
2,14,noisy_half_text[sentence] + half_diagram,OK,EG,bisects,∠BEF
2,14,noisy_half_text[sentence] + half_diagram,OK,∠EFG,has_measure,?
2,14,noisy_half_text[sentence] + half_diagram,OK,∠EGF,has_measure,?
,,,,,,
3,14,noisy_half_text[sentence] + half_diagram,OK,A,is_a,point
