problem_index,case_id,case_label,status,subject,predicate,object
1,14,noisy_half_text[sentence] + half_diagram,OK,A,is_a,point
1,14,noisy_half_text[sentence] + half_diagram,OK,B,is_a,point
1,14,noisy_half_text[sentence] + half_diagram,OK,C,is_a,point
1,14,noisy_half_text[sentence] + half_diagram,OK,∠AOB,has_measure,60_deg
1,14,noisy_half_text[sentence] + half_diagram,OK,AB,is_a,segment
1,14,noisy_half_text[sentence] + half_diagram,OK,AC,is_a,segment
1,14,noisy_half_text[sentence] + half_diagram,OK,BC,is_a,segment
1,14,noisy_half_text[sentence] + half_diagram,OK,D,lies_on,AB
1,14,noisy_half_text[sentence] + half_diagram,OK,E,lies_on,AC
1,14,noisy_half_text[sentence] + half_diagram,OK,DE,parallel_to,BC
,,,,,,
2,14,noisy_half_text[sentence] + half_diagram,OK,AB,is_a,segment
2,14,noisy_half_text[sentence] + half_diagram,OK,CD,is_a,segment
2,14,noisy_half_text[sentence] + half_diagram,OK,EF,is_a,segment
2,14,noisy_half_text[sentence] + half_diagram,OK,∠BEF,is_a,angle
2,14,noisy_half_text[sentence] + half_diagram,OK,∠AEG,is_a,angle
2,14,noisy_half_text[sentence] + half_diagram,OK,50_deg,has_measure,∠AEG
2,14,noisy_half_text[sentence] + half_diagram,OK,AB,intersects,EF
2,14,noisy_half_text[sentence] + half_diagram,OK,CD,intersects,EF
2,14,noisy_half_text[sentence] + half_diagram,OK,CD,intersects,∠BEF
2,14,noisy_half_text[sentence] + half_diagram,OK,CD,intersects,G
2,14,noisy_half_text[sentence] + half_diagram,OK,EF,intersects,G
,,,,,,
3,14,noisy_half_text[sentence] + half_diagram,OK,A,is_a,point
3,14,noisy_half_text[sentence] + half_diagram,OK,B,is_a,point
3,14,noisy_half_text[sentence] + half_diagram,OK,C,is_a,point
3,14,noisy_half_text[sentence] + half_diagram,OK,∠AOB,is_a,angle
3,14,noisy_half_text[sentence] + half_diagram,OK,70_deg,has_measure,∠AOB
3,14,noisy_half_text[sentence] + half_diagram,OK,AB,is_a,segment
3,14,noisy_half_text[sentence] + half_diagram,OK,CD,is_a,segment
3,14,noisy_half_text[sentence] + half_diagram,OK,CD,parallel_to,AB
3,14,noisy_half_text[sentence] + half_diagram,OK,BC,is_a,segment
,,,,,,
4,14,noisy_half_text[sentence] + half_diagram,OK,AB,tangent_to,O
4,14,noisy_half_text[sentence] + half_diagram,OK,O,is_a,circle
4,14,noisy_half_text[sentence] + half_diagram,OK,∠AOB,has_measure,36_deg
