problem_index,case_id,case_label,status,subject,predicate,object
1,7,full_text + noisy_diagram[blur],OK,A,is_a,point
1,7,full_text + noisy_diagram[blur],OK,B,is_a,point
1,7,full_text + noisy_diagram[blur],OK,C,is_a,point
1,7,full_text + noisy_diagram[blur],OK,D,is_a,point
1,7,full_text + noisy_diagram[blur],OK,E,is_a,point
1,7,full_text + noisy_diagram[blur],OK,A,lies_on,AB
1,7,full_text + noisy_diagram[blur],OK,B,lies_on,AB
1,7,full_text + noisy_diagram[blur],OK,D,lies_on,AB
1,7,full_text + noisy_diagram[blur],OK,E,lies_on,AC
1,7,full_text + noisy_diagram[blur],OK,DE,is_a,segment
1,7,full_text + noisy_diagram[blur],OK,BC,is_a,segment
1,7,full_text + noisy_diagram[blur],OK,DE,parallel_to,BC
1,7,full_text + noisy_diagram[blur],OK,∠A,is_a,angle
1,7,full_text + noisy_diagram[blur],OK,∠B,is_a,angle
1,7,full_text + noisy_diagram[blur],OK,∠A,has_measure,80_deg
1,7,full_text + noisy_diagram[blur],OK,∠B,has_measure,60_deg
,,,,,,
2,7,full_text + noisy_diagram[blur],OK,A,is_a,point
2,7,full_text + noisy_diagram[blur],OK,B,is_a,point
2,7,full_text + noisy_diagram[blur],OK,C,is_a,point
2,7,full_text + noisy_diagram[blur],OK,D,is_a,point
2,7,full_text + noisy_diagram[blur],OK,E,is_a,point
2,7,full_text + noisy_diagram[blur],OK,F,is_a,point
2,7,full_text + noisy_diagram[blur],OK,G,is_a,point
2,7,full_text + noisy_diagram[blur],OK,AB,is_a,line
2,7,full_text + noisy_diagram[blur],OK,CD,is_a,line
2,7,full_text + noisy_diagram[blur],OK,EF,is_a,line
2,7,full_text + noisy_diagram[blur],OK,EG,is_a,line
2,7,full_text + noisy_diagram[blur],OK,AB,parallel_to,CD
2,7,full_text + noisy_diagram[blur],OK,EF,intersects,AB
2,7,full_text + noisy_diagram[blur],OK,EF,intersects,CD
2,7,full_text + noisy_diagram[blur],OK,EG,intersects,CD
2,7,full_text + noisy_diagram[blur],OK,∠EFG,is_a,angle
2,7,full_text + noisy_diagram[blur],OK,∠EFG,has_measure,50_deg
2,7,full_text + noisy_diagram[blur],OK,EG,lies_on,EF
2,7,full_text + noisy_diagram[blur],OK,EG,bisects,∠BEF
2,7,full_text + noisy_diagram[blur],OK,∠EGF,is_a,angle
,,,,,,
3,7,full_text + noisy_diagram[blur],OK,B,is_a,point
3,7,full_text + noisy_diagram[blur],OK,C,is_a,point
3,7,full_text + noisy_diagram[blur],OK,D,is_a,point
3,7,full_text + noisy_diagram[blur],OK,A,is_a,point
3,7,full_text + noisy_diagram[blur],OK,BC,is_a,segment
3,7,full_text + noisy_diagram[blur],OK,BA,is_a,segment
3,7,full_text + noisy_diagram[blur],OK,BD,is_a,segment
3,7,full_text + noisy_diagram[blur],OK,CD,is_a,segment
3,7,full_text + noisy_diagram[blur],OK,BC,lies_on,B
3,7,full_text + noisy_diagram[blur],OK,BA,lies_on,B
3,7,full_text + noisy_diagram[blur],OK,BC,intersects,BA
3,7,full_text + noisy_diagram[blur],OK,B,is_a,intersection_point
3,7,full_text + noisy_diagram[blur],OK,BD,bisects,∠ABC
3,7,full_text + noisy_diagram[blur],OK,CD,is_parallel_to,AB
3,7,full_text + noisy_diagram[blur],OK,∠BCD,has_measure,70_deg
3,7,full_text + noisy_diagram[blur],OK,CD,parallel_to,AB
,,,,,,
4,7,full_text + noisy_diagram[blur],OK,subject,relation,object
4,7,full_text + noisy_diagram[blur],OK,A,is_a,point
4,7,full_text + noisy_diagram[blur],OK,B,is_a,point
4,7,full_text + noisy_diagram[blur],OK,C,is_a,point
4,7,full_text + noisy_diagram[blur],OK,O,is_a,point
4,7,full_text + noisy_diagram[blur],OK,AB,is_a,segment
4,7,full_text + noisy_diagram[blur],OK,AO,is_a,segment
4,7,full_text + noisy_diagram[blur],OK,BC,is_a,segment
4,7,full_text + noisy_diagram[blur],OK,OC,is_a,segment
4,7,full_text + noisy_diagram[blur],OK,OB,is_a,segment
4,7,full_text + noisy_diagram[blur],OK,∠A,is_a,angle
4,7,full_text + noisy_diagram[blur],OK,∠A,has_measure,36_deg
4,7,full_text + noisy_diagram[blur],OK,AB,tangent_to,circle O
4,7,full_text + noisy_diagram[blur],OK,AB,intersects,circle O
4,7,full_text + noisy_diagram[blur],OK,B,lies_on,circle O
4,7,full_text + noisy_diagram[blur],OK,O,center_of,circle O
4,7,full_text + noisy_diagram[blur],OK,OB,radius_of,circle O
4,7,full_text + noisy_diagram[blur],OK,AO,intersects,circle O
4,7,full_text + noisy_diagram[blur],OK,C,lies_on,circle O
4,7,full_text + noisy_diagram[blur],OK,BC,connects,"B, C"
4,7,full_text + noisy_diagram[blur],OK,∠OCB,is_a,angle
4,7,full_text + noisy_diagram[blur],OK,AB,perpendicular_to,OB
,,,,,,
7,7,full_text + noisy_diagram[blur],OK,B,is_a,point
7,7,full_text + noisy_diagram[blur],OK,C,is_a,point
7,7,full_text + noisy_diagram[blur],OK,D,is_a,point
7,7,full_text + noisy_diagram[blur],OK,E,is_a,point
7,7,full_text + noisy_diagram[blur],OK,A,is_a,point
7,7,full_text + noisy_diagram[blur],OK,∠B,is_a,angle
7,7,full_text + noisy_diagram[blur],OK,∠C,is_a,angle
7,7,full_text + noisy_diagram[blur],OK,∠DAC,is_a,angle
7,7,full_text + noisy_diagram[blur],OK,∠EAC,is_a,angle
7,7,full_text + noisy_diagram[blur],OK,∠B,has_measure,70_deg
7,7,full_text + noisy_diagram[blur],OK,∠C,has_measure,30_deg
7,7,full_text + noisy_diagram[blur],OK,∠DAC,has_measure,35_deg
7,7,full_text + noisy_diagram[blur],OK,ABC,is_a,triangle
7,7,full_text + noisy_diagram[blur],OK,ADE,is_a,triangle
,,,,,,
8,7,full_text + noisy_diagram[blur],OK,A,is_a,point
8,7,full_text + noisy_diagram[blur],OK,B,is_a,point
8,7,full_text + noisy_diagram[blur],OK,C,is_a,point
8,7,full_text + noisy_diagram[blur],OK,D,is_a,point
8,7,full_text + noisy_diagram[blur],OK,E,is_a,point
8,7,full_text + noisy_diagram[blur],OK,F,is_a,point
8,7,full_text + noisy_diagram[blur],OK,A,lies_on,BC
8,7,full_text + noisy_diagram[blur],OK,D,lies_on,EF
8,7,full_text + noisy_diagram[blur],OK,B,lies_on,BC
8,7,full_text + noisy_diagram[blur],OK,E,lies_on,BC
8,7,full_text + noisy_diagram[blur],OK,C,lies_on,BC
8,7,full_text + noisy_diagram[blur],OK,F,lies_on,BC
8,7,full_text + noisy_diagram[blur],OK,BE,is_a,segment
8,7,full_text + noisy_diagram[blur],OK,EC,is_a,segment
8,7,full_text + noisy_diagram[blur],OK,CF,is_a,segment
8,7,full_text + noisy_diagram[blur],OK,BC,is_a,segment
8,7,full_text + noisy_diagram[blur],OK,BF,is_a,segment
8,7,full_text + noisy_diagram[blur],OK,BC,has_measure,5.0_units
8,7,full_text + noisy_diagram[blur],OK,CF,has_measure,7.0_units
8,7,full_text + noisy_diagram[blur],OK,EC,has_measure,?
8,7,full_text + noisy_diagram[blur],OK,Triangle ABC,is_congruent_to,Triangle DEF
8,7,full_text + noisy_diagram[blur],OK,A,corresponds_to,D
8,7,full_text + noisy_diagram[blur],OK,B,corresponds_to,E
,,,,,,
9,7,full_text + noisy_diagram[blur],OK,C,is_a,point
9,7,full_text + noisy_diagram[blur],OK,A,is_a,point
9,7,full_text + noisy_diagram[blur],OK,B,is_a,point
9,7,full_text + noisy_diagram[blur],OK,D,is_a,point
9,7,full_text + noisy_diagram[blur],OK,E,is_a,point
9,7,full_text + noisy_diagram[blur],OK,AB,is_a,segment
9,7,full_text + noisy_diagram[blur],OK,AC,is_a,segment
9,7,full_text + noisy_diagram[blur],OK,BC,is_a,segment
9,7,full_text + noisy_diagram[blur],OK,AD,is_a,segment
9,7,full_text + noisy_diagram[blur],OK,DE,is_a,segment
9,7,full_text + noisy_diagram[blur],OK,∠C,is_a,angle
9,7,full_text + noisy_diagram[blur],OK,∠CAB,is_a,angle
9,7,full_text + noisy_diagram[blur],OK,C,lies_on,triangle ABC
9,7,full_text + noisy_diagram[blur],OK,A,lies_on,triangle ABC
9,7,full_text + noisy_diagram[blur],OK,B,lies_on,triangle ABC
9,7,full_text + noisy_diagram[blur],OK,AC = BC,has_measure,?
9,7,full_text + noisy_diagram[blur],OK,AB,has_measure,6.0_units
9,7,full_text + noisy_diagram[blur],OK,∠C = 90°,has_measure,90_deg
9,7,full_text + noisy_diagram[blur],OK,AD,intersects,BC
9,7,full_text + noisy_diagram[blur],OK,AD,bisects,∠CAB
9,7,full_text + noisy_diagram[blur],OK,triangle ABC,has_angle,∠C
9,7,full_text + noisy_diagram[blur],OK,AD,intersects,BC at D
9,7,full_text + noisy_diagram[blur],OK,DE,is_perpendicular_to,AB
9,7,full_text + noisy_diagram[blur],OK,DE,lies_on,triangle DBE
9,7,full_text + noisy_diagram[blur],OK,AC,has_measure,?
9,7,full_text + noisy_diagram[blur],OK,BC,has_measure,?
,,,,,,
10,7,full_text + noisy_diagram[blur],OK,A,is_a,point
