problem_index,ars_id,question,answer,reasoning,triples_used,triples_count,unique_triples_count,which_triples_used
1,Q1,What is the measure of angle A in triangle ABC?,80_deg,The measure of angle A is directly given in triple T14.,[14],1,1,T14
1,Q2,What is the measure of angle B in triangle ABC?,60_deg,The measure of angle B is directly given in triple T16.,[16],1,1,T16
1,Q3,What is the relationship between line DE and line BC?,parallel,Triple T12 states that DE is parallel to BC.,[12],1,1,T12
1,Q4,Where is point D located in relation to side AB?,lies_on,Triple T17 states that point D lies on AB.,[17],1,1,T17
1,Q5,Where is point E located in relation to side AC?,lies_on,Triple T18 states that point E lies on AC.,[18],1,1,T18
2,Q1,What is the relationship between lines AB and CD?,parallel,Triple T14 states that AB is parallel to CD.,[14],1,1,T14
2,Q2,What is the measure of angle EFG in degrees?,50,Triple T21 states that angle EFG has a measure of 50 degrees.,[21],1,1,T21
2,Q3,Does line EG bisect angle BEF?,Yes,Triple T19 states that EG bisects angle BEF.,[19],1,1,T19
2,Q4,At what point does line EF intersect line AB?,E,Triple T17 states that EF intersects AB at point E.,[17],1,1,T17
2,Q5,At what point does line EF intersect line CD?,F,Triple T18 states that EF intersects CD at point F.,[18],1,1,T18
2,Q6,At what point does line EG intersect line CD?,G,Triple T20 states that EG intersects CD at point G.,[20],1,1,T20
3,Q1,What is the measure of angle BCD?,70_deg,The measure of angle BCD is directly given in the perception triples.,[22],1,1,T22
3,Q2,What is the relationship between line segment CD and line segment AB?,parallel_to,The relationship between line segment CD and line segment AB is directly stated in the perception triples.,[21],1,1,T21
3,Q3,What does the line segment BD do to angle ABC?,bisects,The action of line segment BD on angle ABC is directly stated in the perception triples.,[20],1,1,T20
3,Q4,At which point do line segments BC and BA intersect?,B,The intersection point of line segments BC and BA is directly stated in the perception triples.,"[18, 19]",2,2,"T18, T19"
4,Q1,What is the measure of angle A in degrees?,36,The measure of angle A is directly given as 36 degrees in triple T18.,[18],1,1,T18
4,Q2,What is the relationship between line AB and circle O at point B?,tangent,Line AB is tangent to circle O at point B as stated in triple T9.,[9],1,1,T9
4,Q3,What point does the extended line of AO intersect on circle O?,C,The extended line of AO intersects point C on circle O as stated in triple T11.,[11],1,1,T11
4,Q4,What is the center point of the circle labeled in the diagram?,O,Point O is the center of the circle as stated in triple T20.,[20],1,1,T20
4,Q5,Is point B located on the circle?,yes,Point B lies on the circle as stated in triple T21.,[21],1,1,T21
4,Q6,Is point C located on the circle?,yes,Point C lies on the circle as stated in triple T22.,[22],1,1,T22
7,Q1,What is the measure of angle B in triangle ABC?,70_deg,The measure of angle B is directly given in the perception triples.,[18],1,1,T18
7,Q2,What is the measure of angle C in triangle ABC?,30_deg,The measure of angle C is directly given in the perception triples.,[19],1,1,T19
7,Q3,What is the measure of angle DAC in triangle ADE?,35_deg,The measure of angle DAC is directly given in the perception triples.,[20],1,1,T20
7,Q4,What is the stated relationship between triangle ABC and triangle ADE?,congruent,The relationship between triangle ABC and triangle ADE is stated as congruent in the perception triples.,"[8, 9]",2,2,"T8, T9"
8,Q1,What is the length of BC?,5.0,The length of BC is directly given in the triples.,[19],1,1,T19
8,Q2,What is the length of BF?,7.0,The length of BF is directly given in the triples.,[20],1,1,T20
8,Q3,"Are points B, E, C, and F located on the same straight line?",,"There is no information in the triples about the collinearity of points B, E, C, and F.",[],0,0,
9,Q1,What is the measure of angle C in triangle ABC?,90_deg,The measure of angle C is explicitly given as 90 degrees in triple T39.,[39],1,1,T39
9,Q2,What is the relationship between sides AC and BC?,null,The relationship between sides AC and BC cannot be determined from the given triples as their measures are not provided.,[],0,0,
9,Q3,What is the length of side AB in triangle ABC?,6.0,The length of side AB is explicitly given as 6.0 in triple T42.,[42],1,1,T42
9,Q4,Does line segment AD bisect angle CAB?,Yes,Triple T43 states that AD bisects angle CAB.,[43],1,1,T43
9,Q5,Is line segment DE perpendicular to line segment AB?,Yes,Triple T46 states that DE is perpendicular to AB.,[46],1,1,T46
9,Q6,On which line segment does point E lie?,DE,"Triple T29 states that DE connects to E, implying E lies on DE.",[29],1,1,T29
9,Q7,On which line segment does point D lie?,BC,"Triple T44 states that AD intersects BC at D, implying D lies on BC.",[44],1,1,T44
10,Q1,What is the measure of angle A in triangle ABC?,36_deg,The measure of angle A is directly given in the perception triples.,"[14, 15]",2,2,"T14, T15"
10,Q2,What is the relationship between sides AB and AC in triangle ABC?,null,The relationship between sides AB and AC cannot be determined from the given perception triples.,[],0,0,
10,Q3,What point does the perpendicular bisector of AB intersect AB at?,E,"The perpendicular bisector of AB intersects AB at point E, as indicated in the perception triples.","[18, 19, 20, 22]",4,4,"T18, T19, T20, T22"
10,Q4,What is the relationship between the perpendicular bisector line and segment AB?,perpendicular,"The perpendicular bisector line is perpendicular to segment AB, as stated in the perception triples.",[19],1,1,T19
10,Q5,What point on triangle ABC does the perpendicular bisector pass through besides E?,null,The perception triples do not provide information about any other points on triangle ABC that the perpendicular bisector passes through besides E.,[],0,0,
11,Q1,What is the measure of angle C in degrees?,36,The measure of angle C is directly given in triple T6.,[6],1,1,T6
11,Q2,What is the measure of angle BAE in degrees?,60,The measure of angle EAB is directly given in triple T17.,[17],1,1,T17
11,Q3,By how many degrees is triangle ABC rotated anticlockwise?,null,The rotation angle is not specified in the triples.,[],0,0,
11,Q4,At which point do line segments AD and BC intersect?,F,"Triple T14 states that segments AD and BC intersect, and triple T15 identifies the point of intersection as F.","[14, 15]",2,2,"T14, T15"
14,Q1,What is the measure of angle OAB in degrees?,35,The measure of angle OAB is directly given as 35 degrees in triple T9.,[9],1,1,T9
14,Q2,Is O the center of the circle?,Yes,Triple T15 states that O is the center of the circle O.,[15],1,1,T15
14,Q3,"Are points A, B, and C on the circle?",Yes,"Triples T16, T17, and T18 state that points A, B, and C lie on the circle O.","[16, 17, 18]",3,3,"T16, T17, T18"
14,Q4,What is the relationship between segment OA and the circle?,OA is a radius of the circle,"Triple T15 states that O is the center of the circle O, and triple T16 states that A lies on the circle O. Therefore, OA is a radius of the circle.","[15, 16]",2,2,"T15, T16"
