problem_index,ars_id,question,answer,reasoning,triples_used,triples_count,unique_triples_count,which_triples_used
1,Q1,What is the measure of angle A in triangle ABC?,null,The perception triples do not provide the measure of angle A. They only describe the points and segments.,[],0,0,
1,Q2,What is the measure of angle B in triangle ABC?,60_deg,Triple [T14] states that angle B has a measure of 60_deg.,[14],1,1,T14
1,Q3,What is the relationship between line DE and line BC?,parallel,Triple [T15] states that DE is parallel to BC.,[15],1,1,T15
1,Q4,Where is point D located in relation to side AB?,unknown,The perception triples do not provide information about the location of point D relative to side AB.,[],0,0,
1,Q5,Where is point E located in relation to side AC?,unknown,The perception triples do not provide information about the location of point E relative to side AC.,[],0,0,
2,Q1,What is the relationship between lines AB and CD?,parallel,Triple [T14] states that AB is parallel to CD.,[14],1,1,T14
2,Q2,What is the measure of angle EFG in degrees?,50_deg,Triple [T18] states that ∠EGF has a measure of 50_deg.,[18],1,1,T18
2,Q3,Does line EG bisect angle BEF?,true,Triple [T17] states that EG bisects ∠BEF.,[17],1,1,T17
2,Q4,At what point does line EF intersect line AB?,,The perception triples do not provide information about the intersection point of EF and AB.  The intersection point is not explicitly defined.,[],0,0,
2,Q5,At what point does line EF intersect line CD?,null,The perception triples do not provide information about the intersection point of EF and CD. The intersection point is not explicitly defined.,[],0,0,
2,Q6,At what point does line EG intersect line CD?,null,The perception triples do not provide information about the intersection point of EG and CD. The intersection point is not explicitly defined.,[],0,0,
3,Q1,What is the measure of angle BCD?,70_deg,Triple T10 states that ∠BCD has a measure of 70_deg.,[10],1,1,T10
3,Q2,What is the relationship between line segment CD and line segment AB?,parallel,Triple T11 states that CD is parallel to AB.,[11],1,1,T11
3,Q3,What does the line segment BD do to angle ABC?,bisects,Triple T12 states that BD bisects ∠ABC.,[12],1,1,T12
3,Q4,At which point do line segments BC and BA intersect?,null,The perception triples do not provide information about the intersection point of line segments BC and BA.  They only describe the relationships between points and segments.,[],0,0,
